depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_5,lineage_6,lineage_4,CCNL2,CDK11A,CDK11B
ACH-001270,127399,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,,,,6.5528627595,5.1178585874,5.5264818797
ACH-002680,170MGBA,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,6.0909750586,3.9237865493,4.8712265129
ACH-001438,1777NRPMET,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,,,,6.480144003,4.7827256461,5.2188210146
ACH-000520,59M,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,High Grade Serous,,,5.5347263917,3.9959172374,4.5077023574
ACH-000973,639V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,Bladder Transitional Cell,,,5.8424095873,4.8281242292,4.7946704844
ACH-001795,94T778,Soft Tissue,Liposarcoma,Well-Differentiated Liposarcoma,WDLPS,,,6.8740489904,5.7632444728,6.0840952183
ACH-001999,9505BIK,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,7.7925487328,5.4430474588,5.07997257
ACH-001796,95T1000,Soft Tissue,Liposarcoma,Well-Differentiated Liposarcoma,WDLPS,,,6.3302076065,4.919980758,5.6932625532
ACH-000283,A1207,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,5.9412610354,5.0785259939,4.9540803675
ACH-002001,A375SKINCJ1,Skin,Melanoma,Melanoma,,,,5.7919811369,4.3835356613,5.2376298448
ACH-002002,A375SKINCJ2,Skin,Melanoma,Melanoma,,,,5.9556307223,4.5105178757,5.0145710583
ACH-002003,A375SKINCJ3,Skin,Melanoma,Melanoma,,,,6.2159344345,4.5525247557,5.0173132702
ACH-000757,A427,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.2480524668,5.0357530208,5.4154580443
ACH-003012,A549CRAFKD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,,,7.8904577376,5.5910661593,4.929662828
ACH-003132,ABMT0009,Unknown,Non-Cancerous,Immortalized Human Intervertebral Disc Cartilage Endplate-derived Stem Cells,,,,7.146694687,5.1023611516,5.4372925977
ACH-003133,ABMT0021,Unknown,Non-Cancerous,Immortalized Human Chondrocytes,,,,7.1648695319,5.6128147809,5.6637456889
ACH-003136,ABMT0023,Unknown,Non-Cancerous,Immortalized Human Chondrocytes â hTERT,,,,7.1127329572,5.3591163461,5.7145799268
ACH-003134,ABMT0168,Unknown,Non-Cancerous,Immortalized Human Pancreatic Mesenchymal Stem Cells - hTERT,,,,6.864555571,5.4103761815,5.0260518984
ACH-003135,ABMT0280,CNS/Brain,Non-Cancerous,"Immortalized Astrocytes, Fetal",,,,6.8992190515,5.4554670476,5.5336604581
ACH-003137,ABMT0281,CNS/Brain,Non-Cancerous,"Immortalized Astrocytes, Fetal",,,,6.9463278452,5.3975236591,5.5245865554
ACH-003138,ABMT0292,CNS/Brain,Non-Cancerous,"Immortalized Endothelial Cells, Endoneurial",,,,7.1433274144,5.1353503445,5.3410700834
ACH-003139,ABMT0457,Muscle,Non-Cancerous,Immortalized Cardiomyocytes,,,,7.4269867311,5.4348467744,5.5686361701
ACH-003141,ABMT0557,Muscle,Non-Cancerous,"immortalized Smooth Muscle Cells, Coronary artery",,,,7.0680398126,5.3997485431,5.5752336625
ACH-003142,ABMT0558,Muscle,Non-Cancerous,"Immortalized Smooth Muscle Cells, Pulmonary artery",,,,6.986063817,5.6633054067,5.6942691978
ACH-003143,ABMT0616,Kidney,Non-Cancerous,"Immortalized Epithelial Cells, Renal",,,,7.0933849492,5.1018042983,5.1151236772
ACH-003145,ABMT0725,Embryonal,Non-Cancerous,"Immortalized Endothelial Cells, Umbilical Vein",,,,7.0605881586,4.8484194602,4.8875749029
ACH-003147,ABMT0732,Unknown,Non-Cancerous,Immortalized Submandibular Gland Cells,,,,6.7812153381,4.5252433603,4.9653939781
ACH-003148,ABMT0781,CNS/Brain,Non-Cancerous,Immortalized Neuronal Progenitor Cells,,,,7.876606771,5.4451971069,5.4385043732
ACH-003149,ABMT0782,Muscle,Non-Cancerous,Immortalized Skeletal Muscle Cells,,,,7.5456435933,4.9756691832,4.4573830367
ACH-003150,ABMT0783,CNS/Brain,Non-Cancerous,"Immortalized Astrocytes, Adult",,,,7.2658496307,5.5396835953,5.4344609754
ACH-003155,ABMT0789,Liver,Non-Cancerous,"Immortalized Liver Cells, Fetal",,,,7.1994874595,5.6651254321,5.5344139297
ACH-003153,ABMT0794,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,,7.5401170958,6.0575524031,5.4279667883
ACH-003154,ABMT0795,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,,6.8145084078,5.4941123768,5.3196736394
ACH-003152,ABMT0796,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,,7.2770041034,4.1852916681,4.6353204341
ACH-003156,ABMT0797,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,,7.0439276045,5.5987380592,5.3501393703
ACH-003157,ABMT0822,Lung,Non-Cancerous,Immortalized MPLC Cells,,,,7.6185847976,4.9993518741,4.9132177729
ACH-003158,ABMT9220,Muscle,Non-Cancerous,"Immortalized Smooth Muscle Cells, Intestinal",,,,7.7679917299,5.8548979083,5.7261000274
ACH-003159,ABMT9233,Hair,Non-Cancerous,Immortalized Hair Follicle Inner Root Sheath Cells,,,,7.0318306728,5.3759721073,5.3064080917
ACH-003160,ABMT9249,Hair,Non-Cancerous,Immortalized Hair Germinal Matrix Cells,,,,7.4382712834,5.9403126314,5.5730380021
ACH-003161,ABMT9430,Pancreas,Non-Cancerous,Immortalized Pancreatic Stromal Cells,,,,7.0735994284,5.2532036028,5.5215486101
ACH-003125,ASPSKY,Soft Tissue,Alveolar Soft Part Sarcoma,Alveolar Soft Part Sarcoma,,,,3.7461870932,4.2901850946,4.9648249509
ACH-002921,BCK4,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,,,,5.9939400453,4.0243912168,4.1896416198
ACH-001016,BECKER,CNS/Brain,Diffuse Glioma,Astrocytoma,,,,7.6136302572,4.240916084,5.4954523578
