cell_line_display_name,gene_exp_cat,Cell Line Name,OTS964_0.004572 uM,OTS964_0.01372 uM,OTS964_0.04115 uM,OTS964_0.1235 uM,OTS964_0.3704 uM,OTS964_1.111 uM,OTS964_10.0 uM,OTS964_3.333 uM
1777NRPMET,High Expression,1777NRPMET,0.140964074,-0.488466906,-2.189638876,-3.687693612,-2.542525252,-4.457856352,-3.839520237,-2.565990935
639V,Medium Expression,639V,0.237913312,0.042564713,-0.589408233,-4.757489908,-3.232409082,-4.816535073,-3.722073144,-3.777323173
94T778,High Expression,94T778,0.115658193,0.012148781,0.137970573,-1.410937489,-3.930810993,-4.387933061,-4.245386886,-4.142953341
9505BIK,High Expression,9505BIK,-0.508496116,-0.008081051,0.525957819,-1.744178043,-3.553112045,-4.57385299,-4.749697412,-4.09769044
95T1000,High Expression,95T1000,0.255935578,-0.242049202,0.096308079,-1.17472786,-3.659592505,-3.967571592,-3.770568771,-3.947781791
A1207,High Expression,A1207,-0.128706983,-0.248905259,-0.224552261,-2.557924577,-3.473884215,-4.1312641,-4.100418599,-3.949159762
A427,High Expression,A427,0.142238915,-0.040175961,-0.460172254,-3.143084909,-3.531426534,-3.548416153,-4.098006799,-4.661850295
BECKER,High Expression,BECKER,-0.202032878,0.134343133,0.117092618,-1.876248822,-3.75704973,-4.218386093,-4.63113721,-3.538825573
BT12,Medium Expression,BT12,0.114125736,0.52390117,0.038254126,-2.347726592,-4.205393127,-4.319956922,-3.882388032,-4.338774193
BT16,High Expression,BT16,1.196148121,-0.608032097,-0.09865594,-2.087220631,-3.016169548,-3.441098758,-3.57671075,-2.895815407
CBAGPN,High Expression,CBAGPN,-0.084160413,-0.206194123,-1.359057006,-3.427747242,-3.67062714,-3.520885274,-4.221081348,-4.552059573
CCK81,High Expression,CCK81,0.022582799,-0.682442203,0.198455631,-1.420185458,-3.864256865,-3.282766993,-3.92427616,-4.119917244
CCLFPEDS0003T,Medium Expression,CCLFPEDS0003T,0.623194724,-0.211334768,0.046486256,-1.873970612,-2.807696361,-2.875165533,-5.33725849,-3.405789161
CCLP1,High Expression,CCLP1,0.134045905,-0.351314443,-0.057571796,-1.636952085,-3.285755964,-3.910973197,-3.305275989,-3.876985451
CCSW1,High Expression,CCSW1,-0.174313467,-0.227113689,0.250668601,-2.488575499,-3.920283747,-3.328942383,-3.616710004,-4.082638229
CH157MN,High Expression,CH157MN,-0.24008227,0.143588692,0.101983462,-2.872126239,-3.242322376,-3.532301708,-3.072376336,-3.097548639
CHLA06ATRT,Medium Expression,CHLA06ATRT,-0.092415192,0.102097228,0.126176049,-2.129127017,-4.191529182,-3.754830277,-3.803116266,-3.972484525
CHLA10,High Expression,CHLA10,-0.333643428,-0.745134853,-0.750106317,-2.535557553,-4.299473923,-4.339524709,-3.852406531,-3.437269029
CHLA57,Medium Expression,CHLA57,-0.08061308,-0.842690401,-0.577802047,-2.415641111,-2.91911858,-2.791566753,-3.609594807,-4.100815559
COGAR359,High Expression,COGAR359,-0.258634602,0.303889446,-0.728947972,-0.784689291,-2.556643012,-2.832217054,-2.091600398,-3.127806487
CW9019,Medium Expression,CW9019,-0.027099066,-0.22486964,0.170215093,-1.491265881,-4.010960637,-4.092896714,-4.352196027,-4.459662114
DL,High Expression,DL,0.653216685,0.589795539,0.058500563,-1.7239302,-1.970042323,-2.495872911,-2.712043817,-2.584405379
ECC2,High Expression,ECC2,-0.020034845,0.062256426,-0.383574125,-1.746353048,-3.104949661,-3.321081269,-3.24264457,-3.14321628
EKVX,Medium Expression,EKVX,0.303670395,0.121101541,0.023615433,-2.206810985,-3.416974722,-4.015562246,-4.17701356,-4.68483575
EW8,High Expression,EW8,0.461002908,-0.293499448,-0.832510541,-3.465790417,-3.504306775,-4.029974264,-3.8233562,-4.059961114
EWS502,High Expression,EWS502,-0.297905549,-0.394550228,-0.806926096,-2.212411837,-3.000099487,-3.410223937,-3.823027341,-3.693089718
GB2,Low Expression,GB2,0.101651445,-0.22681314,0.710286917,-1.176389594,-4.110393498,-4.027762189,-4.437436535,-4.370448127
HA1E,High Expression,HA1E,-0.086600659,-0.480795835,0.064585303,-1.47494529,-4.257861365,-2.937371643,-5.729751227,-5.771606541
HCC515,Medium Expression,HCC515,0.044225858,0.004357378,-0.354074544,-2.257739817,-2.803538387,-2.965556214,-3.429787289,-3.524552886
HEYA8,Medium Expression,HEYA8,-0.016037374,-0.185985315,0.087580338,-2.286910636,-3.280813439,-4.575583652,-3.550126938,-3.65874422
HKGZCC,Medium Expression,HKGZCC,0.047950553,-0.472119124,-0.097975579,-3.197819794,-2.713106396,-4.469996102,-2.644460653,-3.284264007
ICC10,Medium Expression,ICC10,-0.628885004,0.218307169,0.111748737,-1.663679137,-3.595715072,-3.621268275,-4.204699733,-4.160529081
ICC12,High Expression,ICC12,-0.139387496,-0.152563816,-0.31185049,-1.74622604,-3.356265956,-4.779186823,-4.287441842,-3.646546542
ICC137,Low Expression,ICC137,-0.00830217,-0.383233067,-0.783964137,-1.5738869,-3.55160581,-4.475873234,-3.803828401,-3.898723666
ICC4,Medium Expression,ICC4,-0.189287816,0.132436365,-0.188186045,-1.086707905,-2.731159724,-2.786003195,-2.981328987,-2.593684757
ICC8,High Expression,ICC8,0.018148534,0.007195343,-0.02060538,-1.071325464,-3.718441764,-2.619726584,-2.318490306,-2.365708589
ICC9,Medium Expression,ICC9,0.62599069,-1.23950583,-1.289308084,-2.119009835,-2.891801143,-2.566385936,-4.461801987,-3.188149902
IGROV1,High Expression,IGROV1,0.272999598,-0.124276451,-0.367049526,-3.21618897,-3.910889571,-4.321956334,-5.546110412,-4.119966758
