Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitotic Spindle Organization (GO:0007052)	6/89	1.913070964617024E-9	4.1896254125112827E-7	0	0	67.32092004381161	1351.4375828373466	TPX2;STIL;UHRF1;TTK;KIF23;KIF15
Regulation of Spindle Organization (GO:0090224)	4/19	1.0433131199870394E-8	8.532367148295042E-7	0	0	228.4	4197.599015432886	TPX2;STIL;NUMA1;TACC3
Mitotic Sister Chromatid Segregation (GO:0000070)	6/120	1.1688174175746632E-8	8.532367148295042E-7	0	0	48.94019138755981	893.877339103422	TPX2;ESPL1;UHRF1;KIF23;SKA3;KIF15
Spindle Assembly (GO:0051225)	5/73	4.484712815542983E-8	2.455380266509783E-6	0	0	65.54667519181585	1109.0501560556647	TPX2;NUMA1;UHRF1;HAUS6;KIF15
Negative Regulation of Cell Cycle Process (GO:0010948)	4/36	1.560686440341914E-7	6.835806608697583E-6	0	0	106.97395833333333	1676.599629108475	ESPL1;SKA3;E2F7;E2F8
Regulation of Mitotic Spindle Organization (GO:0060236)	4/40	2.412373770598585E-7	8.805164262684836E-6	0	0	95.06944444444444	1448.6191786509537	TPX2;STIL;NUMA1;TACC3
Mitotic Spindle Assembly (GO:0090307)	4/47	4.6776098559557404E-7	1.3713578006381557E-5	0	0	79.56589147286822	1159.6974052262283	TPX2;UHRF1;KIF23;KIF15
Positive Regulation of Cell Cycle Process (GO:0090068)	5/118	5.009526212376824E-7	1.3713578006381557E-5	0	0	39.3574451712197	570.9487873178529	STIL;NUMA1;KIF23;E2F7;E2F8
Centromere Complex Assembly (GO:0034508)	3/15	1.01215201648568E-6	2.4629032401151546E-5	0	0	205.59	2837.847540567404	CENPF;NASP;HJURP
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850)	4/59	1.1802941606230458E-6	2.58484421176447E-5	0	0	62.16969696969697	848.6006261167958	STIL;ESPL1;TACC3;TTK
Establishment of Mitotic Spindle Localization (GO:0040001)	3/36	1.558274695056589E-5	2.9938477618530123E-4	0	0	74.68363636363637	826.6990279110087	GPSM1;NUMA1;ESPL1
Negative Regulation of Cytokinesis (GO:0032466)	2/5	1.7771699042963085E-5	2.9938477618530123E-4	0	0	527.3846153846154	5768.48192887196	E2F7;E2F8
Positive Regulation of Mitotic Sister Chromatid Segregation (GO:0062033)	2/5	1.7771699042963085E-5	2.9938477618530123E-4	0	0	527.3846153846154	5768.48192887196	NUMA1;SKA3
Establishment of Spindle Orientation (GO:0051294)	3/40	2.1484398577412004E-5	3.360773777466592E-4	0	0	66.59675675675676	715.7941643776246	GPSM1;NUMA1;SKA3
CENP-A Containing Chromatin Assembly (GO:0034080)	2/6	2.663522918086058E-5	3.4312442297696865E-4	0	0	395.5192307692308	4166.113147090197	NASP;HJURP
Chromatin Remodeling at Centromere (GO:0031055)	2/6	2.663522918086058E-5	3.4312442297696865E-4	0	0	395.5192307692308	4166.113147090197	NASP;HJURP
Positive Regulation of Spindle Assembly (GO:1905832)	2/6	2.663522918086058E-5	3.4312442297696865E-4	0	0	395.5192307692308	4166.113147090197	STIL;NUMA1
Regulation of Microtubule Polymerization (GO:0031113)	3/53	5.0342036949974676E-5	6.124947828913585E-4	0	0	49.2504	487.4149613506392	CLIP1;NUMA1;HAUS6
Negative Regulation of Cell Division (GO:0051782)	2/10	7.963797408094485E-5	8.827028273072516E-4	0	0	197.72115384615384	1866.0961090331205	E2F7;E2F8
Mitotic Cytokinesis (GO:0000281)	3/62	8.061213034769422E-5	8.827028273072516E-4	0	0	41.71932203389831	393.24054799383623	ANLN;ESPL1;KIF23
Positive Regulation of DNA-templated DNA Replication (GO:2000105)	2/11	9.725360572455752E-5	0.0010142161739846714	0	0	175.74358974358975	1623.5524095938465	E2F7;E2F8
Positive Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045842)	2/13	1.3769181593165666E-4	0.0013706594404105823	0	0	143.7762237762238	1278.241451819395	ESPL1;SKA3
Regulation of Cytokinesis (GO:0032465)	3/81	1.7874288740936723E-4	0.0017019431453326706	0	0	31.52769230769231	272.070180779611	KIF23;E2F7;E2F8
Cytoskeleton-Dependent Cytokinesis (GO:0061640)	3/84	1.990736419659533E-4	0.0018165469829393237	0	0	30.355555555555554	258.685058288387	ANLN;ESPL1;KIF23
Establishment of Chromosome Localization (GO:0051303)	2/18	2.689557106264045E-4	0.0022654346395070226	0	0	98.82211538461539	812.4130368163703	CENPF;SKA3
Nuclear Chromosome Segregation (GO:0098813)	2/18	2.689557106264045E-4	0.0022654346395070226	0	0	98.82211538461539	812.4130368163703	CENPF;SKA3
Placenta Development (GO:0001890)	2/23	4.42879510685256E-4	0.003592244920002632	0	0	75.27472527472527	581.2874477723809	E2F7;E2F8
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	2/27	6.12368615481713E-4	0.0044702908930165045	0	0	63.21846153846154	467.7013140073325	CENPF;TTK
Mitotic Spindle Checkpoint Signaling (GO:0071174)	2/27	6.12368615481713E-4	0.0044702908930165045	0	0	63.21846153846154	467.7013140073325	CENPF;TTK
Spindle Assembly Checkpoint Signaling (GO:0071173)	2/27	6.12368615481713E-4	0.0044702908930165045	0	0	63.21846153846154	467.7013140073325	CENPF;TTK
Positive Regulation of Microtubule Polymerization or Depolymerization (GO:0031112)	2/28	6.589202079340905E-4	0.004654952436695672	0	0	60.78402366863905	445.2373880089295	CLIP1;NUMA1
Negative Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045841)	2/29	7.071349373167107E-4	0.004839454727261239	0	0	58.52991452991453	424.59291814634537	CENPF;TTK
Regulation of Spindle Assembly (GO:0090169)	2/30	7.570085224983024E-4	0.00487602548315083	0	0	56.43681318681319	405.56261758209854	STIL;NUMA1
Positive Regulation of Microtubule Polymerization (GO:0031116)	2/30	7.570085224983024E-4	0.00487602548315083	0	0	56.43681318681319	405.56261758209854	CLIP1;NUMA1
Establishment of Mitotic Spindle Orientation (GO:0000132)	2/31	8.085366901694952E-4	0.005059129575631985	0	0	54.48806366047745	387.9705150858262	GPSM1;NUMA1
Membraneless Organelle Assembly (GO:0140694)	3/138	8.524697872458934E-4	0.005100422250423957	0	0	18.165333333333333	128.38118251429344	ANLN;CENPF;HAUS6
DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0030330)	2/32	8.617151747291617E-4	0.005100422250423957	0	0	52.66923076923077	371.66494413392087	GTSE1;E2F7
Liver Development (GO:0001889)	2/34	9.73006072480212E-4	0.005607587628241223	0	0	49.37259615384615	342.4048906316846	E2F7;E2F8
Sister Chromatid Segregation (GO:0000819)	2/36	0.0010908472475799267	0.006125526851794972	0	0	46.463800904977376	316.92032078047123	ESPL1;SKA3
Mitotic Nuclear Division (GO:0140014)	2/47	0.0018545537712247224	0.010153681897455354	0	0	35.08717948717949	220.7022594917702	ESPL1;SKA3
Microtubule Bundle Formation (GO:0001578)	2/52	0.0022653513963369937	0.011812189423757181	0	0	31.57076923076923	192.2667862038376	CLIP1;NUMA1
Signal Transduction by P53 Class Mediator (GO:0072331)	2/52	0.0022653513963369937	0.011812189423757181	0	0	31.57076923076923	192.2667862038376	GTSE1;E2F7
Cytoplasmic Microtubule Organization (GO:0031122)	2/53	0.002352214945597087	0.011979885420599117	0	0	30.95022624434389	187.32308323285548	CLIP1;NUMA1
Metaphase Chromosome Alignment (GO:0051310)	2/55	0.002530613252223552	0.012595552323567226	0	0	29.779390420899855	178.0597189555764	CENPF;SKA3
Mitotic Metaphase Chromosome Alignment (GO:0007080)	2/56	0.0026221398397642207	0.012761080553519207	0	0	29.226495726495727	173.71540956531103	TTK;SKA3
Sprouting Angiogenesis (GO:0002040)	2/57	0.0027152126162510557	0.01292677310780394	0	0	28.693706293706295	169.54781120015463	E2F7;E2F8
Positive Regulation of Mitotic Cell Cycle Phase Transition (GO:1901992)	2/63	0.003305892059964006	0.01540405023685356	0	0	25.863808322824717	147.73533865236507	STIL;ESPL1
Positive Regulation of Organelle Assembly (GO:1902117)	2/64	0.0034096747258142673	0.015556640936527595	0	0	25.445409429280396	144.55889211776673	STIL;NUMA1
Positive Regulation of Protein Polymerization (GO:0032273)	2/71	0.0041783178891013255	0.01867452281047327	0	0	22.8561872909699	125.20268629373496	CLIP1;NUMA1
Positive Regulation of Cytoskeleton Organization (GO:0051495)	2/73	0.0044113636283302305	0.01932177269208641	0	0	22.21018418201517	120.45852026349225	STIL;NUMA1
Signal Transduction in Response to DNA Damage (GO:0042770)	2/80	0.005273376863034045	0.022644500647146192	0	0	20.21005917159763	106.00346508687407	GTSE1;E2F7
+ Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090100)	2/82	0.00553278081635699	0.02330151920734963	0	0	19.702884615384615	102.39716670873143	NUMA1;TTK
Regulation of Mitotic Cell Cycle Phase Transition (GO:1901990)	2/88	0.006345498094895019	0.025594944390715444	0	0	18.322898032200357	92.71404138922667	ANLN;CENPF
DNA Replication-Dependent Chromatin Assembly (GO:0006335)	1/5	0.006778569747312766	0.025594944390715444	0	0	190.4351851851852	951.0312487848349	NASP
Metaphase/Anaphase Transition of Mitotic Cell Cycle (GO:0007091)	1/5	0.006778569747312766	0.025594944390715444	0	0	190.4351851851852	951.0312487848349	TACC3
P Granule Organization (GO:0030719)	1/5	0.006778569747312766	0.025594944390715444	0	0	190.4351851851852	951.0312487848349	TDRKH
Pole Plasm Assembly (GO:0007315)	1/5	0.006778569747312766	0.025594944390715444	0	0	190.4351851851852	951.0312487848349	TDRKH
Regulation of Metaphase Plate Congression (GO:0090235)	1/5	0.006778569747312766	0.025594944390715444	0	0	190.4351851851852	951.0312487848349	NUMA1
Positive Regulation of Supramolecular Fiber Organization (GO:1902905)	2/98	0.0078132006597615	0.029001541431996077	0	0	16.40625	79.60215019790832	CLIP1;NUMA1
