Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Gene Expression (GO:0010467)	25/381	2.477624215658943E-12	3.6321971001560106E-9	0	0	6.6269609921560315	177.0970565823089	RPL30;RPL32;RBM8A;MRPS11;RPLP0;HNRNPU;ADAR;MRPL55;HSPD1;HNRNPDL;RPL35;RPL18;RPS13;RBM39;CHTOP;ALYREF;RPL13A;HNRNPL;DDX39A;HNRNPH1;DKC1;NACA;RNPS1;FAU;UBA52
Regulation of mRNA Splicing, via Spliceosome (GO:0048024)	13/96	7.723297936125446E-11	5.661177387179952E-8	0	0	14.179593373493976	330.16041083794636	RBM39;DDX5;RBM8A;HNRNPU;HNRNPL;PUF60;PCBP4;C1QBP;RNPS1;HNRNPA1;SRSF7;SF1;SRSF9
RNA Processing (GO:0006396)	20/290	1.7683694722031246E-10	8.641432154165935E-8	0	0	6.858508277863117	154.01324224552732	NOP56;RBM39;DDX49;RBM8A;NOP2;WDR74;HNRNPU;ADAR;HNRNPL;EBNA1BP2;HNRNPDL;HNRNPH1;DKC1;PES1;KHSRP;RNPS1;SRSF7;NOP53;SNRPB;SRSF9
Macromolecule Biosynthetic Process (GO:0009059)	16/189	6.420161656481418E-10	1.9233974711254884E-7	0	0	8.448826929615777	178.8313148080007	RPL30;RPL32;MRPS11;RPLP0;RPL13A;EEF2;TUFM;MRPL55;NACA;EEF1D;RPL35;FAU;RPL18;UBA52;RPS13;EIF4G2
protein-RNA Complex Assembly (GO:0022618)	14/137	6.560018660046005E-10	1.9233974711254884E-7	0	0	10.330161507893106	218.42979285528986	NOP2;ADAR;TARBP2;EIF5;EIF6;PUF60;EIF4H;EIF3G;FAU;NOP53;SF1;SNRPB;SRSF9;EIF3B
Translation (GO:0006412)	17/232	1.720624633443285E-9	4.120096376499094E-7	0	0	7.240993657505285	146.12744058345797	RPL30;RPL32;MRPS11;RPLP0;RPL13A;EEF2;MRPL55;TUFM;MRPL53;NACA;EEF1D;RACK1;RPL35;FAU;RPL18;UBA52;RPS13
Cytoplasmic Translation (GO:0002181)	12/101	1.9673038632669617E-9	4.120096376499094E-7	0	0	12.148614232209738	243.53843228610882	EIF4A1;RPL30;RPL32;EEF1D;RPLP0;RACK1;RPL35;RPL13A;FAU;RPL18;UBA52;RPS13
mRNA Splicing, via Spliceosome (GO:0000398)	16/210	2.9925057481521744E-9	5.48376678348886E-7	0	0	7.526426272332882	147.72233321908573	HSPA8;DDX5;RBM8A;HNRNPU;WDR83;DDX39A;PUF60;HNRNPH1;RNPS1;PABPC1;KCNN4;HNRNPA1;SRSF7;SF1;SNRPB;SRSF9
Ribosome Biogenesis (GO:0042254)	13/157	3.4983807322810495E-8	5.698473503915576E-6	0	0	8.148375496031745	139.89441122071463	NOP56;DDX49;RPS19BP1;NOP16;NOP2;WDR74;WDR46;EBNA1BP2;EIF5;DKC1;PES1;NOP53;RPS13
Ribosomal Large Subunit Biogenesis (GO:0042273)	8/45	4.074198308493897E-8	5.972774720252053E-6	0	0	19.19036940871002	326.5434554075385	TRMT112;EBNA1BP2;NOP16;EIF6;PES1;NOP2;WDR74;NOP53
