Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Translation (GO:0002181)	26/101	1.6744022695274944E-28	2.29895431606125E-25	0	0	34.65812807881773	2216.6273451826764	EIF4A2;RPL4;EIF4A1;RPL30;RPL3;RPL32;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS15A;RACK1;RPL35;RPL18;RPS13;RPL41;RPL23;RPL13A;RPS3A;RPS25;RPS28;RPS20;ETF1;RPS24;RPS23
Macromolecule Biosynthetic Process (GO:0009059)	30/189	4.874675702695092E-26	3.3464648699001804E-23	0	0	19.16279510761354	1116.8682310396223	RPL4;RPL30;RPL3;RPL32;RPL10A;RPL9;RPL6;GSPT1;MRPL55;RPS14;RPS17;RPS15A;RPL35;MRPL9;RPL18;RPS13;RPL41;RPL23;PABPC4;RPL13A;RPS3A;EEF2;TUFM;RPS25;RPS28;NACA;RPS20;EIF4G2;RPS24;RPS23
Translation (GO:0006412)	32/232	9.606989094376452E-26	4.39679867552629E-23	0	0	16.381725888324873	943.6647583642394	RPL4;RPL30;RPL3;RPL32;RPL10A;RPL9;RPL6;GSPT1;MRPL55;RPS14;RPS17;RPS15A;RACK1;RPL35;MRPL9;RPL18;RPS13;RPL41;RPL23;PABPC4;RPL13A;RPS3A;EEF2;TUFM;RPS25;MRPL53;RPS28;NACA;RPS20;ETF1;RPS24;RPS23
Gene Expression (GO:0010467)	37/381	3.764152583100257E-24	1.2920453741491632E-21	0	0	11.218538032945736	605.088895077828	RPL4;RPL30;RPL3;RPL32;EIF4A3;RPL10A;RPL9;RPL6;GSPT1;MRPL55;RPS14;SYNCRIP;RPS17;RPS15A;HNRNPDL;RPL35;MRPL9;RPL18;RPS13;RBM39;RPL41;RPL23;PABPC4;ALYREF;RPL13A;RPS3A;HNRNPL;RPS25;RPS28;DDX39A;DDX39B;HNRNPH1;NACA;RNPS1;RPS20;RPS24;RPS23
RNA Processing (GO:0006396)	27/290	2.3425329236853932E-17	6.43259540844009E-15	0	0	10.21889470315853	391.309210127721	INTS11;NOP2;TBRG4;RRP7A;SYNCRIP;FBL;RPS17;EMG1;HNRNPDL;LYAR;IVNS1ABP;RBM39;SF3A1;SF3A2;PIH1D1;PABPC4;HNRNPL;RPS25;RPS28;SFPQ;DDX39B;HNRNPH1;ACIN1;RNPS1;SNRPA1;RPS24;SRSF9
mRNA Splicing, via Spliceosome (GO:0000398)	22/210	2.068203375349455E-15	4.73273872392467E-13	0	0	11.409291807996711	385.77207103489343	SRRM2;PRMT5;HSPA8;SF3A1;DDX5;SF3A2;EIF4A3;DDX41;SYNCRIP;SFPQ;DDX39A;DDX39B;PUF60;HNRNPH1;TRA2B;RNPS1;SNRPA1;PABPC1;SNRNP200;HNRNPA1;SF1;SRSF9
mRNA Processing (GO:0006397)	22/225	8.82280181738421E-15	1.7305295564669316E-12	0	0	10.558387472930201	341.68459006566	SRRM2;HSPA8;SF3A1;DDX5;SF3A2;EIF4A3;DDX41;TBRG4;SYNCRIP;SFPQ;DDX39A;DDX39B;HNRNPH1;TRA2B;PAF1;RNPS1;SNRPA1;PABPC1;SNRNP200;HNRNPA1;SF1;SRSF9
Ribosome Biogenesis (GO:0042254)	18/157	1.671315545694028E-13	2.8683953052973757E-11	0	0	12.416311500562584	365.287824011907	RPS19BP1;NOP16;PIH1D1;NOP2;RPS3A;PWP2;RRP7A;FBL;RPS14;RPS25;RPS17;EMG1;RPS28;RPS15A;LYAR;RPS13;RPS24;RPS23
Ribonucleoprotein Complex Biogenesis (GO:0022613)	16/116	2.0892077317479733E-13	3.1872024618777415E-11	0	0	15.226291079812206	444.5592995748972	RPS19BP1;NOP16;NOP2;RPS3A;PWP2;RRP7A;FBL;RPS14;RPS25;RPS17;EMG1;RPS28;RPS15A;RPS13;RPS24;RPS23
Ribosomal Small Subunit Biogenesis (GO:0042274)	14/84	4.712899324292978E-13	6.470810772254259E-11	0	0	18.88372093023256	535.982371466517	RPS19BP1;RPS3A;PWP2;RRP7A;FBL;RPS14;RPS25;RPS17;EMG1;RPS28;RPS15A;RPS13;RPS24;RPS23
