Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Gene Expression (GO:0010467)	28/381	9.078042055101727E-19	1.0893650466122074E-15	0	0	11.214299964090491	465.8785592794006	RPL4;RPL30;RPL3;RPLP0;HNRNPU;LMF2;MRPL55;HSPD1;RPL7A;RPS17;EXOSC9;MRPL9;CIAO2B;EXOSC3;RPL18;RPS10;RBM39;ALYREF;DHPS;RPL13A;RPS3A;HNRNPL;RPS25;MRPL51;NACA;HNRNPH1;HNRNPD;RNPS1
Macromolecule Biosynthetic Process (GO:0009059)	20/189	1.0204560757078654E-16	6.122736454247192E-14	0	0	15.98422090729783	588.5567855030101	RPL4;RPL30;RPL3;RPLP0;DHPS;RPL13A;RPS3A;INHBA;EEF2;MRPL55;RPS25;RPL7A;RPS17;MRPL51;NACA;PTRH2;MRPL9;RPL18;RPS10;EIF4G2
RNA Processing (GO:0006396)	23/290	2.775504118017107E-16	1.1102016472068428E-13	0	0	11.814976177737012	423.2186979083799	INTS11;RBM39;SF3B2;DDX47;NOP2;WDR74;HNRNPU;PRPF8;TBRG4;RRP7A;HNRNPL;RPS25;RPS17;EMG1;HNRNPH1;KHSRP;PES1;EXOSC9;HNRNPD;DHX15;RNPS1;SNRPA1;EXOSC3
Translation (GO:0006412)	18/232	8.33889963608079E-13	2.501669890824237E-10	0	0	11.186362518445646	311.1226644795521	RPL4;RPL30;RPL3;RPLP0;DHPS;RPL13A;RPS3A;EEF2;MRPL55;RPS25;RPL7A;RPS17;MRPL51;NACA;RACK1;MRPL9;RPL18;RPS10
Cytoplasmic Translation (GO:0002181)	13/101	2.254393621911604E-12	5.41054469258785E-10	0	0	19.13962072958888	513.2890298605262	RPL4;EIF4A1;RPL30;RPL3;RPLP0;RPL13A;RPS3A;RPS25;RPL7A;RPS17;RACK1;RPL18;RPS10
rRNA Metabolic Process (GO:0016072)	12/98	2.965741693492815E-11	5.93148338698563E-9	0	0	17.96555784515749	435.5086367856771	TRIR;RRP7A;RPS25;RPS17;EMG1;DDX47;EXOSC9;PES1;NOP2;WDR74;SIRT7;EXOSC3
Protein Metabolic Process (GO:0019538)	24/614	2.6319231269739436E-10	4.5118682176696175E-8	0	0	5.527466914325516	121.92561761699176	RPL4;RPL30;RPL3;RPLP0;DHPS;RPL13A;RPS3A;RABGGTB;LMF2;MRPL55;HSPD1;RPS25;RPL7A;RPS17;MRPL51;DPP9;NACA;UBE2S;ATG4B;MRPL9;CIAO2B;RPL18;RPS10;UBE2M
rRNA Processing (GO:0006364)	11/110	1.839130648737278E-9	2.758695973105917E-7	0	0	14.206848357791754	285.75616215963254	RRP7A;RPS25;RPL7A;RPS17;EMG1;DDX47;EXOSC9;PES1;NOP2;WDR74;EXOSC3
Regulation of mRNA Splicing, via Spliceosome (GO:0048024)	10/96	6.877597962768085E-9	8.764436905771284E-7	0	0	14.784156976744185	277.8681768486286	HNRNPL;RBM39;DDX5;DAZAP1;PCBP4;C1QBP;HNRNPU;RNPS1;HNRNPA1;SF1
Ribosome Biogenesis (GO:0042254)	12/157	7.30369742147607E-9	8.764436905771284E-7	0	0	10.62453077258839	199.04936348817927	RRP7A;RPS25;RPS17;EMG1;NOP16;DDX47;EXOSC9;PES1;NOP2;WDR74;RPS3A;EXOSC3
Positive Regulation of Translation (GO:0045727)	10/107	1.9819566124819608E-8	2.162134486343957E-6	0	0	13.100515463917526	232.3585527830487	JMJD4;YTHDF1;DDX3X;PKM;C1QBP;CNBP;HNRNPD;HNRNPU;EEF2;YBX3
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)	11/170	1.738843207597608E-7	1.738843207597608E-5	0	0	8.819666943554449	137.27701865149658	DDX5;SF3B2;HNRNPH1;DHX15;HNRNPU;RNPS1;SNRPA1;KCNN4;HNRNPA1;PRPF8;SF1
mRNA Processing (GO:0006397)	12/225	3.860499582607772E-7	3.563538076253328E-5	0	0	7.208415047245499	106.44882068143085	DDX5;SF3B2;HNRNPH1;DHX15;HNRNPU;RNPS1;SNRPA1;KCNN4;HNRNPA1;PRPF8;SF1;TBRG4
Ribonucleoprotein Complex Biogenesis (GO:0022613)	9/116	5.141780824053974E-7	4.407240706331977E-5	0	0	10.616938526731294	153.7406610364497	RRP7A;RPS25;RPS17;EMG1;NOP16;PES1;NOP2;WDR74;RPS3A
mRNA Splicing, via Spliceosome (GO:0000398)	11/210	1.426794511185124E-6	1.1414356089480992E-4	0	0	7.032963559938055	94.66425377431399	DDX5;SF3B2;HNRNPH1;DHX15;HNRNPU;RNPS1;SNRPA1;KCNN4;HNRNPA1;PRPF8;SF1
Regulation of Cytoplasmic Translation (GO:2000765)	5/26	2.0630211128229703E-6	1.5472658346172278E-4	0	0	29.448773448773448	385.5238789991919	PKM;CNBP;HNRNPD;HNRNPU;YBX3
Regulation of RNA Splicing (GO:0043484)	8/104	2.397466325287023E-6	1.69232917079084E-4	0	0	10.459362139917696	135.35563126558728	HNRNPL;RBM39;CDK11A;HNRNPH1;USP22;HNRNPA1;SLC38A2;SF1
Positive Regulation of Cytoplasmic Translation (GO:2000767)	4/15	5.692944430344858E-6	3.6696196391884796E-4	0	0	44.72727272727273	540.1392018903204	PKM;HNRNPD;HNRNPU;YBX3
Positive Regulation of DNA-templated Transcription (GO:0045893)	27/1274	5.81023109538176E-6	3.6696196391884796E-4	0	0	2.904391518665777	35.01502528297215	EIF4A1;INO80E;DDX3X;CTBP2;SHC1;HNRNPU;FOXM1;TRIM28;MEN1;BRD4;USP22;CNBP;DDX56;LIF;RFXANK;INHBA;SIRT7;GTF2F1;SOX10;FOSL1;LBHD1;PKM;PSMC3;NACA;PTRH2;HNRNPD;UBE2V1
RNA Splicing (GO:0008380)	7/92	1.1195070442624312E-5	6.431564579700446E-4	0	0	10.278455431252256	117.17477237951427	SF3B2;DDX47;KHSRP;DHX15;SNRPA1;RNPS1;PRPF8
RNA Biosynthetic Process (GO:0032774)	8/128	1.1255238014475779E-5	6.431564579700446E-4	0	0	8.35761316872428	95.23230201689641	HNRNPL;RBM39;HNRNPH1;EXOSC9;HNRNPD;HNRNPU;RNPS1;EXOSC3
RNA Metabolic Process (GO:0016070)	6/63	1.331266862691501E-5	7.261455614680915E-4	0	0	13.07573812580231	146.79862419117782	KHSRP;EXOSC9;WDR74;HNRNPD;EXOSC3;TBRG4
Maturation of 5.8S rRNA Frm Tricistronic rRNA Trnscpt (GO:0000466)	4/19	1.5753887114889905E-5	8.219419364290384E-4	0	0	32.793574297188755	362.64523010560885	EXOSC9;PES1;EXOSC3;FTSJ3
mRNA Metabolic Process (GO:0016071)	7/101	2.065529853600689E-5	0.0010327649268003446	0	0	9.29023626158465	100.21878305320845	DDX5;SF3B2;EXOSC9;DHX15;EXOSC3;PRPF8;TBRG4
Ribosomal Large Subunit Biogenesis (GO:0042273)	5/45	3.375890272197526E-5	0.0016188604436636958	0	0	15.44621212121212	159.03831473306536	RPL7A;NOP16;PES1;NOP2;WDR74
Maturation of LSU-rRNA (GO:0000470)	4/23	3.507530961271341E-5	0.0016188604436636958	0	0	25.884590995561194	265.5244736462145	RPL7A;PES1;NOP2;FTSJ3
Regulation of mRNA Stability (GO:0043488)	6/80	5.244931442838862E-5	0.002331080641261716	0	0	10.063447593935399	99.18195106428011	YTHDF1;PCBP4;KHSRP;HNRNPU;VIM;TBRG4
Negative Regulation of Phosphorylation (GO:0042326)	5/50	5.6628595922067464E-5	0.0024269398252314625	0	0	13.726599326599327	134.23236638785156	IGFBP3;HNRNPU;INHBA;DYNLL1;MEN1
Regulation of Cell Cycle (GO:0051726)	11/317	6.792747081999363E-5	0.0028107918959997366	0	0	4.549533440210466	43.662191018630686	INO80E;CDK11A;CTBP1;PES1;RACK1;HNRNPU;FOXM1;YY1AP1;EIF4G2;MEN1;TBRG4
Regulation of Alternative mRNA Splicing, via Spliceosome (GO:0000381)	5/55	8.993764652237917E-5	0.0035975058608951668	0	0	12.350909090909092	115.06593465941887	HNRNPL;DDX5;HNRNPU;RNPS1;HNRNPA1
Regulation of Cell Growth (GO:0001558)	9/221	9.480850707076849E-5	0.0036700067253200705	0	0	5.330862533692723	49.38325225712337	CDK11A;DDX3X;DCUN1D5;EXOSC9;RACK1;INHBA;EIF4G2;VGLL4;DCBLD2
Cellular Response to Arsenic-Containing Substance (GO:0071243)	3/13	1.4861830678894285E-4	0.005573186504585357	0	0	36.68083832335329	323.30964954712016	DDX3X;HNRNPA1;SLC38A2
Negative Regulation of mRNA Splicing, via Spliceosome (GO:0048025)	3/15	2.3358327621682276E-4	0.008493937316975373	0	0	30.56437125748503	255.5784136302014	PCBP4;C1QBP;RNPS1
Regulation of Translation (GO:0006417)	8/201	2.718324804803491E-4	0.009594087546365263	0	0	5.177764984328024	42.51113102702763	YTHDF1;DDX3X;HNRNPD;RACK1;RPL13A;EIF3H;EEF2;EIF4G2
Negative Regulation of mRNA Processing (GO:0050686)	3/16	2.857470779365024E-4	0.009797042672108654	0	0	28.211883924458775	230.2203557907797	PCBP4;C1QBP;RNPS1
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	15/649	3.2624186667042413E-4	0.010874728889014139	0	0	3.021522336420067	24.256393139944326	SLC35B2;DDX3X;CTBP2;SHC1;PDPK1;DDX56;SHISA5;LIF;INHBA;PHB2;C1QBP;DHX15;RACK1;UBE2V1;BRD4
Regulation of Primary Metabolic Process (GO:0080090)	6/113	3.525709814227256E-4	0.01143473453262894	0	0	6.948484157738774	55.242245864244545	HNRNPL;CDK11A;HNRNPH1;USP22;ADIPOR1;HNRNPA1
Ribosome Assembly (GO:0042255)	4/42	3.9241204561605853E-4	0.012391959335243953	0	0	12.930247305009512	101.41449152776975	RRP7A;DDX3X;C1QBP;NOP2
Cell Cycle G2/M Phase Transition (GO:0044839)	4/43	4.298950941001417E-4	0.013227541356927438	0	0	12.598084646277417	97.65996599941136	USP22;ENSA;FOXM1;AURKB
rRNA Methylation (GO:0031167)	3/19	4.855271250037139E-4	0.01454419363016841	0	0	22.918787425149702	174.87665992345168	EMG1;NOP2;FTSJ3
RNA Catabolic Process (GO:0006401)	5/79	4.969266156974206E-4	0.01454419363016841	0	0	8.335380835380835	63.40781046522615	TRIR;C1QBP;EXOSC9;HNRNPD;EXOSC3
Protein Neddylation (GO:0045116)	3/20	5.677561034292109E-4	0.01584435637476868	0	0	21.56956674885523	161.20702974026494	DCUN1D5;GPS1;UBE2M
Negative Regulation of RNA Splicing (GO:0033119)	3/20	5.677561034292109E-4	0.01584435637476868	0	0	21.56956674885523	161.20702974026494	PCBP4;C1QBP;RNPS1
Regulation of mRNA Catabolic Process (GO:0061013)	4/47	6.056111729373893E-4	0.01651666835283789	0	0	11.423928271224433	84.64299651545218	YTHDF1;PCBP4;KHSRP;VIM
Ribosomal Small Subunit Biogenesis (GO:0042274)	5/84	6.585440559597842E-4	0.017324831587873096	0	0	7.805907172995781	57.18201012951806	RRP7A;RPS25;RPS17;EMG1;RPS3A
Negative Regulation of DNA-templated Transcription (GO:0045892)	19/1006	6.641185442018021E-4	0.017324831587873096	0	0	2.4785657252896933	18.135789077498274	DDX5;CTBP2;SHC1;CTBP1;CNBP;DDX56;HNRNPU;SIRT7;FOXM1;PHB2;SOX10;AURKB;HNRNPL;DRAP1;TRIM28;NACA;C1QBP;VGLL4;MEN1
Negative Regulation of Extrinsic Apoptotic Signaling Pathway via Death Domain Receptors (GO:1902042)	3/24	9.83889236337715E-4	0.023382657477573045	0	0	17.45765611633875	120.87676262578324	DDX3X;PEA15;GRINA
TRAMP-dependent tRNA Surveillance Pathway (GO:0071038)	2/6	9.937629427968543E-4	0.023382657477573045	0	0	60.788690476190474	420.29372738541406	EXOSC9;EXOSC3
Nuclear Polyadenylation-Dependent rRNA Catabolic Process (GO:0071035)	2/6	9.937629427968543E-4	0.023382657477573045	0	0	60.788690476190474	420.29372738541406	EXOSC9;EXOSC3
Exonucleolytic Trimming to Gen Mat 3'-End of 5.8S rRNA Frm Tricistronic rRNA Trnscpt (GO:0000467)	2/6	9.937629427968543E-4	0.023382657477573045	0	0	60.788690476190474	420.29372738541406	EXOSC9;EXOSC3
White Fat Cell Differentiation (GO:0050872)	2/6	9.937629427968543E-4	0.023382657477573045	0	0	60.788690476190474	420.29372738541406	CTBP2;CTBP1
