GO-term,Cellular Component (Gene Ontology),Count in Network,Strength,Signal,FDR
GO:0090068,Positive regulation of cell cycle process,27 of 251,0.92,1.98,6.49E-13
GO:0010564,Regulation of cell cycle process,51 of 716,0.74,1.92,1.53E-18
GO:0000278,Mitotic cell cycle,45 of 631,0.74,1.82,3.09E-16
GO:0033044,Regulation of chromosome organization,25 of 253,0.88,1.75,3.14E-11
GO:0007049,Cell cycle,69 of 1246,0.63,1.68,2.61E-20
GO:0051983,Regulation of chromosome segregation,17 of 128,1.01,1.66,4.6E-09
GO:0045787,Positive regulation of cell cycle,29 of 349,0.8,1.65,1.68E-11
GO:1903047,Mitotic cell cycle process,37 of 537,0.72,1.59,1.03E-12
GO:1905820,Positive regulation of chromosome separation,9 of 28,1.39,1.58,4.31E-07
GO:1905818,Regulation of chromosome separation,15 of 109,1.02,1.53,4.6E-08
GO:0051726,Regulation of cell cycle,59 of 1108,0.61,1.52,2.55E-16
GO:0051301,Cell division,35 of 527,0.71,1.48,1.57E-11
GO:0007059,Chromosome segregation,24 of 286,0.81,1.47,1.88E-09
GO:0022402,Cell cycle process,47 of 835,0.63,1.46,2.01E-13
GO:1901987,Regulation of cell cycle phase transition,30 of 431,0.73,1.42,2.87E-10
GO:0051276,Chromosome organization,50 of 968,0.6,1.37,4.18E-13
GO:1901990,Regulation of mitotic cell cycle phase transition,24 of 332,0.74,1.26,3E-08
GO:0000070,Mitotic sister chromatid segregation,14 of 122,0.94,1.24,1.21E-06
GO:0033045,Regulation of sister chromatid segregation,13 of 105,0.98,1.24,1.76E-06
GO:0000819,Sister chromatid segregation,15 of 144,0.9,1.22,1.13E-06
GO:1902850,Microtubule cytoskeleton organization involved in mitosis,14 of 129,0.92,1.19,1.93E-06
GO:0033043,Regulation of organelle organization,52 of 1190,0.52,1.16,3.21E-11
GO:0007346,Regulation of mitotic cell cycle,29 of 493,0.65,1.16,2.99E-08
GO:0010965,Regulation of mitotic sister chromatid separation,12 of 96,0.98,1.16,5.02E-06
GO:0140694,Non-membrane-bounded organelle assembly,22 of 314,0.73,1.15,2.85E-07
GO:0140014,Mitotic nuclear division,16 of 175,0.85,1.15,1.65E-06
GO:0007051,Spindle organization,15 of 160,0.86,1.12,3.07E-06
GO:0098813,Nuclear chromosome segregation,18 of 229,0.78,1.1,1.65E-06
GO:0006338,Chromatin remodeling,21 of 303,0.73,1.09,7.77E-07
GO:0030071,Regulation of mitotic metaphase/anaphase transition,11 of 91,0.97,1.05,2.13E-05
GO:0000226,Microtubule cytoskeleton organization,29 of 542,0.61,1.04,2.08E-07
GO:0000280,Nuclear division,21 of 323,0.7,1.03,1.79E-06
GO:0006996,Organelle organization,106 of 3470,0.37,1.01,4.34E-15
GO:0006403,RNA localization,15 of 180,0.81,1.01,1.08E-05
GO:1901970,Positive regulation of mitotic sister chromatid separation,6 of 19,1.38,1.01,0.00012
GO:0050658,RNA transport,14 of 159,0.83,0.99,1.61E-05
GO:0007088,Regulation of mitotic nuclear division,12 of 118,0.89,0.98,2.96E-05
GO:1902275,Regulation of chromatin organization,8 of 47,1.12,0.98,9.48E-05
GO:0090304,Nucleic acid metabolic process,73 of 2203,0.4,0.96,6.52E-11
GO:0006325,Chromatin organization,30 of 612,0.57,0.96,6.29E-07
GO:0006405,RNA export from nucleus,10 of 83,0.97,0.95,7.06E-05
GO:0051128,Regulation of cellular component organization,75 of 2365,0.39,0.92,2.06E-10
GO:0016071,mRNA metabolic process,29 of 611,0.56,0.91,1.81E-06
GO:0051028,mRNA transport,12 of 129,0.85,0.91,6.61E-05
GO:0000184,"Nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",7 of 37,1.16,0.91,0.00022
GO:0051168,Nuclear export,12 of 132,0.84,0.89,7.56E-05
GO:0032465,Regulation of cytokinesis,10 of 94,0.91,0.86,0.00016
GO:0051984,Positive regulation of chromosome segregation,6 of 26,1.25,0.86,0.00043
GO:0007052,Mitotic spindle organization,10 of 97,0.9,0.84,0.00020
GO:0007017,Microtubule-based process,33 of 803,0.5,0.82,3.79E-06
GO:0060236,Regulation of mitotic spindle organization,7 of 45,1.08,0.79,0.00062
GO:0032467,Positive regulation of cytokinesis,7 of 45,1.08,0.79,0.00062
GO:0071840,Cellular component organization or biogenesis,134 of 5639,0.26,0.78,5.49E-12
GO:0007010,Cytoskeleton organization,43 of 1229,0.43,0.78,2.1E-06
GO:0031497,Chromatin assembly,13 of 179,0.75,0.78,0.00021
GO:0016070,RNA metabolic process,50 of 1550,0.39,0.76,1.61E-06
GO:0006397,mRNA processing,22 of 455,0.57,0.76,6.13E-05
GO:0070507,Regulation of microtubule cytoskeleton organization,12 of 157,0.77,0.76,0.00031
GO:0010847,Regulation of chromatin assembly,6 of 32,1.16,0.76,0.0010
GO:0016043,Cellular component organization,127 of 5436,0.25,0.75,1.53E-10
GO:0006396,RNA processing,33 of 868,0.46,0.74,1.74E-05
GO:1901978,Positive regulation of cell cycle checkpoint,5 of 19,1.3,0.74,0.0014
