Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Translation (GO:0002181)	17/101	2.256177714565688E-19	2.8630895197838585E-16	0	0	33.80093676814988	1451.2582501382935	RPL4;EIF4A1;RPL30;RPL41;RPL3;RPL32;RPL23;RPS6;RPL10A;RPL8;RPL9;RPS14;RPS17;RPS15A;FAU;RPL18;RPL19
Macromolecule Biosynthetic Process (GO:0009059)	19/189	3.530682812037384E-17	2.2402182442377203E-14	0	0	18.897549019607844	715.8855559673617	RPL4;RPL30;RPL41;RPL3;RPL32;RPL23;RPS6;RPL10A;RPL8;EEF2;RPL9;RPS14;RPS17;RPS15A;TNIP1;FAU;RPL18;EIF4G2;RPL19
Gene Expression (GO:0010467)	22/381	1.2293221802508451E-14	5.200032822461075E-12	0	0	10.528343213579982	337.21997318439645	RPL4;RPL30;RPL41;RPL3;RPL32;RPL23;ALYREF;RPS6;RPL10A;RPL8;RPL9;HNRNPL;RPS14;RPS17;DDX39A;RPS15A;TNIP1;HNRNPH1;RNPS1;FAU;RPL18;RPL19
Translation (GO:0006412)	18/232	2.4343275066122268E-14	7.72290401472729E-12	0	0	14.073839499497954	441.16590206515673	RPL4;RPL30;RPL41;RPL3;RPL32;RPL23;RPS6;RPL10A;RPL8;EEF2;RPL9;RPS14;RPS17;RPS15A;TNIP1;FAU;RPL18;RPL19
Protein Metabolic Process (GO:0019538)	19/614	3.2916578316473506E-8	8.354227576720975E-6	0	0	5.286204481792717	91.07754687553744	RPL4;RPL30;RPL41;RPL3;RPL32;RPL23;RPS6;RPL10A;RPL8;RPL9;RPS14;RPS17;RPS15A;TNIP1;PLAU;DPP9;FAU;RPL18;RPL19
Negative Regulation of Programmed Cell Death (GO:0043069)	15/381	4.6983332715028386E-8	9.936974869228504E-6	0	0	6.641327340031729	112.06225703294683	DDX3X;ARL6IP1;TSC22D1;PLK2;RELA;VEGFA;PSMC5;DPP9;ARHGDIA;BAG1;NUP62;FLNA;TPT1;NFE2L2;BCL2L1
Ribosomal Small Subunit Biogenesis (GO:0042274)	8/84	9.936732797539785E-8	1.8013877028682837E-5	0	0	16.37926878264363	264.10657718174417	RRP7A;RPS14;RPS17;RPS15A;KRR1;RPS6;FAU;WDR46
Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)	12/270	3.0689276796066887E-7	4.86808653177611E-5	0	0	7.398644936824757	110.95575749169512	NFKBIA;SHARPIN;TNIP1;PLK2;NUP62;DDX56;FLOT1;FLNA;RHOC;RELA;TNFRSF1A;VEGFA
Negative Regulation of Apoptotic Process (GO:0043066)	15/474	7.729874458894259E-7	1.0899122987040906E-4	0	0	5.271189120809614	74.18146046492905	DDX3X;ARL6IP1;TSC22D1;PLK2;RELA;VEGFA;ARHGDIA;BAG1;NUP62;SNAI2;FLNA;ITGA5;TPT1;NFE2L2;BCL2L1
Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123)	10/204	1.2791502061764018E-6	1.623241611637854E-4	0	0	8.097978102773116	109.88401251612999	SHARPIN;PLK2;NUP62;DDX56;FLOT1;FLNA;RHOC;RELA;TNFRSF1A;VEGFA
Negative Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	6/60	3.1433815510598284E-6	3.626319262086293E-4	0	0	17.047619047619047	215.99693737772105	DDX3X;SNAI2;ENO1;TPT1;BCL2L1;NFE2L2
protein-RNA Complex Assembly (GO:0022618)	8/137	4.222116704568251E-6	4.464888415080925E-4	0	0	9.624711521391799	119.10747945854361	RRP7A;RPS14;EIF6;SRSF1;SRSF5;FAU;SF1;SNRPB
Regulation of Apoptotic Process (GO:0042981)	17/703	5.382498739871342E-6	5.254146846843641E-4	0	0	4.016608516943077	48.73093183807056	DAXX;DDX3X;ARL6IP1;TSC22D1;PLK2;RPS6;RELA;VEGFA;ARHGDIA;BAG1;NUP62;FLNA;RNPS1;CCNL2;DMAP1;TPT1;BCL2L1
Ribosome Assembly (GO:0042255)	5/42	9.057638738315176E-6	8.210102542087112E-4	0	0	20.59600645421541	239.15881053116277	RRP7A;RPS14;DDX3X;EIF6;FAU
Ribonucleoprotein Complex Biogenesis (GO:0022613)	7/116	1.3836830795301103E-5	0.0011087205478412414	0	0	9.90109813733667	110.77523471995623	RRP7A;RPS14;RPS17;RPS15A;KRR1;RPS6;WDR46
Negative Regulation of DNA-templated Transcription (GO:0045892)	20/1006	1.39791400831047E-5	0.0011087205478412414	0	0	3.319412957880921	37.10421326328401	HSPA8;DAXX;PHC2;RPL23;MBD1;DDX56;SUPT4H1;ENO1;AURKB;RELA;VEGFA;HNRNPL;NFKBIA;RPS14;MUC1;IRF1;SNAI2;FLNA;DMAP1;MTA2
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)	8/170	2.0525846204121942E-5	0.0015321940490018084	0	0	7.651682216567713	82.59092396998437	HSPA8;DDX39A;HNRNPH1;SRSF1;RNPS1;SRSF5;SF1;SNRPB
Negative Regulation of Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:1902230)	4/25	2.2495545470510913E-5	0.0015859359556710194	0	0	28.83809523809524	308.6308681262538	MUC1;SNAI2;TPT1;BCL2L1
RNA Processing (GO:0006396)	10/290	2.824367871892102E-5	0.0018863804365426722	0	0	5.5869324473975635	58.521111049615456	RRP7A;HNRNPL;RPS17;HNRNPH1;KHSRP;RPS6;SRSF1;RNPS1;SRSF5;SNRPB
Protein Localization to Plasma Membrane (GO:0072659)	7/132	3.198053738166975E-5	0.0020291650968669458	0	0	8.626969696969697	89.29244089867186	EHD1;GAK;RAB34;FLOT1;FLNA;EPHA2;TNFRSF1A
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	15/649	3.363779889454018E-5	0.002032684133198642	0	0	3.7828177470235067	38.96249379072242	DDX3X;RPL23;PLK2;DDX56;RHOC;F3;RELA;TNFRSF1A;VEGFA;ASXL1;SHARPIN;NUP62;FLOT1;FLNA;HBEGF
Protein Localization to Cell Periphery (GO:1990778)	7/136	3.872902116385599E-5	0.0022339603571333295	0	0	8.35782241014799	84.90646042240984	EHD1;GAK;RAB34;FLOT1;FLNA;EPHA2;TNFRSF1A
