Cell Line Name,OTS964_0.004572 uM,OTS964_0.01372 uM,OTS964_0.04115 uM,OTS964_0.1235 uM,OTS964_0.3704 uM,OTS964_1.111 uM,OTS964_10.0 uM,OTS964_3.333 uM
143B_BONE,-0.237234381,0.089957469,0.191114959,-2.687798112,-3.509576711,-3.937468039,-3.265977312,-3.660879157
1618K_TESTIS,0.074377707,0.28259073,-0.232855697,-2.673817403,-3.993843355,-4.803052126,-4.359540901,-4.396750131
1777NRPMET_TESTIS,0.140964074,-0.488466906,-2.189638876,-3.687693612,-2.542525252,-4.457856352,-3.839520237,-2.565990935
22RV1_PROSTATE,0.003834746,-0.175474431,-0.192029537,-1.991853352,-3.077564362,-3.920074771,-3.152860467,-2.966844633
2313287_STOMACH,-0.432410989,0.122069497,0.019532299,-3.230964828,-3.541825142,-4.024008797,-4.783719924,-4.62732848
253J_URINARY_TRACT,-0.119261617,0.14340469,-0.134587949,-1.170044998,-2.910038164,-3.365395261,-3.686310902,-3.241666999
253JBV_URINARY_TRACT,-0.237785523,0.237184879,0.175319318,-1.263896353,-3.972232825,-3.53462449,-3.651834014,-3.579989917
42MGBA_CENTRAL_NERVOUS_SYSTEM,0.151676094,-0.091160496,-0.346425551,-4.074804472,-3.126961714,-3.552344578,-3.594167025,-4.137831973
5637_URINARY_TRACT,-0.135407492,-0.331609644,0.104001487,-0.699056594,-4.455421686,-4.971214462,-4.940713572,-5.494743901
639V_URINARY_TRACT,0.237913312,0.042564713,-0.589408233,-4.757489908,-3.232409082,-4.816535073,-3.722073144,-3.777323173
647V_URINARY_TRACT,-0.075278377,-0.379020349,0.008840037,-1.410459339,-3.208720119,-4.073500633,-4.052154088,-4.026315792
769P_KIDNEY,-0.25551724,-0.1172745,-0.356724384,-2.455234289,-3.403769121,-3.777001049,-4.488226649,-3.569212374
786O_KIDNEY,0.225988546,0.008413373,-0.483001502,-0.99038302,-2.795603265,-3.275096823,-3.796203538,-3.471385514
8305C_THYROID,-0.164207902,0.070482976,0.271464356,-3.666234143,-3.27910591,-3.680116887,-3.698776805,-3.812941688
8505C_THYROID,0.224230195,0.377027763,-0.310193172,-0.928336674,-3.131284547,-3.510351336,-3.800079434,-4.279828987
8MGBA_CENTRAL_NERVOUS_SYSTEM,0.407861563,0.204753694,-0.200320047,-1.374473774,-3.607682407,-3.855745116,-4.381973388,-3.931210283
921_UVEA,0.105370667,-0.880862044,0.005141324,-0.605584019,-3.373935511,-3.494761018,-4.31923605,-2.948140291
93T449_SOFT_TISSUE,-0.450578653,-0.060624644,-0.457230816,-1.627739306,-3.992956709,-4.067553516,-4.100211398,-4.307673508
94T778_SOFT_TISSUE,0.115658193,0.012148781,0.137970573,-1.410937489,-3.930810993,-4.387933061,-4.245386886,-4.142953341
9505BIK_PANCREAS,-0.508496116,-0.008081051,0.525957819,-1.744178043,-3.553112045,-4.57385299,-4.749697412,-4.09769044
95T1000_SOFT_TISSUE,0.255935578,-0.242049202,0.096308079,-1.17472786,-3.659592505,-3.967571592,-3.770568771,-3.947781791
A101D_SKIN,0.042908829,-0.186432103,-0.143167267,-1.025306843,-3.635694385,-3.619303388,-3.904846936,-3.778526087
A1207_CENTRAL_NERVOUS_SYSTEM,-0.128706983,-0.248905259,-0.224552261,-2.557924577,-3.473884215,-4.1312641,-4.100418599,-3.949159762
A172_CENTRAL_NERVOUS_SYSTEM,0.146010246,-0.536518048,-0.252089737,-3.797449741,-4.751893441,-3.665947773,-3.4835694,-3.447561719
A2058_SKIN,0.019380972,0.220886118,0.233108237,-1.63331895,-3.329270186,-4.027318365,-3.790375887,-3.065201234
A253_SALIVARY_GLAND,-0.47873158,0.049268494,-0.388879303,-3.895836784,-4.055145601,-4.970790229,-4.731609393,-5.353789531
A2780_OVARY,0.081331863,-0.562838607,-0.699639643,-3.401582078,-2.778861142,-3.540707982,-2.68813858,-2.854741072
A375_SKIN,-0.105286173,0.024265817,-0.058768457,-1.399588477,-3.131063698,-3.952098451,-2.995828882,-3.581890941
