Depmap ID,"RNAi (Achilles, DEMETER2)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-000720,-0.969304739895516,TCCSUP,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.625562739966372,Other
ACH-000752,-0.9200470307668617,NCIH196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,6.047669251391315,Other
ACH-000750,-1.1452866308636158,LOXIMVI,Melanoma,Skin,Melanoma,4.766065051474954,Other
ACH-000749,-1.009842677452463,DMS273,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.013908845490639,Other
ACH-000748,-1.0296036693836745,SJSA1,Osteosarcoma,Bone,Osteosarcoma,5.6946016533561234,Other
ACH-000747,-0.8429838280889622,NCIH1703,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.488000770834068,Other
ACH-000746,-1.052947094544387,GSS,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,4.905928478173135,Other
ACH-000744,-0.9368642707670007,NCIH1623,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.874796965898665,Other
ACH-000738,-1.0308219918563981,GB1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.8376910004285625,Other
ACH-000736,-0.7080036272453731,SNU601,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.495695162624068,Other
ACH-000735,-0.7850783943662308,PECAPJ49,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,4.857483428286672,Other
ACH-000734,-0.9620606201187423,JHH5,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma,4.663913842115978,Other
ACH-000730,-1.0263128988589745,SKMEL5,Melanoma,Skin,Melanoma,4.605257262939004,Other
ACH-000727,-1.5518814386658335,NCIH2066,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,,Other
ACH-000725,-0.8141333446456341,HCC202,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ,5.263410058756341,Other
ACH-000722,-0.8289648416958992,SNUC1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.422569410860832,Other
ACH-000755,-1.049812551109386,HCC2218,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ,3.3798981635246923,Other
ACH-000719,-0.8431978891594831,RMGI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.886062338345599,Other
ACH-000718,-0.7423009376943077,NCIH2291,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.235727059838059,Other
ACH-000717,-0.8226273544578951,COLO680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,4.832890014164741,Other
ACH-000713,-1.1390968535196622,CAOV3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.072534599722955,Other
ACH-000710,-0.7927000208873155,NCIH854,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.681168120416691,Other
ACH-000709,-1.0968389889685375,KMRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,3.1651079851445365,Other
ACH-000706,-1.008074518226611,EKVX,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.657640005207824,Other
ACH-000704,-0.9023143051795708,OAW42,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.343407822297814,Other
ACH-000701,-1.068511663072915,RMUGS,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.434628227636725,Other
ACH-000700,-0.7247760209575806,NCIH2882,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.403949364232865,Other
ACH-000699,-1.0119635610299293,HCC1395,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.011227255423254,Other
ACH-000698,-0.8915758000061301,DMS53,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.622930350920177,Other
ACH-000697,-1.3251979967381207,A3KAW,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.152183419055046,Other
ACH-000696,-0.9214108102589426,OVCAR8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.0798047546352585,Other
ACH-000694,-1.1379797356462622,TE9,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,5.118941072723508,Other
ACH-000778,-1.0412528716952718,HSC3,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,4.793375711264754,Other
ACH-000819,-0.7184719357911517,LN18,Diffuse Glioma,CNS/Brain,Diffuse Glioma,6.014132086503214,Other
ACH-000812,-0.8905627756891632,COLO783,Melanoma,Skin,Melanoma,5.253611151947168,Other
ACH-000811,-1.034244144440638,SKOV3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.276496665640356,Other
ACH-000805,-0.905212232078034,COLO679,Melanoma,Skin,Melanoma,5.466300829179342,Other
ACH-000794,-0.9157833941656273,BICR22,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,3.893362210763872,Other
ACH-000793,-0.7362637181619589,KATOIII,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.076388068512841,Other
ACH-000792,-0.6452058390326393,BFTC909,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,6.727920454563199,Other
ACH-000790,-1.1141828161128364,SHP77,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.725195817226664,Other
ACH-000788,-0.8972450351309382,A2058,Melanoma,Skin,Melanoma,5.3957483281790335,Other
ACH-000787,-1.0490322932648277,LXF289,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.636334602442182,Other
ACH-000785,-1.065801831303961,NCIH2126,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.895787316463311,Other
ACH-000784,-0.9304712128716957,KYSE70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,4.480265122054463,Other
ACH-000782,-1.1201318598746672,SEM,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,5.643856189774724,Other
ACH-000781,-0.767627242428543,NCIH2023,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.123086750981061,Other
ACH-000780,-0.9344557317930984,NCIH1105,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.983677694698067,Other
ACH-000693,-1.1127383304650358,KYSE180,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,4.522934560943456,Other
ACH-000777,-0.8316977771119678,KYSE30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,4.393690764187454,Other
