Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA Damage Response (GO:0006974)	5/421	8.830534743327701E-6	0.0018720733655854726	0	0	24.240384615384617	282.092506327542	MSH6;FEN1;BRCA1;RAD18;PIAS1
DNA Metabolic Process (GO:0006259)	4/301	5.3718044186913036E-5	0.003481915797508563	0	0	24.83868992959902	244.20807770784145	MSH6;FEN1;BRCA1;RAD18
DNA Repair (GO:0006281)	4/301	5.3718044186913036E-5	0.003481915797508563	0	0	24.83868992959902	244.20807770784145	MSH6;FEN1;BRCA1;RAD18
Regulation of Cell Cycle (GO:0051726)	4/317	6.569652448129364E-5	0.003481915797508563	0	0	23.550392099912866	226.8012158729644	CDC27;TSC2;BRCA1;CCNL2
Postreplication Repair (GO:0006301)	2/23	1.2411207207938956E-4	0.005262351856166117	0	0	150.64468864468864	1354.9473785949958	BRCA1;RAD18
Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:0008630)	2/52	6.426063104486989E-4	0.02270542296918736	0	0	63.18153846153846	464.38293609371146	MSH6;BRCA1
Protein Autoubiquitination (GO:0051865)	2/65	0.0010025179625030372	0.03036197257866341	0	0	50.11233211233211	346.03770431118363	BRCA1;RAD18
DNA Replication (GO:0006260)	2/73	0.001262391923430243	0.033120514673310904	0	0	44.44853737811484	296.68274177155484	FEN1;MCMBP
Protein Modification by Small Protein Conjugation (GO:0032446)	3/315	0.001406059585187727	0.033120514673310904	0	0	16.243589743589745	106.67107081934864	CDC27;BRCA1;PIAS1
Protein Ubiquitination (GO:0016567)	3/368	0.002193436709651985	0.039215379763838064	0	0	13.848630136986301	84.78527013265695	CDC27;BRCA1;RAD18
Response to UV (GO:0009411)	2/100	0.002350972449337794	0.039215379763838064	0	0	32.16012558869702	194.66286767778038	MSH6;FEN1
Recombinational Repair (GO:0000725)	2/101	0.0023974595486534445	0.039215379763838064	0	0	31.833721833721835	192.06384631004286	FEN1;BRCA1
Positive Regulation of Vasculature Development (GO:1904018)	2/109	0.002784971877943492	0.039215379763838064	0	0	29.44212796549245	173.22327522055772	PDCL3;BRCA1
Double-Strand Break Repair via Homologous Recombination (GO:0000724)	2/114	0.003041178031581421	0.039215379763838064	0	0	28.12087912087912	162.97484538419124	FEN1;BRCA1
Intrinsic Apoptotic Signaling Pathway (GO:0097193)	2/115	0.0030937046308840708	0.039215379763838064	0	0	27.87066031313819	161.0474332671908	MSH6;BRCA1
Positive Regulation of Cell Cycle Process (GO:0090068)	2/118	0.0032538449819924566	0.039215379763838064	0	0	27.145888594164457	155.48942147592052	FEN1;RAD18
Maintenance of DNA Repeat Elements (GO:0043570)	1/5	0.003635952214500609	0.039215379763838064	0	0	367.5	2064.204960066838	MSH6
Metaphase/Anaphase Transition of Mitotic Cell Cycle (GO:0007091)	1/5	0.003635952214500609	0.039215379763838064	0	0	367.5	2064.204960066838	CDC27
Negative Regulation of Mitophagy (GO:1901525)	1/5	0.003635952214500609	0.039215379763838064	0	0	367.5	2064.204960066838	TSC2
Positive Regulation of Angiogenesis (GO:0045766)	2/126	0.0036995641286639686	0.039215379763838064	0	0	25.384615384615383	142.14217606773653	PDCL3;BRCA1
Metaphase/Anaphase Transition of Cell Cycle (GO:0044784)	1/6	0.004361664492119325	0.04203058510587713	0	0	293.98571428571427	1597.7834084363271	CDC27
Regulation of Protein Depolymerization (GO:1901879)	1/6	0.004361664492119325	0.04203058510587713	0	0	293.98571428571427	1597.7834084363271	MAP1B
DNA Strand Resection Involved in Replication Fork Processing (GO:0110025)	1/7	0.005086883898464046	0.04400219495051529	0	0	244.97619047619048	1293.7412697293055	BRCA1
Regulation of Cellular Component Organization (GO:0051128)	2/158	0.005749004332881259	0.04400219495051529	0	0	20.14595660749507	103.92752249856156	TSC2;CCNL2
Regulation of Sister Chromatid Cohesion (GO:0007063)	1/8	0.005811610653841642	0.04400219495051529	0	0	209.96938775510205	1080.9008916690827	FEN1
Anoikis (GO:0043276)	1/8	0.005811610653841642	0.04400219495051529	0	0	209.96938775510205	1080.9008916690827	TSC2
Somatic Hypermutation of Immunoglobulin Genes (GO:0016446)	1/8	0.005811610653841642	0.04400219495051529	0	0	209.96938775510205	1080.9008916690827	MSH6
Somatic Recombination of Immunoglobulin Gene Segments (GO:0016447)	1/8	0.005811610653841642	0.04400219495051529	0	0	209.96938775510205	1080.9008916690827	MSH6
Negative Regulation of Cellular Process (GO:0048523)	3/531	0.006150376155811509	0.0449613705183462	0	0	9.496212121212121	48.34751432942143	TSC2;BRCA1;SAV1
Neuroepithelial Cell Differentiation (GO:0060563)	1/9	0.006535845007637683	0.04526566148288443	0	0	183.71428571428572	924.1661964366673	MAP1B
Double-Strand Break Repair (GO:0006302)	2/176	0.00708445238258168	0.04526566148288443	0	0	18.04597701149425	89.32492805856677	FEN1;BRCA1
Positive Regulation of Protein Sumoylation (GO:0033235)	1/10	0.007259587218953163	0.04526566148288443	0	0	163.29365079365078	804.291823417332	PIAS1
Homologous Recombination (GO:0035825)	1/10	0.007259587218953163	0.04526566148288443	0	0	163.29365079365078	804.291823417332	BRCA1
Somatic Recombination of Immunoglobulin Genes Involved in Immune Response (GO:0002204)	1/10	0.007259587218953163	0.04526566148288443	0	0	163.29365079365078	804.291823417332	MSH6
Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0048009)	1/11	0.007982837562722316	0.04701004342492031	0	0	146.95714285714286	709.8707981524108	TSC2
Regulation of Cell Cycle Checkpoint (GO:1901976)	1/11	0.007982837562722316	0.04701004342492031	0	0	146.95714285714286	709.8707981524108	BRCA1
Isotype Switching (GO:0045190)	1/12	0.008705596318979398	0.04856806367430611	0	0	133.5909090909091	633.7271124404547	MSH6
Base-Excision Repair, Gap-Filling (GO:0006287)	1/12	0.008705596318979398	0.04856806367430611	0	0	133.5909090909091	633.7271124404547	FEN1
Protein Stabilization (GO:0050821)	2/211	0.010043424747886862	0.05248106648169133	0	0	14.99815973500184	69.00408992854203	PDCL3;SAV1
Regulation of Angiogenesis (GO:0045765)	2/211	0.010043424747886862	0.05248106648169133	0	0	14.99815973500184	69.00408992854203	PDCL3;BRCA1
Negative Regulation of Fatty Acid Biosynthetic Process (GO:0045717)	1/14	0.010149640215798795	0.05248106648169133	0	0	113.02747252747253	518.8319309655998	BRCA1
Protein K6-linked Ubiquitination (GO:0085020)	1/15	0.010870925937900575	0.054872292829402904	0	0	104.94897959183673	474.543959740547	BRCA1
Regulation of DNA Damage Checkpoint (GO:2000001)	1/16	0.011591721235905659	0.056121430936187974	0	0	97.94761904761904	436.59799776214004	BRCA1
Protein Polyubiquitination (GO:0000209)	2/228	0.011647844156567316	0.056121430936187974	0	0	13.858407079646017	61.706416863482396	CDC27;BRCA1
Positive Chemotaxis (GO:0050918)	1/17	0.012312026407688229	0.05638266226701168	0	0	91.82142857142857	403.755233367946	TSC2
Regulation of Protein Sumoylation (GO:0033233)	1/17	0.012312026407688229	0.05638266226701168	0	0	91.82142857142857	403.755233367946	PIAS1
Protein Branched Polyubiquitination (GO:0141198)	1/18	0.013031841750394207	0.05638266226701168	0	0	86.41596638655462	375.076365057162	CDC27
Positive Regulation of Chromosome Segregation (GO:0051984)	1/18	0.013031841750394207	0.05638266226701168	0	0	86.41596638655462	375.076365057162	RAD18
Regulation of Centriole Replication (GO:0046599)	1/18	0.013031841750394207	0.05638266226701168	0	0	86.41596638655462	375.076365057162	BRCA1
Negative Regulation of Reactive Oxygen Species Metabolic Process (GO:2000378)	1/19	0.013751167566292723	0.057880016608534486	0	0	81.61111111111111	349.83676327567105	BRCA1
Maintenance of Protein Location in Nucleus (GO:0051457)	1/20	0.014470004152133622	0.057880016608534486	0	0	77.31203007518798	327.468822510741	SUN1
Regulation of Meiotic Cell Cycle (GO:0051445)	1/20	0.014470004152133622	0.057880016608534486	0	0	77.31203007518798	327.468822510741	CDC27
Hippo Signaling (GO:0035329)	1/20	0.014470004152133622	0.057880016608534486	0	0	77.31203007518798	327.468822510741	SAV1
