Protein_A	Protein_B	Score
CDCA8	INCENP	0.999
SF3B1	CDC5L	0.999
SMG9	SMG1	0.999
PRRC2C	SON	0.999
DLGAP5	HMMR	0.999
TP53BP1	BRCA1	0.999
DNMT1	UHRF1	0.999
LIG1	FEN1	0.999
NPM1	NCL	0.999
KIF23	RACGAP1	0.999
RANBP2	NUP214	0.999
SEC16A	SEC24A	0.999
NCAPH	NCAPG	0.999
SMG1	SMG7	0.999
CDC5L	CWC25	0.998
BMS1	NGDN	0.998
BMS1	UTP14A	0.998
SF3B1	RBM17	0.997
ANLN	RACGAP1	0.997
NOP2	FTSJ3	0.997
NGDN	DNTTIP2	0.997
BMS1	RSL1D1	0.996
BMS1	DNTTIP2	0.996
UTP14A	NGDN	0.996
MSH6	BRCA1	0.996
DLGAP5	ASPM	0.994
STIL	CENPJ	0.994
BMS1	EXOSC10	0.992
SSRP1	RTF1	0.992
CWF19L2	CDC5L	0.992
RANBP2	AHCTF1	0.992
EXOSC10	UTP14A	0.99
FTSJ3	RSL1D1	0.99
RANBP2	TPR	0.99
KIF23	ANLN	0.989
RRP1B	RSL1D1	0.987
KIF23	ASPM	0.987
CENPF	ASPM	0.987
LIG1	UHRF1	0.987
UTP14A	DNTTIP2	0.987
TRIM28	DNMT1	0.985
UTP14A	RSL1D1	0.983
DNTTIP2	RSL1D1	0.983
POLD3	FEN1	0.983
NPM1	HJURP	0.983
NOP2	RSL1D1	0.982
E2F8	E2F7	0.981
CASC3	CWC25	0.981
CENPF	MKI67	0.979
DLGAP5	PBK	0.979
TPX2	HMMR	0.979
DLGAP5	TPX2	0.978
KIF23	INCENP	0.977
DLGAP5	TTK	0.977
DLGAP5	CENPF	0.976
COIL	NOLC1	0.976
NPM1	CTCF	0.975
NCAPG	TTK	0.973
NCAPG	ASPM	0.972
ASPM	STIL	0.972
ESPL1	CDCA8	0.972
DPF2	PBRM1	0.971
KIF15	ASPM	0.971
TTK	PBK	0.969
UTP14A	FTSJ3	0.968
CREBBP	BRCA1	0.968
SKA3	CENPF	0.968
SAV1	RASSF1	0.967
CENPF	TTK	0.967
DLGAP5	NUSAP1	0.965
NUP214	AHCTF1	0.965
TPX2	NUSAP1	0.964
HMMR	BRCA1	0.964
NGDN	RSL1D1	0.963
BMS1	FTSJ3	0.963
PTPN12	BCAR1	0.962
CENPF	CDCA8	0.962
ASPM	MKI67	0.962
DLGAP5	CDCA8	0.961
KIF15	TTK	0.961
RPA1	BRCA1	0.96
KIF15	CENPF	0.959
NUP214	TPR	0.958
ASPM	TTK	0.957
KIF20B	RACGAP1	0.954
PBK	NUSAP1	0.954
TPX2	CENPF	0.954
TPX2	MKI67	0.954
KIF23	CDCA8	0.954
TNRC6A	DCP1A	0.953
THOC2	CDC5L	0.953
ATXN2L	ATXN2	0.953
ASPM	PBK	0.951
DLGAP5	KIF23	0.951
NOLC1	RSL1D1	0.95
ASPM	CDCA8	0.95
MSH6	FEN1	0.95
NCAPG	KIF23	0.949
TPX2	ASPM	0.949
CDCA8	NUSAP1	0.949
CENPF	PBK	0.949
NCAPG	TPX2	0.949
TPX2	KIF15	0.948
SMG9	SMG7	0.948
RANBP2	POM121	0.948
DLGAP5	NCAPG	0.948
RB1	KDM5A	0.947
CENPF	HJURP	0.946
DLGAP5	HJURP	0.946
MKI67	HJURP	0.946
BAZ1B	MYBBP1A	0.946
TTK	CDCA8	0.946
BAZ1B	BAZ1A	0.946
TPX2	PBK	0.945
ESPL1	TTK	0.945
RRP1B	FTSJ3	0.945
EXOSC10	DNTTIP2	0.945
CENPF	NUSAP1	0.944
ESPL1	INCENP	0.944
BRCA1	PIAS1	0.943
NPM1	SURF6	0.943
MKI67	NUSAP1	0.943
ASPM	CENPJ	0.942
HCFC1	ASXL2	0.94
ASPM	NUSAP1	0.94
CDC25B	CDC25A	0.938
RRP1B	NOP2	0.937
DLGAP5	KIF15	0.937
TRIM28	UHRF1	0.936
TPX2	TTK	0.935
KIF15	MKI67	0.935
DLGAP5	RACGAP1	0.935
BAZ1B	DEK	0.934
CDCA8	RACGAP1	0.934
NUP214	DEK	0.932
MYBBP1A	DEK	0.932
NCAPG	NUSAP1	0.931
TTK	DEPDC1	0.931
RAD18	TP53BP1	0.931
ASPM	HJURP	0.931
KIF23	CENPF	0.93
CDC25A	BRCA1	0.929
DDX5	HNRNPA1	0.929
TTK	HJURP	0.929
SF3B1	DEK	0.928
RPA1	POLD3	0.928
ASPM	HMMR	0.928
RB1	TP53BP1	0.928
CENPF	HMMR	0.927
HJURP	NUSAP1	0.926
KIF15	NUSAP1	0.926
ESPL1	CENPF	0.926
TTK	NUSAP1	0.926
HAUS6	NUMA1	0.924
NPM1	NOP2	0.924
NCAPG	CENPF	0.924
BRCA1	CDC27	0.923
NPM1	HNRNPA1	0.923
ANLN	TPX2	0.923
MKI67	CDCA8	0.923
CDCA8	HJURP	0.923
SURF6	FTSJ3	0.922
TPX2	BRCA1	0.922
CENPJ	BRCA1	0.92
NCAPG	PBK	0.92
INCENP	RACGAP1	0.92
SF3B1	BAZ1B	0.919
NCAPG	KIF15	0.919
TPX2	CDCA8	0.919
PRRC2C	UBAP2L	0.915
THOC2	TPR	0.914
DLGAP5	ANLN	0.914
CKAP2L	HJURP	0.913
CDCA8	PBK	0.912
MSH6	RPA1	0.91
RRP1B	SURF6	0.909
NCAPG	HMMR	0.909
NCAPG	MKI67	0.908
NCAPH	CDCA8	0.908
SF3B1	MYBBP1A	0.908
HMMR	DEPDC1	0.907
KIF23	TPX2	0.906
TACC3	CDCA8	0.904
HCFC1	TEX10	0.904
MGA	TEX10	0.903
AHCTF1	POM121	0.903
TPX2	DEPDC1	0.903
DLGAP5	MKI67	0.902
PHC2	UBAP2L	0.902
KIF15	CDCA8	0.902
MGA	HCFC1	0.902
PHC2	CDC27	0.901
KIF15	HMMR	0.901
PHC2	BRCA1	0.901
SURF6	RSL1D1	0.901
DDX5	SF3B1	0.901
CRIPT	SF3B1	0.9
ANLN	ASPM	0.9
KIF23	NUSAP1	0.9
PPRC1	HCFC1	0.899
FEN1	RECQL	0.898
DLGAP5	CKAP2L	0.897
HMMR	NUSAP1	0.896
NUMA1	GPSM1	0.896
MKI67	HMMR	0.896
DDX5	DDX3X	0.896
HJURP	PBK	0.896
RAD18	BRCA1	0.895
KIF23	KIF15	0.893
HMMR	PBK	0.893
NCAPH	KIF15	0.892
NUP214	POM121	0.892
TPX2	HJURP	0.892
HJURP	GTSE1	0.889
KIF23	HMMR	0.889
THOC2	ZC3H11A	0.888
NCAPH	TTK	0.886
ANLN	INCENP	0.885
NCL	NOLC1	0.885
KIF23	PBK	0.884
KIF15	KIF20B	0.883
CKAP2L	ASPM	0.883
PNN	CASC3	0.882
NCAPG	HJURP	0.882
TTK	HMMR	0.881
DLGAP5	DEPDC1	0.881
KIF23	MKI67	0.88
ANLN	HMMR	0.88
KIF15	KIF18B	0.88
RAD18	USP1	0.879
HMMR	HJURP	0.878
TMPO	LEMD3	0.876
CCNL2	AKAP12	0.876
PNN	BCLAF1	0.874
RPA1	TP53BP1	0.873
KIF15	PBK	0.873
MYBBP1A	FTSJ3	0.872
NOP2	NOLC1	0.871
SURF6	NGDN	0.871
SKA3	TTK	0.87
SKA3	HMMR	0.87
RACGAP1	NUSAP1	0.869
KIF15	HJURP	0.868
NES	VIM	0.867
NOP2	UTP14A	0.866
KIF23	DEPDC1	0.865
MKI67	TTK	0.865
TPX2	RACGAP1	0.864
MYBBP1A	NOP2	0.864
NCAPG	RACGAP1	0.864
NCAPG	CKAP2L	0.864
CDCA8	HMMR	0.864
HJURP	KIF18B	0.864
BMS1	NOP2	0.863
NCAPH	ASPM	0.862
KIF23	KIF20B	0.861
ASPM	DEPDC1	0.861
KIF23	KIF18B	0.859
NPM1	NUMA1	0.858
RB1	BRCA1	0.858
LIG1	POLD3	0.857
ESPL1	ASPM	0.857
ESPL1	MKI67	0.856
NCAPH	TPX2	0.854
KIF15	DEPDC1	0.854
TCOF1	NOLC1	0.853
RB1	CCNL2	0.853
HCFC1	KMT2B	0.852
NPM1	MYBBP1A	0.85
ESPL1	KIF18B	0.85
TRIM28	NCL	0.849
DEPDC1	PBK	0.849
SMG7	DCP1A	0.847
ANLN	DEPDC1	0.847
TTK	RACGAP1	0.845
DLGAP5	TACC3	0.845
RPA1	FEN1	0.845
ESPL1	HJURP	0.845
CENPF	DEPDC1	0.844
KIF23	HJURP	0.842
RRP1B	NGDN	0.842
ANLN	CENPF	0.842
NGDN	FTSJ3	0.841
CDCA8	KIF18B	0.838
ANLN	CKAP2L	0.837
PPRC1	CDC5L	0.836
RANBP2	INCENP	0.836
MKI67	GTSE1	0.834
KIF23	TTK	0.833
NCL	HNRNPA1	0.832
MAP1B	RASSF1	0.832
DEPDC1	HJURP	0.832
MYBBP1A	RSL1D1	0.831
CENPJ	HYLS1	0.831
NCAPG	CDCA8	0.83
SEC23IP	SEC24A	0.826
NCL	MYBBP1A	0.826
SF3B1	CWC25	0.824
NCAPG	DEPDC1	0.824
NCAPG	KIF20B	0.823
DDX5	CTCF	0.823
C1orf131	UTP14A	0.82
DLGAP5	ESPL1	0.82
CASC3	CDC5L	0.819
ASPM	KIF20B	0.819
DLGAP5	KIF18B	0.818
NCAPH	DLGAP5	0.818
MICALL1	EHD4	0.817
ESPL1	CDC27	0.817
LEMD3	ANKLE2	0.816
RB1	NPM1	0.815
NCAPH	SKA3	0.814
ARHGAP11A	MKI67	0.812
CKAP2L	HMMR	0.812
ANLN	PBK	0.811
ARHGAP11A	CENPF	0.811
ESPL1	TPX2	0.81
KIF15	RACGAP1	0.81
MSH6	LIG1	0.81
ARHGAP11A	ASPM	0.809
C1orf131	NGDN	0.809
HNRNPA1	DDX3X	0.808
BMS1	MYBBP1A	0.808
RPA1	RAD18	0.807
BRCA1	UHRF1	0.806
DLGAP5	INCENP	0.806
C1orf131	BMS1	0.805
RPA1	LIG1	0.804
CDC5L	ORC1	0.804
E2F8	CENPF	0.803
CRIPT	CDC5L	0.801
C1orf131	DNTTIP2	0.801
DLGAP5	ARHGAP11A	0.801
DLGAP5	SKA3	0.801
E2F8	KIF15	0.8
DNMT1	BRCA1	0.799
DLGAP5	E2F8	0.799
RRP1B	UTP14A	0.798
FEN1	HNRNPA1	0.797
SURF6	NOP2	0.797
LEMD3	CDC5L	0.797
ASPM	RACGAP1	0.795
CENPF	RACGAP1	0.795
MKI67	KIF18B	0.791
HMMR	RACGAP1	0.791
TPX2	SKA3	0.791
TRIM28	TP53BP1	0.791
CDC25A	CCNL2	0.791
NCAPH	PBK	0.791
BRCA1	BCLAF1	0.79
ANLN	CDCA8	0.789
NOLC1	FTSJ3	0.788
FOSL1	AHNAK	0.787
TPX2	TACC3	0.786
E2F8	TTK	0.786
RB1	PBRM1	0.785
RANBP2	NUSAP1	0.784
CKAP2L	SKA3	0.784
ABI1	BCAR1	0.783
POLD3	RAD18	0.783
AHCTF1	TPR	0.782
HNRNPA1	ATXN2	0.782
E2F8	MKI67	0.782
RECQL	BRCA1	0.782
MSH6	DNMT1	0.781
NCAPG	SKA3	0.779
DNMT1	CTCF	0.778
TTK	KIF20B	0.777
TP53BP1	PIAS1	0.776
CKAP2L	PBK	0.775
RACGAP1	PBK	0.775
SF3B1	SON	0.774
RRP1B	BMS1	0.774
NPM1	BRCA1	0.773
CDCA8	DEPDC1	0.772
MED1	FTSJ3	0.771
ARHGAP11A	TTK	0.771
E2F8	HJURP	0.771
TTK	CDC27	0.771
ESPL1	KIF23	0.769
E2F8	CDCA8	0.769
RRP1B	NOLC1	0.769
TACC3	RACGAP1	0.768
SURF6	BMS1	0.767
KDM5A	NSD1	0.765
RB1	DNMT1	0.765
DDX5	BRCA1	0.764
RB1	CDC27	0.763
SEC16A	SEC23IP	0.763
PMVK	HMGA1	0.763
TNRC6A	DDX3X	0.762
MKI67	PBK	0.762
ESPL1	KIF15	0.76
PRRC2A	UBAP2L	0.76
PBK	UHRF1	0.758
MKI67	BRCA1	0.757
