gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	153.5025	-0.065	0.1475	0.3474	0.6885
A1BG-AS1	90.6312	-0.1086	0.1734	0.1139	0.4135
A1CF	0.4959	0.0042	0.1896	0.597	NA
A2M	67.8092	-0.0416	0.1588	0.484	NA
A2M-AS1	1.062	-0.0046	0.1866	0.6576	NA
A3GALT2	2.3479	-0.0182	0.1883	0.2078	NA
A4GALT	225.3667	-0.0614	0.1377	0.394	0.7245
A4GNT	0.3935	0.0031	0.1902	0.6712	NA
AAAS	1658.9241	-0.0204	0.0986	0.7801	0.9257
AACS	1439.797	-0.1342	0.1008	0.0736	0.3248
AACSP1	32.3382	0.0265	0.1678	0.5888	NA
AADAT	506.5678	-0.0206	0.1134	0.7824	0.9264
AAED1	228.38	-0.0279	0.129	0.6994	0.8927
AAGAB	1353.105	0.2724	0.1272	0.0016	0.0344
AAK1	1006.5487	-0.1099	0.1149	0.1542	0.4794
AAMDC	73.1142	-0.0088	0.1519	0.884	0.9648
AAMP	3398.0024	0.0362	0.0972	0.6194	0.8566
AANAT	3.2581	-0.0226	0.1859	0.2358	NA
AAR2	1552.7565	0.1766	0.1063	0.0224	0.1744
AARD	60.4362	-0.0409	0.1599	0.4852	NA
AARS	5018.5602	0.0066	0.0877	0.9247	0.9774
AARS2	1135.5084	-0.0838	0.1052	0.2646	0.6111
AARSD1	570.0247	0.0207	0.1183	0.7809	0.926
AASDH	154.1267	-0.071	0.1436	0.3203	0.665
AASDHPPT	2063.6919	0.0933	0.0993	0.2073	0.5487
AASS	846.2208	-0.0905	0.1115	0.2345	0.5796
AATF	3423.35	0.0912	0.0912	0.2019	0.5429
AATK	40.3079	-0.0357	0.1693	0.4725	NA
ABAT	190.1782	-0.3117	0.2239	0.0027	0.0482
ABCA1	208.6718	0.0487	0.1409	0.4848	0.7865
ABCA10	140.4068	-0.0984	0.1579	0.1684	0.4976
ABCA11P	76.0632	0.0063	0.1511	0.9174	0.976
ABCA12	27.2277	0.0211	0.1701	0.6419	NA
