gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	84.4966	0.6369	0.3548	0.0526	0.0883
A1BG-AS1	59.4934	-0.6361	0.396	0.077	0.1243
A1CF	0.3862	-0.0863	1.0811	0.7168	NA
A2M	37.1048	1.7388	0.5647	2e-04	5e-04
A2M-AS1	1.259	-0.0047	1.0157	0.9893	NA
A3GALT2	0.5023	0.0271	1.0758	0.9118	NA
A4GALT	88.8816	-1.5528	0.3691	0	0
AAAS	1650.3224	0.7809	0.095	0	0
AACS	1402.3798	0.3102	0.0992	0.0017	0.0036
AACSP1	15.5993	-0.3276	0.6539	0.5058	0.6113
AADAC	0.1928	-0.0384	1.081	0.8697	NA
AADAT	460.8113	0.1659	0.1577	0.2859	0.3862
AAED1	146.261	-0.9748	0.2697	2e-04	4e-04
AAGAB	868.6494	-0.2021	0.1255	0.1041	0.1623
AAK1	501.1387	-1.1547	0.1638	0	0
AAMDC	57.0009	0.8265	0.4031	0.0234	0.0423
AAMP	2849.6429	0.3712	0.0894	0	1e-04
AANAT	0.5419	-0.0135	1.0727	0.9571	NA
AAR2	885.4284	-1.1409	0.1214	0	0
AARD	18.422	-0.191	0.6016	0.688	0.7712
AARS	4184.8197	-0.0766	0.0772	0.3197	0.4227
AARS2	816.3002	-0.0019	0.1326	0.9883	0.9926
AARSD1	662.278	0.5227	0.1427	2e-04	5e-04
AASDH	86.7418	-1.5739	0.3669	0	0
AASDHPPT	1979.997	0.8467	0.101	0	0
AASS	635.3658	0.5759	0.1397	0	1e-04
AATF	2916.0098	0.0786	0.0802	0.3253	0.429
AATK	2.7011	-0.5735	1.0218	0.1724	0.2514
ABAT	8.4758	0.0019	0.7447	0.9969	0.9981
ABCA1	94.8704	-0.2775	0.3202	0.3569	0.462
ABCA10	78.2006	0.7788	0.3488	0.0161	0.03
ABCA11P	52.881	-0.4459	0.4267	0.2427	0.3362
ABCA12	4.947	-0.3812	0.8579	0.4368	0.5443
ABCA13	87.44	0.3165	0.334	0.3109	0.4139
ABCA17P	2.0969	0.7274	1.0971	0.0685	0.1119
ABCA2	1357.0821	0.8932	0.1027	0	0
ABCA3	47.6996	0.2278	0.4316	0.5543	0.655
