gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A2M	37.1048	1.7388	0.5647	0.0002	0.0005
A4GALT	88.8816	-1.5528	0.3691	0.0	0.0
AAK1	501.1387	-1.1547	0.1638	0.0	0.0
AAR2	885.4284	-1.1409	0.1214	0.0	0.0
AASDH	86.7418	-1.5739	0.3669	0.0	0.0
ABCC5	379.3708	-1.4266	0.2004	0.0	0.0
ABCF3	545.2201	-1.3384	0.1537	0.0	0.0
ABHD17C	1971.4594	1.1952	0.0911	0.0	0.0
ABHD4	139.1697	-1.5751	0.2888	0.0	0.0
ABHD5	306.9133	-1.2766	0.2008	0.0	0.0
ABHD6	178.4686	-2.132	0.2702	0.0	0.0
ABHD8	206.371	-1.5938	0.2399	0.0	0.0
ABI1	408.7958	-1.4091	0.1765	0.0	0.0
ABL1	1674.8874	-1.761	0.0986	0.0	0.0
ABTB1	94.5621	-2.0457	0.3676	0.0	0.0
ABTB2	346.9547	-2.6494	0.2403	0.0	0.0
AC005550.4	15.4249	-1.4104	0.7609	0.0087	0.0169
AC007040.7	49.2394	-1.973	0.5097	0.0	0.0
AC009948.5	57.4913	-1.3999	0.4355	0.0003	0.0007
AC010226.4	34.0959	2.7961	0.6763	0.0	0.0
AC012314.8	43.2724	4.282	0.784	0.0	0.0
AC091729.9	58.7333	-1.0037	0.4525	0.0118	0.0223
AC144449.1	27.0993	6.0698	2.1955	0.0	0.0
ACAP2	397.9964	-1.5657	0.1839	0.0	0.0
ACER2	32.9481	-1.7662	0.5945	0.0002	0.0006
ACPL2	243.7372	-1.7041	0.224	0.0	0.0
ACSS1	84.7282	-1.1672	0.3501	0.0003	0.0007
ACTB	127898.1868	1.2708	0.0541	0.0	0.0
ACTBL2	39.3922	1.8814	0.5376	0.0	0.0001
ACTL8	148.6737	1.1119	0.2647	0.0	0.0
ACTR8	385.972	-1.3041	0.1818	0.0	0.0
ACVR1B	299.9296	-1.5834	0.2029	0.0	0.0
ACVR2B	174.0853	-1.0067	0.2503	0.0	0.0001
ACYP2	82.2793	1.4389	0.3579	0.0	0.0
ADAM1A	43.8441	1.0837	0.4561	0.0069	0.0135
ADAM20P1	7.3021	1.2215	0.9363	0.0243	0.0437
ADAM8	33.4877	-1.5785	0.5659	0.0007	0.0016
ADAMTS1	1543.4386	2.3053	0.1096	0.0	0.0
ADAMTS12	716.1499	1.3409	0.1442	0.0	0.0
ADAMTS13	30.9773	2.2932	0.6355	0.0	0.0
ADAMTS15	144.4708	-1.5012	0.2841	0.0	0.0
ADAT1	447.7304	-1.206	0.1656	0.0	0.0
ADAT2	81.1155	-1.3272	0.369	0.0001	0.0002
ADAT3	70.7599	-3.2625	0.5159	0.0	0.0
ADCK3	612.1956	-1.1678	0.1444	0.0	0.0
ADIPOR2	1673.3673	-1.0518	0.0969	0.0	0.0
ADM	1306.9845	2.4361	0.1127	0.0	0.0
ADNP2	1213.6017	1.2266	0.1121	0.0	0.0
ADO	1630.3973	1.664	0.096	0.0	0.0
ADORA1	163.1375	-2.314	0.2906	0.0	0.0
ADORA2B	346.5539	-1.0606	0.1894	0.0	0.0
ADPRHL2	625.5238	-3.3205	0.1748	0.0	0.0
ADRB2	1077.2301	3.7186	0.1339	0.0	0.0
AEN	1699.3608	-3.6289	0.1167	0.0	0.0
AFAP1	1949.0214	-1.1217	0.098	0.0	0.0
AFAP1-AS1	20.8314	3.1833	1.6162	0.0	0.0001
AFF1	242.0132	-2.3182	0.2412	0.0	0.0
AFF3	24.6471	-1.3688	0.6342	0.0058	0.0115
AFF4	1271.0373	-1.5225	0.1115	0.0	0.0
AFG3L1P	90.7713	-2.5322	0.404	0.0	0.0
AFTPH	345.591	-1.8199	0.1918	0.0	0.0
AGAP5	20.6128	-2.1826	0.8282	0.0002	0.0004
AGAP9	35.0435	-1.2767	0.5272	0.004	0.0082
AGER	9.9609	-1.603	1.0576	0.0051	0.0102
AGFG1	684.7394	-1.7486	0.1409	0.0	0.0
AGFG2	209.936	-3.9752	0.322	0.0	0.0
AGPAT4	40.2455	-1.1616	0.5485	0.0107	0.0204
AGPAT6	1001.1992	-1.0945	0.1152	0.0	0.0
AGPAT9	2692.5162	-1.1566	0.0809	0.0	0.0
AHCTF1	2191.8394	-1.9235	0.0898	0.0	0.0
AHDC1	712.195	-1.7066	0.1494	0.0	0.0
AHRR	289.0118	-1.6372	0.2121	0.0	0.0
AHSA2	198.3757	-1.9849	0.2515	0.0	0.0
AIG1	150.0348	1.2614	0.269	0.0	0.0
AJUBA	808.2329	-1.4261	0.132	0.0	0.0
AK6	294.6492	-2.1647	0.227	0.0	0.0
AKAP1	911.2987	-1.6843	0.1332	0.0	0.0
AKAP10	351.2901	-2.4022	0.2045	0.0	0.0
AKAP11	627.432	-1.3797	0.1507	0.0	0.0
AKAP12	5300.7044	1.5639	0.0754	0.0	0.0
AKAP13	591.6604	-1.3241	0.1495	0.0	0.0
AKAP17A	2104.9524	1.681	0.1119	0.0	0.0
AKAP5	15.9751	-1.5917	0.7872	0.0038	0.0077
AKAP8L	696.6397	-1.1542	0.1363	0.0	0.0
AKIRIN1	1006.1406	-2.9151	0.1338	0.0	0.0
AKNA	66.4676	-2.3893	0.4605	0.0	0.0
AKR7A2P1	14.9168	2.7212	1.2314	0.0001	0.0002
AKTIP	205.4212	-1.3936	0.2505	0.0	0.0
AL109763.2	15.5128	-1.1822	0.7355	0.0245	0.044
ALCAM	2122.5376	1.1263	0.0875	0.0	0.0
ALDH5A1	316.5661	1.0131	0.1921	0.0	0.0
ALG11	51.4021	-1.5807	0.4626	0.0001	0.0002
ALKBH1	168.2357	-1.0575	0.2754	0.0001	0.0001
ALKBH8	410.0058	-1.114	0.1733	0.0	0.0
ALPK1	59.3521	-1.1501	0.4136	0.002	0.0042
ALPK3	8.6014	-1.2262	0.9374	0.0238	0.043
ALX1	70.8807	-1.7563	0.4089	0.0	0.0
ALYREF	5577.4562	1.0617	0.0709	0.0	0.0
AMBRA1	482.8526	-2.0186	0.1874	0.0	0.0
AMD1	1795.2844	-1.201	0.0941	0.0	0.0
AMDHD2	155.1713	-1.0837	0.2661	0.0	0.0001
AMER1	618.2205	1.1853	0.1391	0.0	0.0
AMIGO2	9304.7511	1.6473	0.0696	0.0	0.0
AMMECR1	294.8818	-1.5162	0.2114	0.0	0.0
AMOTL2	7900.8139	1.4699	0.062	0.0	0.0
ANAPC13	2079.171	1.3976	0.0955	0.0	0.0
ANGEL2	579.8529	-1.1681	0.1479	0.0	0.0
ANGPT1	140.995	-1.0	0.2747	0.0001	0.0003
ANGPTL4	88.2451	-2.2931	0.4282	0.0	0.0
ANKHD1-EIF4EBP3	308.4065	-3.1327	0.2593	0.0	0.0
ANKIB1	845.0589	-1.2616	0.1271	0.0	0.0
ANKLE1	122.9405	-3.9926	0.4366	0.0	0.0
ANKMY1	36.9893	-1.7769	0.624	0.0003	0.0008
ANKMY2	142.336	-1.4048	0.287	0.0	0.0
ANKRA2	225.8834	1.3943	0.2288	0.0	0.0
ANKRD11	3525.4916	-1.3233	0.0826	0.0	0.0
ANKRD12	200.669	-1.5121	0.2422	0.0	0.0
ANKRD13B	383.6031	-1.5412	0.192	0.0	0.0
ANKRD13D	367.5165	-1.3292	0.1876	0.0	0.0
ANKRD16	107.9661	-1.3827	0.3268	0.0	0.0
ANKRD17	1178.5121	-1.6995	0.1127	0.0	0.0
ANKRD23	15.4549	-1.1613	0.7196	0.0259	0.0463
ANKRD27	609.1421	-1.1214	0.1463	0.0	0.0
ANKRD28	1179.5204	-1.3144	0.1153	0.0	0.0
ANKRD32	371.5135	-1.6078	0.189	0.0	0.0
ANKRD33B	749.2684	1.9095	0.1328	0.0	0.0
