gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	221.3917	-0.0418	0.1077	0.1839	0.868
A1BG-AS1	60.4599	0.0053	0.1071	0.8327	0.9854
A2M	3.4624	-0.0027	0.1127	0.7089	NA
A2M-AS1	1.1748	-0.0044	0.1213	0.2846	NA
A2ML1	154.8189	0.0126	0.1033	0.7023	0.9724
A4GALT	588.3627	0.0426	0.0979	0.3191	0.9
AAAS	933.005	-0.0424	0.097	0.3309	0.901
AACS	880.3505	-0.0109	0.0945	0.8084	0.9839
AACSP1	0.24	-7e-04	0.1199	0.7975	NA
AADAC	0.2605	9e-04	0.1202	0.7459	NA
AADAT	228.3092	-0.0084	0.1013	0.8171	0.985
AAED1	260.8587	-0.0085	0.1003	0.8216	0.9851
AAGAB	1370.5578	0.0198	0.0939	0.6634	0.969
AAK1	840.2325	0.038	0.1001	0.3425	0.9041
AAMDC	112.827	-0.0269	0.1061	0.3721	0.9111
AAMP	3325.5251	-0.0211	0.0935	0.6454	0.9672
AANAT	0.4998	1e-04	0.1192	0.9685	NA
AAR2	724.6714	0.0284	0.096	0.5161	0.9411
AARS	3376.0995	0.1138	0.1032	0.0211	0.65
AARS2	1008.2906	0.0542	0.0979	0.2165	0.8785
AARSD1	407.6867	-0.0086	0.0999	0.8228	0.9851
AASDH	206.0751	-0.0108	0.1015	0.764	0.9791
AASDHPPT	1651.866	0.0036	0.093	0.9374	0.9946
AASS	300.1246	-0.0059	0.1027	0.861	0.9883
AATF	1607.4336	0.0199	0.0929	0.6676	0.9696
AATK	12.194	-0.0082	0.1115	0.514	0.9406
ABAT	194.0362	-0.0418	0.1045	0.2373	0.886
ABCA1	198.5927	0.0549	0.1095	0.0985	0.821
ABCA10	0.4689	-0.0014	0.1206	0.6446	NA
ABCA11P	97.1057	0.0104	0.1053	0.7229	0.9755
ABCA12	11.2495	-0.0047	0.1113	0.703	0.9724
ABCA17P	0.2394	-7e-04	0.1199	0.7982	NA
ABCA2	1599.4329	0.0665	0.1025	0.1123	0.8288
ABCA3	398.7431	0.0436	0.1009	0.2731	0.8919
ABCA4	198.0302	-0.0218	0.1025	0.5365	0.9444
ABCA5	45.6893	-0.0443	0.1155	0.048	0.7463
ABCA7	301.705	-0.0162	0.1019	0.6488	0.9682
ABCB10	729.2821	-0.0321	0.0961	0.4637	0.9269
ABCB4	0.277	0.001	0.1202	0.7368	NA
ABCB5	1.1232	-0.004	0.1207	0.317	NA
ABCB6	1332.788	-0.0803	0.0975	0.0875	0.8071
ABCB7	412.7872	0.0064	0.0979	0.8762	0.9899
ABCB8	838.7667	0.0236	0.0952	0.5955	0.9563
ABCB9	178.8103	-0.0097	0.1033	0.769	0.9791
ABCC1	2594.2131	0.0594	0.0988	0.174	0.8611
ABCC10	477.5417	0.0279	0.0987	0.4943	0.9339
ABCC11	0.5336	0.0017	0.1207	0.5724	NA
ABCC2	36.9804	0.0114	0.1093	0.5706	0.9544
ABCC3	325.0707	-0.0089	0.0993	0.8194	0.985
ABCC4	721.9286	0.0125	0.0984	0.7574	0.9789
ABCC5	920.6382	-0.0051	0.0977	0.902	0.991
ABCC6	117.1953	0.0064	0.1044	0.8344	0.9854
ABCC6P1	41.0447	-0.0269	0.1111	0.1953	0.8709
ABCC6P2	28.7185	0.0012	0.1094	0.9467	0.9956
ABCD1	384.4051	0.0379	0.0994	0.353	0.908
ABCD3	1990.4471	-0.0208	0.0939	0.6478	0.9679
ABCD4	241.4183	-0.0113	0.1006	0.7624	0.9791
ABCE1	4022.7681	0.0399	0.092	0.4017	0.9185
ABCF1	3523.1858	0.0581	0.0926	0.2262	0.8832
ABCF2	2784.9076	0.0946	0.0995	0.0479	0.7463
ABCF3	1384.5176	0.0376	0.094	0.4143	0.9204
ABCG1	0.9906	2e-04	0.1153	0.9609	NA
ABCG2	47.1291	-0.0127	0.1084	0.5766	0.9552
ABCG4	2.9662	6e-04	0.1128	0.9257	NA
ABCG8	0.2605	9e-04	0.1202	0.7459	NA
ABHD1	1.0639	0.0019	0.117	0.6147	NA
ABHD10	505.1214	-0.0725	0.1025	0.0911	0.8087
ABHD11	1064.6778	-0.0212	0.0949	0.6354	0.9654
ABHD12	1683.7901	-0.0467	0.0961	0.2966	0.8992
ABHD12B	6.147	-0.0022	0.1119	0.8128	0.985
ABHD13	439.2459	0.0117	0.0977	0.7767	0.9806
ABHD14A	163.2108	-0.0378	0.1059	0.2493	0.8873
ABHD14A-ACY1	1.8238	0.0062	0.1268	0.1616	NA
ABHD14B	242.0802	-0.1136	0.1326	0.0059	0.4962
ABHD15	506.5222	-0.0454	0.0984	0.2858	0.8971
ABHD16A	1067.9197	0.051	0.0956	0.2624	0.89
ABHD16B	105.9937	-0.0128	0.1051	0.6686	0.9698
ABHD17A	1680.2874	-0.0197	0.0966	0.6449	0.9672
ABHD17B	606.5657	0.0463	0.099	0.2709	0.8904
ABHD17C	426.6061	-0.0135	0.0978	0.7431	0.9761
ABHD2	1220.4171	0.0558	0.0998	0.1889	0.8684
ABHD3	440.3173	-0.0681	0.1034	0.1011	0.8212
ABHD4	1020.156	0.0398	0.0955	0.375	0.9119
ABHD5	551.5718	-0.0106	0.0966	0.8038	0.9839
ABHD6	176.945	-0.0104	0.1022	0.7649	0.9791
ABHD8	696.8454	-0.0277	0.0977	0.508	0.9397
ABI1	1106.7714	-0.0073	0.0939	0.8722	0.9894
ABI2	1726.2231	0.0035	0.0952	0.9373	0.9946
ABI3BP	1.6202	0.0035	0.1173	0.4189	NA
ABL1	2584.4699	0.0764	0.099	0.0942	0.8162
ABL2	665.0423	0.0545	0.102	0.1758	0.8611
ABLIM1	5498.5196	0.0669	0.0991	0.1321	0.8492
ABR	1321.447	0.0026	0.0932	0.9552	0.9956
ABRACL	303.0025	-0.0765	0.1102	0.0491	0.7511
ABT1	1038.002	-0.0138	0.0961	0.7491	0.9769
ABTB1	612.3973	-0.0343	0.0977	0.4173	0.9204
ABTB2	1419.5788	0.128	0.1187	0.0081	0.5196
AC002116.7	5.2967	-0.0092	0.1143	0.2376	0.886
AC002480.3	93.0533	-0.0013	0.1053	0.9629	0.9956
AC003102.3	3.9347	-0.0025	0.1124	0.742	NA
AC003665.1	18.537	0.0139	0.1112	0.3662	0.9102
AC004019.13	0.2289	-7e-04	0.1199	0.8029	NA
AC004862.6	0.2289	-7e-04	0.1199	0.8029	NA
AC004893.11	35.9802	0.0133	0.1093	0.5186	0.9416
AC005550.4	2.1951	-0.0036	0.1144	0.5054	NA
AC005592.2	2.9979	-0.001	0.1127	0.8856	NA
AC005594.3	2.9421	0.013	0.1528	0.0346	NA
AC006272.1	0.7337	-6e-04	0.1174	0.8491	NA
AC007038.7	1.9865	3e-04	0.1136	0.9478	NA
AC007040.7	34.4015	-0.0219	0.1106	0.2749	0.8936
AC007099.1	0.5223	0.0016	0.1212	0.5949	NA
AC007246.3	32.6837	-0.027	0.112	0.1578	0.8607
AC007551.3	4.4048	-0.0023	0.1124	0.7727	NA
AC007743.1	0.5458	0.0016	0.1213	0.5866	NA
AC007773.2	13.0311	-0.0172	0.1128	0.1775	0.8611
AC008697.1	0.2289	-7e-04	0.1199	0.8029	NA
