gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	154.272	0.942	0.2639	2e-04	5e-04
A1BG-AS1	37.0474	-0.0851	0.5024	0.8522	0.8913
A2M	20.0379	1.639	0.676	0.0037	0.0068
A2M-AS1	0.5418	-0.1403	1.2488	0.6615	NA
A2ML1	22.1758	0.0367	0.6236	0.9453	0.9615
A4GALT	171.8488	-1.0814	0.2849	1e-04	2e-04
AAAS	1187.5591	1.0664	0.1059	0	0
AACS	479.2719	0.6036	0.1602	1e-04	3e-04
AADAT	185.1646	0.0168	0.2411	0.9433	0.9599
AAED1	144.4324	-1.3208	0.2853	0	0
AAGAB	980.6768	-0.2482	0.1187	0.0356	0.0569
AAK1	273.9605	-1.7447	0.221	0	0
AAMDC	77.467	1.0536	0.3936	0.0045	0.0082
AAMP	3482.5783	0.8131	0.0688	0	0
AANAT	0.8484	0.184	1.2232	0.6322	NA
AAR2	361.1544	-2.4023	0.2003	0	0
AARS	2627.7465	-0.065	0.076	0.3914	0.4767
AARS2	855.6221	0.1128	0.1258	0.3671	0.4531
AARSD1	488.177	0.6883	0.1535	0	0
AASDH	89.3611	-1.7808	0.3713	0	0
AASDHPPT	1871.9433	0.7459	0.0883	0	0
AASS	369.0564	0.3512	0.181	0.0496	0.0772
AATF	1347.7729	-0.5905	0.1041	0	0
AATK	6.602	0.3024	0.9144	0.6268	0.7001
ABAT	16.7943	0.6024	0.6931	0.2914	0.3729
ABCA1	70.1611	-0.3321	0.3784	0.3547	0.4405
ABCA11P	72.007	-0.6654	0.3781	0.0634	0.0966
ABCA12	5.8529	0.1243	0.936	0.8409	0.8818
ABCA17P	4.0569	1.5937	1.2064	0.0067	0.0118
ABCA2	1646.7831	0.9993	0.0996	0	0
ABCA3	654.0041	1.2828	0.1361	0	0
ABCA4	124.2472	0.6608	0.2928	0.0199	0.033
ABCA5	14.674	-4e-04	0.7429	0.9994	0.9997
ABCA7	165.1891	0.6822	0.2801	0.0122	0.0209
ABCB1	12.6016	-0.0634	0.7463	0.9147	0.9383
ABCB10	814.8093	0.636	0.1294	0	0
ABCB4	0.187	-0.0361	1.2501	0.9081	NA
ABCB5	0.2102	-0.0504	1.25	0.8722	NA
ABCB6	663.43	-0.4217	0.1369	0.0019	0.0037
ABCB7	321.9741	0.7428	0.1946	1e-04	2e-04
ABCB8	821.6289	1.2289	0.1299	0	0
ABCB9	93.6042	-0.2617	0.3397	0.4217	0.5081
ABCC1	2164.3376	0.3473	0.0816	0	0
