gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A2M	20.0379	1.639	0.676	0.0037	0.0068
A4GALT	171.8488	-1.0814	0.2849	0.0001	0.0002
AAAS	1187.5591	1.0664	0.1059	0.0	0.0
AAED1	144.4324	-1.3208	0.2853	0.0	0.0
AAK1	273.9605	-1.7447	0.221	0.0	0.0
AAMDC	77.467	1.0536	0.3936	0.0045	0.0082
AAR2	361.1544	-2.4023	0.2003	0.0	0.0
AASDH	89.3611	-1.7808	0.3713	0.0	0.0
ABCA17P	4.0569	1.5937	1.2064	0.0067	0.0118
ABCA3	654.0041	1.2828	0.1361	0.0	0.0
ABCB8	821.6289	1.2289	0.1299	0.0	0.0
ABCF3	444.0526	-2.1874	0.181	0.0	0.0
ABHD10	246.7133	-2.4906	0.2443	0.0	0.0
ABHD12	2076.7768	1.2182	0.0834	0.0	0.0
ABHD14A	187.6384	1.3246	0.2559	0.0	0.0
ABHD15	186.5812	-1.267	0.2519	0.0	0.0
ABHD17B	727.6282	1.5035	0.142	0.0	0.0
ABHD4	252.4289	-1.2766	0.2198	0.0	0.0
ABHD5	262.0108	-1.5161	0.2254	0.0	0.0
ABHD6	58.9053	-3.2213	0.5546	0.0	0.0
ABI1	507.5121	-1.934	0.1645	0.0	0.0
ABL1	1404.1605	-2.1116	0.1055	0.0	0.0
ABTB2	440.7782	-2.3877	0.1828	0.0	0.0
AC002480.3	32.5535	-1.8467	0.6038	0.0004	0.0009
AC009948.5	44.5751	-1.8285	0.5335	0.0001	0.0003
AC010226.4	18.6785	2.2293	0.7691	0.0003	0.0006
AC012314.8	59.7131	3.582	0.5098	0.0	0.0
AC144449.1	86.5713	6.8167	1.3992	0.0	0.0
ACAA1	718.2645	1.0897	0.1352	0.0	0.0
ACAD9	1425.282	1.0428	0.0986	0.0	0.0
ACADVL	4251.3511	1.2337	0.0653	0.0	0.0
ACAP2	645.9386	-2.5961	0.1756	0.0	0.0
ACAT1	2028.9134	1.3121	0.0857	0.0	0.0
ACBD3	547.956	-1.778	0.1574	0.0	0.0
ACBD4	60.0004	-1.3886	0.4401	0.0007	0.0013
ACBD5	354.0292	-1.006	0.1895	0.0	0.0
ACD	324.1069	-1.3357	0.1975	0.0	0.0
ACE2	146.3062	1.02	0.2996	0.0004	0.0009
ACHE	57.6673	1.0607	0.4204	0.007	0.0123
ACO2	3754.2788	1.2043	0.0775	0.0	0.0
ACOT7	2764.8813	1.1389	0.0775	0.0	0.0
ACOT8	216.008	1.0231	0.2278	0.0	0.0
ACSL5	17.9457	1.9746	0.745	0.001	0.002
ACSS1	108.2479	-1.1096	0.328	0.0004	0.0009
