gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	1.5253	-0.0319	0.5832	0.8062	NA
A1BG-AS1	4.6175	0.0263	0.5518	0.886	0.9277
A1CF	0.9123	0.0823	0.6013	0.3751	NA
A2M	10.6006	-0.0566	0.4857	0.8177	0.8816
A2M-AS1	4.6451	-0.1059	0.5466	0.5899	0.7074
AAAS	500.5136	-0.2982	0.1409	0.0276	0.0582
AACS	1166.1596	-0.3157	0.1001	0.0013	0.0037
AADAC	0.2368	-0.0179	0.6023	0.8055	NA
AADACL3	0.2353	-0.0177	0.6023	0.8071	NA
AADAT	170.2971	-0.1311	0.2327	0.528	0.6532
AAED1	200.9797	-0.5061	0.2191	0.0105	0.0247
AAGAB	1428.485	0.2371	0.0969	0.0127	0.029
AAK1	1618.2594	0.3922	0.0903	0	0
AAMDC	49.7854	0.0748	0.3511	0.777	0.8537
AAMP	2775.1443	-0.0776	0.0688	0.2552	0.3769
AANAT	0.2243	-0.0172	0.6023	0.8123	NA
AAR2	494.0393	0.3477	0.1439	0.0117	0.0271
AARS	2274.6258	0.3244	0.0765	0	1e-04
AARS2	743.9925	-0.2576	0.1186	0.0255	0.0542
AARSD1	468.7226	-0.0256	0.1466	0.8555	0.9083
AASDH	119.6299	-0.607	0.2707	0.0087	0.0207
AASDHPPT	1479.9115	0.5132	0.091	0	0
AASS	175.8853	-0.384	0.221	0.0542	0.1051
AATF	1836.5766	0.1815	0.0817	0.0244	0.052
AATK	10.9141	-0.4654	0.5553	0.07	0.1305
ABAT	99.2176	-0.4194	0.2798	0.076	0.1402
ABCA1	3.5582	-0.0283	0.552	0.8771	0.9222
ABCA10	0.6914	-0.017	0.5978	0.8495	NA
ABCA11P	127.0376	0.1115	0.2485	0.6092	0.7226
ABCA13	4.6984	-0.0276	0.5372	0.891	0.9306
ABCA17P	1.4278	0.0055	0.5839	0.9656	NA
ABCA2	425.0808	-0.3484	0.1726	0.0319	0.066
ABCA3	27.5458	0.07	0.4082	0.795	0.8664
ABCA4	15.1083	-0.1639	0.4644	0.5283	0.6534
ABCA5	38.7874	-0.3718	0.3916	0.1758	0.2805
ABCA6	0.3202	0.0278	0.6025	0.7032	NA
ABCA7	633.4425	-0.5856	0.132	0	0
ABCA8	0.5659	0.0149	0.5998	0.8557	NA
ABCB1	26.2609	0.0297	0.4086	0.9121	0.9448
ABCB10	707.4814	-0.4078	0.1343	0.0016	0.0045
ABCB11	1.6627	-0.016	0.581	0.905	NA
ABCB4	0.6082	0.0494	0.6021	0.5334	NA
ABCB6	26.2266	-0.5446	0.4582	0.0561	0.1082
ABCB7	575.804	0.2164	0.1323	0.0903	0.162
ABCB8	689.6076	-0.1199	0.1271	0.33	0.4591
ABCB9	65.4021	-0.9766	0.3871	7e-04	0.002
ABCC1	1423.0425	-0.3776	0.0947	0	2e-04
ABCC10	335.5397	-0.5962	0.1802	4e-04	0.0012
ABCC11	1.6144	0.0738	0.5824	0.5911	NA
ABCC2	17.4764	-0.3231	0.4708	0.2277	0.3448
ABCC3	393.5516	-0.2867	0.1555	0.0528	0.1027
ABCC4	1326.8332	-0.0283	0.0931	0.757	0.8395
ABCC5	469.7421	-0.8922	0.1511	0	0
ABCC6	10.3466	0.6053	0.6178	0.0214	0.0463
ABCC6P1	0.3041	0.0264	0.6025	0.7165	NA
ABCC6P2	0.7845	0.0346	0.5952	0.7284	NA
ABCC9	2.2619	-0.0417	0.5711	0.787	NA
ABCD1	204.0533	-0.4798	0.2135	0.0133	0.0304
ABCD3	1872.6024	-0.0451	0.0802	0.5689	0.6895
ABCD4	212.242	-1.0969	0.2286	0	0
ABCE1	4872.6052	0.2021	0.0648	0.0017	0.0046
ABCF1	5236.2015	0.6473	0.0562	0	0
ABCF2	3222.3558	0.4796	0.0653	0	0
ABCF3	1110.1663	0.1122	0.1028	0.2651	0.3882
ABCG1	4.9973	-0.2062	0.5537	0.3153	0.4437
ABCG2	50.9337	-0.1454	0.3438	0.5796	0.6982
ABCG4	0.7155	-0.0188	0.5975	0.8349	NA
ABCG8	0.7339	0.064	0.6016	0.4549	NA
ABHD1	2.17	0.0274	0.5706	0.8589	NA
ABHD10	853.1505	-0.2337	0.1185	0.0426	0.085
ABHD11	752.6489	0.0565	0.1175	0.6212	0.7319
ABHD12	765.008	-0.3889	0.1166	6e-04	0.0018
ABHD12B	0.2455	0.0241	0.6025	0.7403	NA
ABHD13	406.0134	0.3157	0.1607	0.0384	0.0776
ABHD14A	113.366	0.1504	0.2642	0.5088	0.6352
ABHD14B	383.6137	-0.1423	0.1589	0.3463	0.4765
ABHD15	357.9724	-0.5677	0.1694	4e-04	0.0011
ABHD16A	733.4353	-0.008	0.1192	0.9448	0.9661
ABHD16B	141.123	-0.5627	0.25	0.0101	0.0237
ABHD17A	1206.1343	-0.2352	0.0983	0.0148	0.0333
ABHD17B	541.5987	0.5052	0.1461	3e-04	0.001
ABHD17C	862.921	0.4322	0.1134	1e-04	3e-04
ABHD2	1811.3049	-0.2668	0.0811	9e-04	0.0025
ABHD3	364.2758	-0.8476	0.1685	0	0
ABHD4	1048.1569	0.3008	0.1038	0.0031	0.0081
ABHD5	665.2296	-0.0051	0.1358	0.9688	0.981
ABHD6	543.7054	-0.3641	0.1424	0.0077	0.0187
ABHD8	34.5346	-0.4495	0.4039	0.1062	0.1853
ABI1	1090.3471	-0.1356	0.1018	0.1742	0.2787
ABI2	1317.8432	-0.3604	0.0943	1e-04	3e-04
ABI3BP	1.0231	-0.1082	0.6005	0.3033	NA
ABL1	2293.9881	0.5395	0.0777	0	0
ABL2	2446.9746	1.0633	0.0806	0	0
ABLIM1	1751.6145	-0.4296	0.0895	0	0
ABLIM2	4.2153	-0.3226	0.6218	0.0578	0.1108
ABLIM3	29.3059	-0.0563	0.4092	0.8346	0.8942
ABO	73.5235	-1.1453	0.3789	1e-04	2e-04
ABR	1286.7996	-0.7583	0.0946	0	0
ABRA	0.4706	-0.0337	0.6025	0.6489	NA
ABRACL	1624.8195	0.5929	0.0865	0	0
ABT1	1213.9438	0.7254	0.0975	0	0
ABTB1	87.0763	-0.9458	0.3316	3e-04	0.0011
ABTB2	620.42	0.1833	0.1286	0.1406	0.2337
AC002116.7	13.1395	-0.3211	0.5195	0.1976	0.3082
AC002480.3	3.6198	-0.2156	0.5857	0.2088	0.3221
AC003102.3	5.0818	-0.2027	0.5528	0.324	0.4532
AC003665.1	13.6892	-0.4446	0.5125	0.0976	0.173
AC003958.2	0.4706	-0.0337	0.6025	0.6489	NA
AC004019.13	3.5202	0.118	0.5578	0.5224	0.6482
AC004603.4	0.2353	-0.0177	0.6023	0.8071	NA
AC004893.11	17.1098	-0.2452	0.4817	0.3424	0.4724
AC005029.1	1.4378	0.0888	0.5945	0.4354	NA
AC005062.2	0.8503	0.0901	0.6005	0.359	NA
