gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ABCD4	212.242	-1.0969	0.2286	0.0	0.0
ABL2	2446.9746	1.0633	0.0806	0.0	0.0
ABO	73.5235	-1.1453	0.3789	0.0001	0.0002
AC020571.3	48.8193	-1.056	0.4534	0.0006	0.0019
AC091729.9	24.9358	-1.1258	0.6291	0.0009	0.0027
ACAP3	1090.5213	-1.0589	0.1111	0.0	0.0
ACBD4	111.5547	-1.8666	0.3404	0.0	0.0
AD000090.2	78.1799	-1.023	0.3477	0.0002	0.0006
ADAL	114.9335	-1.7477	0.3331	0.0	0.0
ADCK4	294.4248	-1.2073	0.1924	0.0	0.0
ADCY6	815.2323	-1.9711	0.1282	0.0	0.0
ADCY7	406.1331	-1.0215	0.1663	0.0	0.0
ADCY9	202.3029	-1.3581	0.2361	0.0	0.0
ADRBK1	1927.4623	-1.1049	0.0849	0.0	0.0
ADRBK2	381.1874	-1.3095	0.1741	0.0	0.0
AFF1	814.6635	-1.1473	0.1315	0.0	0.0
AGFG2	123.3456	-1.8646	0.3468	0.0	0.0
AGK	287.1774	-1.1841	0.1959	0.0	0.0
AGO2	1567.1329	1.0285	0.0912	0.0	0.0
AKAP8	1488.4522	1.0063	0.0942	0.0	0.0
AKAP8L	2179.5793	1.1899	0.0768	0.0	0.0
AKTIP	461.5404	-2.3252	0.1687	0.0	0.0
ALDH1A3	100.3667	-1.2149	0.3274	0.0	0.0
ALG10B	70.4881	-1.1717	0.4775	0.0002	0.0008
ALKBH6	205.5925	-1.0393	0.2285	0.0	0.0
ALS2CL	481.1059	-1.1889	0.164	0.0	0.0
AMDHD2	269.7363	-1.2959	0.2067	0.0	0.0
ANKHD1	1201.9477	1.0122	0.0993	0.0	0.0
ANKMY1	61.8998	-1.1793	0.4236	0.0001	0.0004
ANKRD13B	204.8522	-1.2237	0.2312	0.0	0.0
ANKRD16	59.9081	-1.1699	0.4135	0.0001	0.0003
ANKRD54	417.4177	-1.4302	0.1725	0.0	0.0
ANKS6	465.4697	-1.3658	0.1596	0.0	0.0
ANKZF1	343.539	-1.1712	0.1838	0.0	0.0
ANO8	318.7678	-1.1039	0.1843	0.0	0.0
ANO9	229.0616	-1.4266	0.2225	0.0	0.0
AP4B1	272.2616	-1.155	0.2025	0.0	0.0
AP5B1	620.8591	-1.6324	0.1388	0.0	0.0
AP5Z1	556.8247	-1.2018	0.1482	0.0	0.0
APBA1	31.9015	-1.4896	0.6413	0.0001	0.0002
APCDD1	57.0166	-1.8005	0.5017	0.0	0.0
APOL2	642.5316	-1.4752	0.1367	0.0	0.0
APOLD1	118.4756	-1.1139	0.2953	0.0	0.0
APPL2	352.5706	-1.1217	0.1743	0.0	0.0
ARAP1	1744.6684	-1.2922	0.0852	0.0	0.0
ARFGEF1	1044.5256	-1.3244	0.1129	0.0	0.0
ARFIP2	2021.2073	-1.068	0.0794	0.0	0.0
ARFRP1	338.7725	-2.8694	0.2101	0.0	0.0
ARHGAP26	161.5604	-1.09	0.2666	0.0	0.0
ARHGAP32	8666.9845	1.182	0.0621	0.0	0.0
ARHGAP33	213.3321	-1.1212	0.2237	0.0	0.0
ARHGAP8	415.072	-1.6462	0.1746	0.0	0.0
ARHGEF1	1280.2745	-1.5985	0.106	0.0	0.0
ARHGEF16	891.1726	-1.3257	0.1189	0.0	0.0
ARHGEF17	1197.5751	-1.3469	0.108	0.0	0.0
ARHGEF19	37.0312	-1.2343	0.5335	0.0002	0.0008
ARHGEF2	698.9008	-1.0137	0.1266	0.0	0.0
ARHGEF28	140.3464	-1.0703	0.273	0.0	0.0
ARHGEF37	69.4291	-2.1928	0.4664	0.0	0.0
ARHGEF40	52.1615	-1.5653	0.4948	0.0	0.0
ARID1A	6833.5573	1.1932	0.0633	0.0	0.0
ARID2	1059.9694	1.0498	0.107	0.0	0.0
ARID4B	1378.218	1.2835	0.0952	0.0	0.0
ARMC6	929.8851	-1.376	0.1133	0.0	0.0
ARMCX4	66.4449	-1.4968	0.4341	0.0	0.0
ARNT2	379.5641	-1.166	0.1771	0.0	0.0
ARVCF	272.4723	-1.6125	0.2096	0.0	0.0
ASB16	29.2261	-1.0155	0.5379	0.0016	0.0046
ASB16-AS1	132.335	-2.6713	0.3335	0.0	0.0
ASCL2	1292.6803	-1.1243	0.1005	0.0	0.0
ASF1B	1498.4696	-1.1623	0.0913	0.0	0.0
ATG9A	796.6095	-1.1443	0.1191	0.0	0.0
ATHL1	1660.3726	-1.1505	0.0988	0.0	0.0
ATP6V0A2	493.5184	-1.174	0.1532	0.0	0.0
ATP6V0E2-AS1	62.2001	-1.0491	0.3889	0.0003	0.0009
AZI1	382.8933	-1.2534	0.1808	0.0	0.0
B3GAT3	252.6723	-1.0733	0.2029	0.0	0.0
B3GNT3	533.1463	-1.1369	0.1445	0.0	0.0
BAIAP2-AS1	137.3616	-1.352	0.2874	0.0	0.0
BCAN	55.8405	-1.0011	0.3999	0.0006	0.0018
BCL2L2	350.8183	-2.3645	0.2174	0.0	0.0
BCLAF1	6242.7459	1.1764	0.0544	0.0	0.0
BCYRN1	25.7333	1.2377	0.6234	0.0004	0.0012
BEND7	24.7649	-1.0894	0.6016	0.0011	0.0032
BET1L	1233.5071	-1.3426	0.0999	0.0	0.0
BIN3	212.8423	-1.2985	0.2296	0.0	0.0
BIVM	151.141	-1.9573	0.2914	0.0	0.0
BNIP2	1331.7729	1.3242	0.1018	0.0	0.0
BOK	509.3877	-1.7743	0.1545	0.0	0.0
BRCA1	734.2388	-2.1873	0.137	0.0	0.0
BRD4	3822.7059	1.1649	0.0723	0.0	0.0
BRICD5	139.8905	-1.1262	0.284	0.0	0.0
BRIP1	452.5734	-1.0524	0.1543	0.0	0.0
BRIX1	1782.5653	1.1058	0.0862	0.0	0.0
BRWD1	1070.4206	1.1001	0.1034	0.0	0.0
BSDC1	652.6341	-1.0333	0.1351	0.0	0.0
BTC	43.5393	-1.0593	0.4598	0.0007	0.002
C10orf118	1611.3645	1.0332	0.0868	0.0	0.0
C10orf12	609.5007	1.2356	0.1446	0.0	0.0
C12orf4	301.6147	-1.0611	0.1905	0.0	0.0
C14orf80	530.6202	-1.0036	0.1496	0.0	0.0
C15orf52	34.2619	-1.4068	0.6579	0.0001	0.0004
C16orf52	170.5153	-1.4347	0.2652	0.0	0.0
C16orf59	235.7335	-1.6857	0.2349	0.0	0.0
C16orf70	936.5536	1.0158	0.1102	0.0	0.0
C17orf62	514.7247	-2.5595	0.1636	0.0	0.0
C19orf12	259.8586	-1.5518	0.2144	0.0	0.0
C19orf25	539.6599	-1.7657	0.1524	0.0	0.0
C19orf55	89.6436	-1.4987	0.3703	0.0	0.0
C19orf57	82.4582	-1.1019	0.3557	0.0001	0.0002
C1orf159	243.4202	-1.4533	0.2249	0.0	0.0
C1RL	125.8698	-1.4172	0.3048	0.0	0.0
C22orf46	253.6113	-1.1704	0.2102	0.0	0.0
C2CD2	406.8679	-1.1677	0.1674	0.0	0.0
C2CD5	610.0946	-1.0888	0.1379	0.0	0.0
C2orf54	395.8868	-1.0177	0.1655	0.0	0.0
C2orf72	139.4767	-1.0242	0.2661	0.0	0.0
C3orf18	83.3228	-1.233	0.3684	0.0	0.0001
C5orf34	141.4992	-1.2035	0.278	0.0	0.0
C5orf45	49.1563	-1.4039	0.5128	0.0	0.0001
C9orf37	174.4313	-1.0333	0.2439	0.0	0.0
CABYR	33.4977	-1.2601	0.5519	0.0002	0.0007
CACFD1	263.1831	-1.0696	0.2031	0.0	0.0
CAMKK2	712.516	-1.0482	0.1247	0.0	0.0
CARD14	363.4135	-1.6548	0.1856	0.0	0.0
CASD1	182.1384	-1.5246	0.2577	0.0	0.0
