gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	72.8799	0.6839	0.417	0.0758	0.1379
A1BG-AS1	45.6455	-0.2158	0.496	0.6255	0.7338
A1CF	0.2	-0.0339	1.1594	0.9	NA
A2M	108.2263	1.1992	0.6746	0.0254	0.0543
A2M-AS1	0.7298	0.1937	1.1652	0.4818	NA
A3GALT2	0.6627	-0.137	1.1604	0.6205	NA
A4GALT	101.1236	-1.9692	0.4596	0	0
AAAS	1622.5203	0.7372	0.196	1e-04	5e-04
AACS	1064.1808	0.3661	0.2042	0.0679	0.1258
AACSP1	18.809	-0.7793	0.7397	0.16	0.2576
AADAC	0.3632	0.1306	1.1629	0.6286	NA
AADAT	548.8591	0.1798	0.242	0.4461	0.5759
AAED1	109.1583	-1.1216	0.4526	0.0064	0.0161
AAGAB	918.5654	0.0824	0.2128	0.6929	0.7882
AAK1	473.6085	-1.3906	0.275	0	0
AAMDC	54.5839	0.8638	0.4743	0.043	0.0853
AAMP	2844.2177	0.4898	0.1938	0.0102	0.0243
AANAT	0.3209	0.1256	1.1627	0.6413	NA
AAR2	889.7898	-1.2205	0.3185	1e-04	2e-04
AARD	18.0061	-0.1146	0.71	0.8334	0.8923
AARS	4511.6956	0.1501	0.2821	0.5817	0.6976
AARS2	904.8449	0.1924	0.2691	0.4605	0.5896
AARSD1	524.4902	0.4462	0.2289	0.0461	0.0903
AASDH	62.3987	-1.5651	0.5114	5e-04	0.0017
AASDHPPT	1709.8609	0.3472	0.3896	0.3399	0.4697
AASS	549.8573	0.4051	0.2322	0.0741	0.1353
AATF	2687.9058	0.222	0.1869	0.2278	0.3428
AATK	9.3345	-0.7655	0.8508	0.1759	0.2779
ABAT	30.5206	-0.5746	0.6382	0.2696	0.392
ABCA1	55.3963	-0.5294	0.514	0.2432	0.3606
ABCA10	98.6124	1.0383	0.4181	0.0071	0.0177
ABCA11P	46.6606	-0.7407	0.5013	0.0963	0.1689
ABCA12	5.9801	0.1752	0.9056	0.7467	0.8301
ABCA13	8.5615	0.0417	0.8106	0.9404	0.9619
ABCA17P	3.9018	0.4399	1.0232	0.3705	0.5015
ABCA2	1435.2094	1.1556	0.2201	0	0
ABCA3	16.247	0.7316	0.7475	0.1881	0.2936
ABCA5	56.4842	0.1289	0.4583	0.7566	0.8374
ABCA6	2.6579	0.0659	1.0522	0.8817	0.9255
ABCA7	88.7149	-0.2718	0.4422	0.5013	0.6268
ABCA8	17.4453	0.5193	0.6811	0.3333	0.463
ABCA9	0.2	-0.0339	1.1594	0.8999	NA
ABCB1	148.7158	0.6361	0.3646	0.064	0.1197
