gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A4GALT	101.1236	-1.9692	0.4596	0.0	0.0
AAED1	109.1583	-1.1216	0.4526	0.0064	0.0161
AAK1	473.6085	-1.3906	0.275	0.0	0.0
AAR2	889.7898	-1.2205	0.3185	0.0001	0.0002
AASDH	62.3987	-1.5651	0.5114	0.0005	0.0017
ABCA10	98.6124	1.0383	0.4181	0.0071	0.0177
ABCA2	1435.2094	1.1556	0.2201	0.0	0.0
ABCC5	330.1664	-1.7542	0.286	0.0	0.0
ABCF3	486.3159	-1.6507	0.2687	0.0	0.0
ABHD11	335.4297	1.0797	0.2787	0.0001	0.0002
ABHD14A	228.3301	1.0273	0.305	0.0004	0.0015
ABHD17C	3121.434	1.0967	0.3324	0.0005	0.0017
ABHD4	174.4422	-1.2283	0.4525	0.0028	0.0077
ABHD5	252.4984	-1.6466	0.3044	0.0	0.0
ABHD6	165.5204	-2.1481	0.3593	0.0	0.0
ABHD8	170.642	-2.3502	0.357	0.0	0.0
ABI1	388.1667	-1.5761	0.2579	0.0	0.0
ABL1	1621.5753	-1.7525	0.3165	0.0	0.0
ABRACL	685.7729	1.1125	0.2676	0.0	0.0001
ABTB1	82.9051	-2.6232	0.5138	0.0	0.0
ABTB2	239.4011	-2.94	0.3479	0.0	0.0
AC005550.4	16.0875	-1.6614	0.8803	0.0054	0.0139
AC007040.7	22.1553	-1.5295	0.8047	0.0083	0.0202
AC009948.5	44.0003	-1.2362	0.5574	0.0099	0.0237
AC010226.4	44.8245	3.6613	0.864	0.0	0.0
AC012314.8	51.0459	2.8032	0.6123	0.0	0.0
AC144449.1	27.4131	3.5123	1.6857	0.0	0.0001
ACADM	1150.8645	1.0702	0.2159	0.0	0.0
ACADVL	8268.024	1.0658	0.1875	0.0	0.0
ACAP2	343.9476	-1.3941	0.2924	0.0	0.0
ACAT1	1500.0289	1.2556	0.2203	0.0	0.0
ACBD3	971.3427	-1.2799	0.4028	0.0006	0.002
ACO2	2112.2001	1.0992	0.192	0.0	0.0
ACOT2	294.1054	1.1462	0.2674	0.0	0.0
ACOT7	6676.6551	1.0808	0.1941	0.0	0.0
ACPL2	582.5516	-1.8006	0.5063	0.0001	0.0002
ACPP	112.6905	1.2034	0.3634	0.0004	0.0014
ACTB	126911.3215	1.4096	0.1738	0.0	0.0
ACTBL2	85.3895	2.6414	0.4804	0.0	0.0
ACTG1	80480.1771	1.0242	0.2185	0.0	0.0
ACTL8	283.3981	1.1438	0.2699	0.0	0.0001
ACTR10	584.4499	1.1183	0.2286	0.0	0.0
ACTR5	220.7875	-1.1162	0.294	0.0001	0.0003
ACTR8	337.0016	-1.7537	0.2672	0.0	0.0
ACVR1B	295.805	-1.8428	0.3934	0.0	0.0
ACVR2A	84.0092	-1.492	0.5358	0.0014	0.004
ACVR2B	188.3894	-1.6811	0.3485	0.0	0.0
ACYP2	93.6133	1.5501	0.3969	0.0	0.0001
ADAM15	5720.524	1.2494	0.1828	0.0	0.0
ADAM23	476.2665	1.0776	0.2344	0.0	0.0
ADAM8	25.2965	-1.3159	0.6579	0.013	0.0301
ADAM9	3092.454	1.0456	0.2306	0.0	0.0
ADAMTS1	162.7398	1.0857	0.3251	0.0005	0.0015
ADAMTS12	300.1709	1.1506	0.3507	0.0005	0.0017
ADAMTS13	57.7238	3.7012	0.6332	0.0	0.0
ADAMTS15	135.0954	-1.4185	0.6679	0.0079	0.0195
ADAT1	434.7056	-1.8484	0.2895	0.0	0.0
ADAT2	68.3324	-1.5809	0.5201	0.0005	0.0017
ADAT3	66.314	-2.5502	0.6021	0.0	0.0
ADCK3	609.8438	-1.6246	0.2515	0.0	0.0
ADCY1	70.0476	1.0444	0.4295	0.0081	0.0198
ADIPOR2	1361.7632	-1.3828	0.2046	0.0	0.0
ADM	1176.9551	2.7076	0.3523	0.0	0.0
ADM2	20.1836	-1.696	0.8099	0.0036	0.0098
ADO	2201.7449	1.9227	0.2886	0.0	0.0
ADORA1	79.3137	-2.9001	0.5767	0.0	0.0
ADORA2B	150.1604	-1.8996	0.3554	0.0	0.0
ADPRH	99.7251	-1.137	0.4031	0.0024	0.0066
ADPRHL2	515.2521	-3.1041	0.2672	0.0	0.0
ADRB2	349.4151	3.376	0.2952	0.0	0.0
AEBP1	2303.3888	1.1621	0.2136	0.0	0.0
AEN	1522.5304	-3.6799	0.358	0.0	0.0
AES	6576.826	1.106	0.2003	0.0	0.0
AFAP1	2042.7013	-1.0344	0.2136	0.0	0.0
AFF1	195.5069	-3.1161	0.3947	0.0	0.0
AFF4	1117.0004	-1.8999	0.3605	0.0	0.0
AFG3L1P	128.0145	-2.3408	0.4075	0.0	0.0
AFTPH	325.3678	-1.7259	0.3255	0.0	0.0
AGA	560.9787	1.1047	0.2393	0.0	0.0
AGAP4	75.659	-1.3005	0.4746	0.0023	0.0065
AGAP5	12.9776	-1.6952	0.9832	0.0054	0.0139
AGAP9	28.0794	-1.6276	0.7754	0.0045	0.0118
AGFG1	599.2785	-1.8059	0.2638	0.0	0.0
AGFG2	190.6031	-4.335	0.4472	0.0	0.0
AGPAT6	816.3781	-1.3896	0.2416	0.0	0.0
AGPAT9	1887.2504	-1.5951	0.2212	0.0	0.0
AGR2	104.4564	1.6005	0.3835	0.0	0.0
AGRN	9873.1931	1.1493	0.2013	0.0	0.0
AHCTF1	2293.2053	-2.0696	0.2126	0.0	0.0
AHDC1	612.3011	-1.9834	0.42	0.0	0.0
AHSA2	169.5186	-1.7498	0.4321	0.0	0.0
AIG1	151.2449	1.4014	0.3344	0.0	0.0
AK1	929.1193	1.081	0.2216	0.0	0.0
AK6	257.0669	-2.444	0.4085	0.0	0.0
AKAP1	845.3257	-2.0698	0.2314	0.0	0.0
AKAP10	311.0187	-2.4317	0.4088	0.0	0.0
AKAP11	707.3109	-1.9679	0.2915	0.0	0.0
AKAP12	9261.2221	1.6046	0.2011	0.0	0.0
AKAP13	570.3517	-1.5136	0.2637	0.0	0.0
AKAP17A	2435.051	1.79	0.2117	0.0	0.0
AKAP8L	580.6276	-1.3299	0.2503	0.0	0.0
AKIRIN1	918.3552	-2.8658	0.2445	0.0	0.0
AKNA	93.6985	-2.5394	0.5107	0.0	0.0
AKR1B1	3399.704	1.1319	0.2082	0.0	0.0
AKR7A2P1	16.4064	2.7662	1.5111	0.0001	0.0005
AKTIP	145.0118	-1.8711	0.3716	0.0	0.0
AL109763.2	17.0111	-1.4547	0.814	0.0121	0.0282
ALDH2	523.0878	1.143	0.247	0.0	0.0
ALDH6A1	91.7471	1.2807	0.3903	0.0004	0.0014
ALDH7A1	1469.6578	1.1074	0.2028	0.0	0.0
ALDOA	39690.5955	1.0094	0.1777	0.0	0.0
ALDOC	280.9673	1.0092	0.3283	0.0012	0.0037
ALG10	100.4994	-1.1981	0.3863	0.0009	0.0028
ALG11	73.8929	-2.0081	0.5404	0.0	0.0001
ALKBH1	142.8269	-1.3878	0.3923	0.0001	0.0005
ALKBH3	134.1206	-1.2211	0.3549	0.0003	0.0009
ALKBH8	443.981	-1.2304	0.3	0.0	0.0001
ALPK1	63.186	-1.5528	0.4895	0.0004	0.0012
ALPP	80.1369	1.2546	0.431	0.0015	0.0044
ALX1	70.3433	-1.8122	0.5225	0.0001	0.0003
ALYREF	5281.4195	1.1587	0.2091	0.0	0.0
AMBRA1	428.0517	-2.2597	0.2698	0.0	0.0
AMD1	1596.7081	-1.2139	0.3029	0.0	0.0001
AMDHD2	117.1299	-1.3626	0.3955	0.0002	0.0007
AMIGO2	5556.8848	2.2536	0.3589	0.0	0.0
AMIGO3	721.5132	1.7141	0.3638	0.0	0.0
AMMECR1	275.6399	-1.1674	0.3067	0.0001	0.0003
ANAPC11	1424.6294	1.051	0.2422	0.0	0.0
ANAPC13	1980.3698	1.6195	0.2671	0.0	0.0
ANAPC15	927.1636	1.1121	0.2386	0.0	0.0
ANGEL2	542.3144	-1.2344	0.2448	0.0	0.0
ANGPTL4	39.9944	-2.1239	0.6934	0.0001	0.0004
ANKHD1-EIF4EBP3	218.143	-2.9721	0.4359	0.0	0.0
ANKIB1	764.8169	-1.558	0.3185	0.0	0.0
ANKLE1	98.1676	-3.3131	0.7732	0.0	0.0
ANKMY1	27.5556	-2.2856	0.8049	0.0001	0.0004
ANKMY2	128.2058	-1.9958	0.3778	0.0	0.0
ANKRA2	195.5219	1.5589	0.3595	0.0	0.0
ANKRD1	305.9222	-1.1795	0.3404	0.0003	0.0009
ANKRD11	3382.2065	-1.0296	0.2172	0.0	0.0
ANKRD12	164.6553	-1.8089	0.3694	0.0	0.0
ANKRD13B	330.0061	-1.491	0.2667	0.0	0.0
ANKRD13C	711.8052	1.5313	0.4739	0.0003	0.0011
ANKRD13D	264.5233	-1.4905	0.3576	0.0	0.0
ANKRD16	62.7802	-2.2555	0.5314	0.0	0.0
ANKRD17	1192.6045	-2.0161	0.2456	0.0	0.0
ANKRD22	5.1907	-1.1534	1.1986	0.0218	0.0475
ANKRD23	20.6313	-1.513	0.8205	0.0093	0.0225
ANKRD27	536.9815	-1.2407	0.3154	0.0	0.0002
ANKRD28	1154.0335	-1.5836	0.2266	0.0	0.0
ANKRD32	431.0638	-1.5526	0.3152	0.0	0.0
ANKRD37	47.5168	-2.0304	0.5689	0.0	0.0001
ANKRD46	89.2908	-2.208	0.485	0.0	0.0
ANKRD49	173.3368	1.2779	0.3634	0.0002	0.0007
ANKRD54	604.0662	-1.7162	0.2494	0.0	0.0
ANKS1A	345.454	-2.336	0.3472	0.0	0.0
ANKS3	165.69	-2.4575	0.3616	0.0	0.0
ANKZF1	200.732	-2.3141	0.3661	0.0	0.0
ANO4	17.6116	-1.512	0.7889	0.0085	0.0208
ANP32A-IT1	17.6281	1.5972	0.8212	0.0062	0.0158
ANPEP	4847.0551	1.1742	0.3339	0.0002	0.0008
ANXA2	21539.6999	1.2884	0.2087	0.0	0.0
ANXA4	523.4124	1.1275	0.2665	0.0	0.0001
ANXA5	9534.9989	1.2454	0.2209	0.0	0.0
AP1AR	288.2072	-1.6194	0.2927	0.0	0.0
AP1S1	4788.1465	1.1486	0.2418	0.0	0.0
AP2M1	8616.7322	1.1162	0.1874	0.0	0.0
AP3M2	166.5873	-1.2042	0.3704	0.0005	0.0017
AP4B1	268.4109	-3.2433	0.3566	0.0	0.0
AP4M1	191.3178	-1.1318	0.3075	0.0001	0.0005
AP5M1	139.1672	-2.0455	0.3724	0.0	0.0
AP5S1	195.9867	-2.0421	0.3627	0.0	0.0
AP5Z1	274.6241	-2.1391	0.3048	0.0	0.0
APAF1	352.3977	-1.7084	0.2803	0.0	0.0
APBB2	204.1143	-1.457	0.3101	0.0	0.0
APC	551.7232	-1.5256	0.3009	0.0	0.0
APC2	90.8198	2.0652	0.4462	0.0	0.0
APEX2	768.2138	-1.1888	0.2327	0.0	0.0
APLP1	132.7837	1.129	0.3616	0.0009	0.0028
APLP2	13156.169	1.3386	0.1917	0.0	0.0
APMAP	5914.6508	1.2988	0.1913	0.0	0.0
APOBEC3B	708.7792	1.145	0.2223	0.0	0.0
