gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	36.5729	-0.0288	0.1842	0.5936	NA
A1BG-AS1	22.0954	-0.0692	0.1937	0.1385	NA
A1CF	0.2076	0.0021	0.2013	0.7977	NA
A2ML1	0.3146	-0.0029	0.2014	0.724	NA
A3GALT2	1.0381	0.0085	0.202	0.3942	NA
A4GALT	381.823	0.0819	0.1375	0.3833	0.614
A4GNT	0.842	-1e-04	0.2	0.9896	NA
AAAS	554.2849	-0.2625	0.1253	0.0053	0.0333
AACS	843.8808	0.0148	0.1045	0.8643	0.9367
AADAT	106.2745	0.0263	0.1659	0.7442	0.8699
AAED1	519.9251	0.0842	0.1216	0.3632	0.5944
AAGAB	958.7914	-0.0157	0.1108	0.8606	0.9343
AAK1	1832.7862	0.2126	0.1051	0.0145	0.0701
AAMDC	107.4661	-0.0662	0.1663	0.4135	0.64
AAMP	1639.9423	-0.1715	0.0872	0.0261	0.1066
AANAT	0.2802	0.0025	0.2013	0.7632	NA
AAR2	1140.0611	0.2424	0.1037	0.005	0.032
AARD	1.8463	0.0082	0.1981	0.5947	NA
AARS	2021.4345	-0.0562	0.0781	0.428	0.6514
AARS2	536.1717	0.0455	0.12	0.6216	0.7934
AARSD1	486.5398	0.0277	0.123	0.7655	0.879
AASDH	169.7621	0.1738	0.1611	0.0527	0.1758
AASDHPPT	1461.9825	-0.075	0.0898	0.3405	0.5713
AASS	713.7804	0.022	0.1108	0.8058	0.9025
AATF	2991.8803	-0.0176	0.0705	0.7878	0.892
AATK	9.3162	0.0458	0.1989	0.1387	NA
ABAT	3.8869	0.0143	0.1964	0.508	NA
ABCA1	644.3171	0.0408	0.1284	0.6629	0.8189
ABCA10	3.6444	-0.0015	0.1957	0.9428	NA
ABCA11P	150.409	0.1074	0.1601	0.2172	0.4408
ABCA13	2.3086	-0.0175	0.2017	0.2378	NA
ABCA17P	0.6959	0.0061	0.2015	0.5093	NA
ABCA2	1789.9603	-0.2535	0.082	6e-04	0.0059
ABCA3	488.4924	-0.1033	0.1278	0.2701	0.5013
ABCA4	4.1475	-0.0087	0.1957	0.6918	NA
ABCA5	100.006	0.0497	0.1678	0.5298	0.7284
ABCA7	270.6443	-0.0687	0.1439	0.4602	0.6802
ABCB10	1118.491	-0.0832	0.096	0.3122	0.5458
ABCB4	0.2074	0.0021	0.2013	0.7979	NA
ABCB6	215.8091	0.0927	0.1495	0.312	0.5458
ABCB7	581.8433	-0.1875	0.1213	0.0433	0.1539
ABCB8	574.7876	-0.1079	0.1227	0.2453	0.4743
ABCB9	137.2804	0.1729	0.1677	0.0464	0.1621
ABCC1	2149.6525	0.041	0.0777	0.5612	0.7519
ABCC10	459.9929	0.141	0.1268	0.1325	0.3232
ABCC12	0.2076	0.0021	0.2013	0.7977	NA
ABCC2	27.6379	0.017	0.1861	0.7291	NA
ABCC3	1236.746	-0.0907	0.0927	0.2598	0.4911
ABCC4	966.7931	0.0716	0.1041	0.4079	0.6346
ABCC5	422.8616	0.2459	0.1357	0.0101	0.054
ABCC6	23.9189	0.0187	0.1877	0.6804	NA
ABCC6P1	1.0824	0.0047	0.1995	0.6823	NA
ABCC6P2	7.8083	-0.0253	0.1949	0.3825	NA
ABCC8	0.56	0.0043	0.2017	0.6032	NA
ABCC9	8.0241	-0.0174	0.194	0.546	NA
ABCD1	433.4726	-0.1999	0.132	0.0348	0.1321
ABCD3	2215.0956	-0.1277	0.0782	0.0721	0.2169
ABCD4	643.0953	-0.0924	0.12	0.3163	0.5487
ABCE1	5925.803	-0.0619	0.0553	0.2418	0.4709
ABCF1	6468.984	-0.0623	0.0548	0.2342	0.462
ABCF2	3415.6798	-0.1175	0.0659	0.0567	0.1853
ABCF3	1324.0373	0.0411	0.0902	0.603	0.7802
ABCG1	53.6196	0.0312	0.1778	0.6347	NA
ABCG2	296.6025	-0.0833	0.14	0.374	0.6042
ABCG4	24.2485	-0.0269	0.1866	0.5817	NA
ABCG5	0.2136	-0.0024	0.2013	0.7679	NA
ABHD1	3.4397	0.0189	0.1979	0.3497	NA
ABHD10	793.7737	0.0499	0.1083	0.5722	0.7597
ABHD11	427.886	-0.0732	0.1294	0.4352	0.6572
ABHD12	1964.8532	-0.1911	0.0816	0.0092	0.0505
ABHD12B	1.4736	0.0054	0.1987	0.6837	NA
ABHD13	348.5913	0.111	0.1404	0.2369	0.4651
ABHD14A	338.5996	-0.1243	0.1361	0.1871	0.4024
ABHD14B	1106.1956	-0.2193	0.0974	0.0083	0.0469
ABHD15	414.7802	0.0171	0.1302	0.855	0.9308
ABHD16A	990.0028	-0.296	0.1021	5e-04	0.0056
ABHD16B	200.0826	-0.0418	0.1637	0.6133	0.7883
ABHD17A	1679.8638	-0.2964	0.0855	1e-04	0.0013
ABHD17B	394.4215	0.1577	0.133	0.095	0.2599
ABHD17C	1699.327	-0.0827	0.0834	0.2673	0.499
ABHD2	3999.5963	0.0673	0.0671	0.2823	0.5137
ABHD3	301.6599	-0.0286	0.139	0.7604	0.877
ABHD4	855.8349	0.0634	0.1045	0.4646	0.6833
ABHD5	1084.8396	0.2262	0.1027	0.0084	0.0472
ABHD6	214.1273	0.08	0.1537	0.3731	0.6037
ABHD8	419.3426	0.0177	0.1277	0.8498	0.9285
ABI1	1077.1295	0.1067	0.0992	0.2043	0.4229
ABI2	2195.7956	-0.0345	0.0765	0.6212	0.7933
ABI3BP	65.7418	0.0514	0.1768	0.4521	NA
ABL1	4264.5723	-0.0026	0.0665	0.9673	0.9852
ABL2	4336.8054	-0.0894	0.0822	0.2255	0.4523
ABLIM1	3909.7045	-0.0227	0.0677	0.7191	0.853
ABLIM2	13.0553	-0.0059	0.1905	0.8734	NA
ABLIM3	1109.6551	0.0182	0.0964	0.8251	0.9138
ABR	2844.0605	-0.0411	0.0696	0.5246	0.725
ABRACL	337.8139	-0.055	0.1364	0.5577	0.7495
ABT1	1290.3112	-0.0867	0.092	0.2789	0.51
ABTB1	184.1822	0.0905	0.1549	0.3115	0.5454
ABTB2	1018.7142	-0.0417	0.0992	0.62	0.7927
AC002116.7	9.6889	-0.0194	0.1927	0.5526	NA
AC002454.1	16.4209	-0.009	0.1891	0.8259	NA
AC002480.3	59.6968	0.0743	0.1784	0.2759	NA
AC003102.3	13.2635	0.0265	0.1919	0.4663	NA
AC003665.1	51.4145	-0.0307	0.1805	0.6156	NA
AC004019.13	0.2796	0.0024	0.2013	0.7638	NA
AC004893.11	23.9763	-0.0019	0.1862	0.9692	NA
AC005264.2	0.2133	-0.0024	0.2013	0.7681	NA
AC005592.2	8.24	-5e-04	0.1927	0.9878	NA
AC005594.3	9.1075	-0.0117	0.1929	0.7043	NA
AC006262.5	0.6414	-0.0049	0.2019	0.5551	NA
