gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	56.8825	1.2636	0.5724	0.005	0.0145
A1BG-AS1	41.0576	0.4997	0.6063	0.2699	0.4077
A1CF	0.2311	-0.046	0.9484	0.7981	NA
A2M	2.6289	0.1885	0.9213	0.4807	NA
A4GALT	277.4023	-0.67	0.3351	0.0302	0.0688
A4GNT	0.4628	-0.0846	0.9484	0.6446	NA
AAAS	884.9029	0.7719	0.2445	0.001	0.0035
AACS	1113.6487	0.6578	0.2359	0.0037	0.0112
AADAC	4.3187	-0.2772	0.8927	0.3979	0.5442
AADAT	103.3272	-0.0565	0.4209	0.8787	0.9241
AAED1	334.5173	-0.6746	0.2857	0.0123	0.0319
AAGAB	825.7119	0.2913	0.2402	0.2068	0.3327
AAK1	967.4408	-1.0213	0.2389	0	1e-04
AAMDC	148.1189	0.837	0.3883	0.0161	0.0403
AAMP	3071.7354	0.9182	0.2273	0	2e-04
AANAT	3.5871	0.4176	0.9234	0.1642	0.278
AAR2	1059.7948	-1.0467	0.2464	0	1e-04
AARD	7.0983	-0.2146	0.8481	0.5714	0.7032
AARS	2980.3172	0.4578	0.2146	0.0276	0.0637
AARS2	658.0522	0.1645	0.2547	0.4992	0.6396
AARSD1	878.2228	0.762	0.2436	0.0011	0.0039
AASDH	85.2432	-0.9987	0.4561	0.0107	0.0284
AASDHPPT	1077.7763	-0.3055	0.2951	0.271	0.4087
AASS	359.5732	-0.2323	0.3137	0.4273	0.5728
AATF	4229.6002	0.2956	0.2035	0.1349	0.2376
AATK	7.6945	-0.1169	0.8093	0.7754	0.8548
ABAT	3.8673	-0.238	0.8751	0.4954	0.6365
ABCA1	778.5079	-1.0388	0.2528	0	1e-04
ABCA10	7.1607	0.2347	0.831	0.5537	0.6884
ABCA11P	103.8312	-0.8412	0.4225	0.0233	0.0552
ABCA12	1.9193	0.1274	0.9225	0.6223	NA
ABCA13	6.7451	0.44	0.8447	0.2688	0.4063
ABCA17P	2.8883	0.3823	0.9447	0.135	NA
ABCA2	1939.9137	1.086	0.2405	0	0
ABCA3	1037.1937	1.0954	0.2445	0	0
ABCA4	7.5827	0.0537	0.8162	0.8941	0.9345
ABCA5	94.6143	0.0222	0.4509	0.9543	0.9721
ABCA6	0.9903	-0.0636	0.9461	0.7365	NA
ABCA7	484.8496	1.0056	0.3314	0.001	0.0036
ABCA8	4.118	-0.0055	0.886	0.9865	0.9915
ABCB1	1.2148	-0.1453	0.9495	0.4421	NA
ABCB10	1004.886	0.1821	0.247	0.4419	0.5869
ABCB11	0.243	-0.0474	0.9484	0.7924	NA
ABCB4	1.3971	0.1161	0.94	0.5858	NA
ABCB6	219.2543	-0.2018	0.3213	0.4993	0.6396
ABCB7	482.3795	0.3604	0.2582	0.1436	0.2499
ABCB8	876.8138	0.4742	0.2659	0.0609	0.1239
ABCB9	241.453	0.5081	0.3159	0.0842	0.1619
ABCC1	2503.1411	0.3629	0.2013	0.0637	0.1285
ABCC10	552.0687	-0.0078	0.2845	0.9769	0.9854
ABCC11	1.4462	-0.1173	0.939	0.5869	NA
ABCC2	21.1722	-0.1362	0.6625	0.7655	0.8479
ABCC3	1701.8499	1.0239	0.2306	0	0
ABCC4	1273.7281	0.1602	0.2127	0.4372	0.5823
ABCC5	517.8016	-0.815	0.2748	0.0017	0.0058
ABCC6	29.7206	1.3397	0.7078	0.0059	0.0169
ABCC6P1	1.4312	0.124	0.9395	0.5647	NA
ABCC6P2	5.0938	0.1306	0.8561	0.7217	0.817
ABCC9	16.4554	-0.2232	0.705	0.6235	0.7431
ABCD1	605.0126	0.4419	0.2727	0.0877	0.1675
ABCD3	1464.6839	0.1129	0.2376	0.6212	0.7411
ABCD4	736.9875	0.2173	0.244	0.3534	0.498
ABCE1	4597.0752	-0.1853	0.249	0.4372	0.5823
ABCF1	4620.1176	-0.0685	0.1977	0.722	0.8171
ABCF2	5221.0931	0.4202	0.1951	0.027	0.0626
ABCF3	1389.067	-0.1896	0.2452	0.4201	0.5658
ABCG1	27.262	-0.6018	0.6401	0.1912	0.3135
ABCG2	281.2652	0.3593	0.3266	0.2354	0.3672
ABCG4	10.169	-0.8973	0.88	0.0341	0.0764
ABCG8	0.5766	0.1022	0.9489	0.5783	NA
ABHD1	0.8496	0.1247	0.9496	0.5004	NA
ABHD10	601.6518	-0.6731	0.3101	0.02	0.0485
ABHD11	630.7564	0.3864	0.2629	0.1229	0.2202
ABHD12	3089.8585	0.9235	0.2038	0	0
ABHD12B	3.4111	0.0548	0.9055	0.8503	0.9048
ABHD13	238.0996	-1.9127	0.4344	0	0
ABHD14A	558.1759	1.1862	0.2635	0	0
ABHD14A-ACY1	7.6254	-0.8288	0.9867	0.0129	0.0331
ABHD14B	1150.7496	1.1292	0.234	0	0
ABHD15	316.9436	-0.375	0.2875	0.1668	0.2814
ABHD16A	1042.6532	0.8819	0.2507	2e-04	0.001
ABHD16B	235.1553	0.3185	0.3148	0.2778	0.4166
ABHD17A	2499.1052	0.9084	0.2315	0	2e-04
