gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	56.8825	1.2636	0.5724	0.005	0.0145
AAK1	967.4408	-1.0213	0.2389	0.0	0.0001
AAR2	1059.7948	-1.0467	0.2464	0.0	0.0001
ABCA1	778.5079	-1.0388	0.2528	0.0	0.0001
ABCA2	1939.9137	1.086	0.2405	0.0	0.0
ABCA3	1037.1937	1.0954	0.2445	0.0	0.0
ABCA7	484.8496	1.0056	0.3314	0.001	0.0036
ABCC3	1701.8499	1.0239	0.2306	0.0	0.0
ABCC6	29.7206	1.3397	0.7078	0.0059	0.0169
ABHD13	238.0996	-1.9127	0.4344	0.0	0.0
ABHD14A	558.1759	1.1862	0.2635	0.0	0.0
ABHD14B	1150.7496	1.1292	0.234	0.0	0.0
ABHD17B	191.0322	-1.4784	0.4175	0.0001	0.0003
ABHD6	189.6034	-1.4095	0.3536	0.0	0.0001
ABL1	2601.2745	-1.4404	0.1983	0.0	0.0
ABL2	2519.0718	-1.4739	0.2114	0.0	0.0
ABTB2	682.1436	-2.208	0.2689	0.0	0.0
AC012314.8	70.5672	2.8877	0.7024	0.0	0.0
AC104777.2	97.4058	1.5518	1.0269	0.0008	0.0031
AC137932.6	22.2892	1.1297	0.7344	0.0189	0.0462
ACAP2	823.2844	-1.1092	0.2641	0.0	0.0001
ACBD3	871.3218	-1.7854	0.2605	0.0	0.0
ACO2	2753.6942	1.0492	0.2225	0.0	0.0
ACVR1B	282.9412	-2.0246	0.3177	0.0	0.0
ACVR2A	69.8307	-3.4842	0.801	0.0	0.0
ACY1	1195.1556	1.2318	0.2488	0.0	0.0
ACYP2	109.4139	1.015	0.4205	0.006	0.0171
ADAM15	6555.6888	1.0906	0.2166	0.0	0.0
ADAM19	1358.0775	-1.0488	0.2372	0.0	0.0
ADAM8	6395.3907	1.29	0.2253	0.0	0.0
ADAMTS15	1826.5963	-2.1041	0.2135	0.0	0.0
ADAMTS16	350.7381	-1.5172	0.2915	0.0	0.0
ADAMTS6	332.2741	-1.1972	0.2958	0.0	0.0001
ADAMTSL4	397.8631	1.1731	0.2806	0.0	0.0001
ADAT2	180.9173	-1.2147	0.3623	0.0002	0.001
ADAT3	85.9973	-2.1127	0.505	0.0	0.0
ADIRF	521.4381	1.2771	0.2674	0.0	0.0
ADM2	102.4874	-1.2325	0.4622	0.0018	0.006
ADNP	1327.4282	-2.1026	0.2468	0.0	0.0
ADNP2	685.468	-1.411	0.26	0.0	0.0
ADPRHL2	497.7479	-2.1478	0.2825	0.0	0.0
ADRA1B	75.6351	-1.1186	0.4785	0.0057	0.0163
ADRB2	1735.7543	1.0778	0.2113	0.0	0.0
AEBP2	367.2583	-1.1878	0.2924	0.0	0.0001
AEN	716.3397	-2.222	0.3177	0.0	0.0
AES	7066.0164	1.0875	0.2081	0.0	0.0
AFF1	786.7892	-2.0391	0.2734	0.0	0.0
AFF4	2417.6905	-1.7894	0.247	0.0	0.0
AFG3L1P	182.771	-1.5327	0.3811	0.0	0.0001
AFTPH	375.1867	-1.8684	0.3617	0.0	0.0
AGA	591.6441	1.0572	0.2567	0.0	0.0001
AGAP9	160.6698	-1.0082	0.3744	0.0029	0.0089
AGPAT9	568.5763	-1.3909	0.2842	0.0	0.0
AGRN	20873.9348	1.0386	0.2174	0.0	0.0
AGTRAP	1165.3524	1.0983	0.2488	0.0	0.0
AHCTF1	2175.5774	-1.8029	0.2476	0.0	0.0
AHCY	8269.501	1.0409	0.2127	0.0	0.0
AHDC1	742.2188	-2.4975	0.25	0.0	0.0
AHR	2119.7764	-1.9785	0.2081	0.0	0.0
AHSA2	178.661	-1.7546	0.3729	0.0	0.0
AIP	1405.1022	1.0719	0.2522	0.0	0.0001
AJUBA	3908.3771	-1.6846	0.2038	0.0	0.0
AK1	1586.2693	1.03	0.2274	0.0	0.0
AK6	372.0371	-1.445	0.3402	0.0	0.0
AKAP10	424.1078	-2.7547	0.2963	0.0	0.0
AKAP11	1095.2429	-1.3639	0.2444	0.0	0.0
AKAP13	467.913	-1.3023	0.2746	0.0	0.0
AKAP5	49.1247	-1.6534	0.6074	0.0004	0.0016
AKAP8	884.2546	-1.2917	0.2322	0.0	0.0
AKIRIN1	1337.3596	-2.3415	0.2176	0.0	0.0
AKIRIN2	515.1443	-1.1353	0.257	0.0	0.0
AKNA	305.4187	-1.4617	0.3232	0.0	0.0
AKR1B1	18649.6537	1.2894	0.1959	0.0	0.0
AKR1C1	423.8975	1.1686	0.2737	0.0	0.0
AKR1C2	83.8261	1.106	0.4726	0.0058	0.0167
AKR7A2	1508.913	1.0738	0.2334	0.0	0.0
ALDH2	1360.3853	1.0145	0.2108	0.0	0.0
ALDH3A1	115.8724	1.1519	0.4295	0.0022	0.0069
ALDH3B1	981.8509	1.1154	0.2386	0.0	0.0
ALDOA	45095.2805	1.1648	0.2105	0.0	0.0
ALDOC	183.4689	1.0712	0.3558	0.001	0.0034
ALKBH4	150.1035	-1.2309	0.3873	0.0004	0.0016
ALKBH7	453.3334	1.161	0.2898	0.0	0.0001
ALKBH8	280.1786	-1.3217	0.3191	0.0	0.0001
ALS2	600.7488	-1.4219	0.2654	0.0	0.0
AMBRA1	418.7214	-2.2073	0.3005	0.0	0.0
AMD1	2165.9017	-1.7427	0.262	0.0	0.0
AMER1	138.194	-1.0625	0.3974	0.0027	0.0084
AMMECR1	502.8089	-1.3087	0.2834	0.0	0.0
AMMECR1L	654.631	-1.1839	0.285	0.0	0.0001
AMOT	10.32	1.0516	0.9746	0.0074	0.0204
AMOTL1	1955.7225	-1.2268	0.2068	0.0	0.0
ANAPC11	1841.7196	1.1148	0.2324	0.0	0.0
ANGEL2	538.476	-1.3251	0.3142	0.0	0.0
ANGPTL4	186.3483	-1.3123	0.3654	0.0001	0.0004
ANKHD1-EIF4EBP3	920.7883	-1.0966	0.2516	0.0	0.0
ANKRD1	4967.5075	-2.8678	0.2318	0.0	0.0
ANKRD11	2840.2326	-1.4262	0.1986	0.0	0.0
ANKRD12	508.3159	-1.6892	0.3274	0.0	0.0
ANKRD17	1384.3343	-1.4886	0.2184	0.0	0.0
ANKRD18A	39.4101	-1.4326	0.6333	0.0025	0.0078
ANKRD28	1746.4864	-1.2869	0.2355	0.0	0.0
ANKRD32	236.8775	-2.1312	0.391	0.0	0.0
ANKRD40	1312.2887	-1.4172	0.2171	0.0	0.0
ANKRD46	97.6237	-2.7919	0.5286	0.0	0.0
ANKS1A	525.1961	-1.2535	0.2568	0.0	0.0
AP000688.14	316.3668	1.1425	0.3645	0.0006	0.0021
AP1AR	332.5316	-1.3276	0.3005	0.0	0.0
AP1B1	4129.2085	1.023	0.2296	0.0	0.0
AP1S1	3740.0738	1.0263	0.1977	0.0	0.0
AP3M2	480.117	-1.5851	0.282	0.0	0.0
AP4B1	255.6477	-1.5113	0.3239	0.0	0.0
AP5B1	762.0045	-1.6153	0.2499	0.0	0.0
APAF1	476.9808	-1.407	0.276	0.0	0.0
APC	505.7855	-1.5744	0.3162	0.0	0.0
APLP1	274.5684	1.6013	0.3422	0.0	0.0
APMAP	5774.637	1.0375	0.1952	0.0	0.0
APOA1BP	1869.9246	1.1645	0.2319	0.0	0.0
APOE	283.9274	1.4849	0.3183	0.0	0.0
APOL2	223.0878	-1.3213	0.3428	0.0	0.0001
APOL6	958.925	-1.3109	0.2653	0.0	0.0
APP	21923.2252	1.1146	0.1907	0.0	0.0
APPBP2	489.0078	-2.2678	0.3322	0.0	0.0
APRT	1888.8854	1.2201	0.2207	0.0	0.0
ARAP2	83.977	-1.014	0.4896	0.0135	0.0344
ARF3	7215.8998	1.0309	0.2302	0.0	0.0
ARF5	2519.4652	1.0663	0.2159	0.0	0.0
ARGLU1	921.384	-2.4475	0.2387	0.0	0.0
ARHGAP11A	2443.7448	-1.4657	0.2061	0.0	0.0
ARHGAP11B	47.3133	-1.1047	0.6047	0.0162	0.0405
ARHGAP12	392.3508	-2.4328	0.3109	0.0	0.0
ARHGAP24	98.3681	-1.0224	0.4528	0.0087	0.0236
ARHGAP29	6858.5114	-1.8029	0.2481	0.0	0.0
ARHGAP30	31.7913	1.2409	0.6518	0.0089	0.0242
ARHGAP31	391.8809	-1.3056	0.2809	0.0	0.0
ARHGAP39	358.529	-1.143	0.2857	0.0	0.0001
ARHGAP42	324.701	-2.0408	0.3126	0.0	0.0
ARHGAP5	2850.0925	-1.8442	0.2803	0.0	0.0
ARHGEF10L	145.3486	-1.1952	0.4063	0.0009	0.0033
ARHGEF2	2258.2903	-1.2529	0.2116	0.0	0.0
ARHGEF26	340.978	-2.1115	0.3252	0.0	0.0
ARHGEF3	247.1835	-1.4961	0.3338	0.0	0.0
ARHGEF37	17.4061	-1.1798	0.7871	0.0141	0.0358
ARHGEF39	158.4383	-1.1701	0.3984	0.001	0.0035
ARHGEF7	720.9911	-1.5232	0.2469	0.0	0.0
ARID1A	1389.299	-1.8627	0.2233	0.0	0.0
ARID2	235.3372	-2.0407	0.3431	0.0	0.0
ARID3B	126.9468	-1.4399	0.5069	0.0006	0.0024
ARID4A	184.219	-2.485	0.4515	0.0	0.0
ARID4B	494.6427	-1.658	0.2659	0.0	0.0
ARID5A	151.0881	-1.0161	0.3805	0.003	0.0092
ARID5B	159.722	-1.8568	0.4091	0.0	0.0
ARL13B	384.4712	-1.6504	0.4234	0.0	0.0001
ARL14EP	173.7328	-1.8779	0.3774	0.0	0.0
ARL2	3894.0273	1.2419	0.2275	0.0	0.0
ARL4A	571.5833	-1.2981	0.2511	0.0	0.0
ARL4C	9171.8823	1.9662	0.1857	0.0	0.0
ARL5B	643.4457	-1.476	0.2919	0.0	0.0
ARL6IP4	3361.6531	1.1719	0.2198	0.0	0.0
ARL8A	364.2606	-1.617	0.294	0.0	0.0
ARMC7	216.6806	-1.2058	0.3452	0.0001	0.0006
ARNTL	110.0626	-1.6468	0.5226	0.0001	0.0006
ARPC1B	8181.7872	1.1605	0.2239	0.0	0.0
ARRDC3	1425.9923	1.7939	0.2462	0.0	0.0
ARRDC3-AS1	36.0306	2.0145	0.7385	0.0001	0.0004
ARSD	555.4662	1.002	0.2505	0.0	0.0002
ASAP1	2048.8048	-2.0414	0.2231	0.0	0.0
ASAP2	1485.4824	-1.2782	0.211	0.0	0.0
ASB13	399.4371	-1.4241	0.304	0.0	0.0
ASB16-AS1	125.6513	-1.45	0.4203	0.0001	0.0004
ASB2	136.044	-1.0156	0.4081	0.0049	0.0144
ASB7	158.2024	-2.7458	0.431	0.0	0.0
