Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IMP Metabolic Process (GO:0046040)	2/9	8.89664045549853E-5	0.021383975100892395	0	0	189.48387096774192	1767.3637645045653	ADSS2;HPRT1
Purine Ribonucleoside Monophosphate Metabolic Process (GO:0009167)	2/12	1.6261578023492315E-4	0.021383975100892395	0	0	132.61935483870968	1156.9872078623346	ADSS2;HPRT1
Dendritic Cell Chemotaxis (GO:0002407)	2/15	2.5793067074451735E-4	0.022611922135269354	0	0	102.0	842.8076121742293	TRPM2;CXCR1
Dendritic Cell Migration (GO:0036336)	2/18	3.747141018491629E-4	0.02463745219658246	0	0	82.86290322580645	653.7342150261377	TRPM2;CXCR1
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)	3/170	0.0025118608845891726	0.11776454376985036	0	0	12.214970059880239	73.12774495715921	DDX39A;DDX46;CTNNBL1
Purine Ribonucleotide Metabolic Process (GO:0009150)	2/58	0.003889593749823909	0.11776454376985036	0	0	23.629032258064516	131.12814632744497	ADSS2;HPRT1
Protein Homotetramerization (GO:0051289)	2/59	0.0040220521597694155	0.11776454376985036	0	0	23.21335597057159	128.0440130828956	TRPM2;HPRT1
mRNA Splicing, via Spliceosome (GO:0000398)	3/210	0.004549076571585185	0.11776454376985036	0	0	9.835265700483092	53.03992593901684	DDX39A;DDX46;CTNNBL1
Protein Stabilization (GO:0050821)	3/211	0.004609685972486966	0.11776454376985036	0	0	9.7875	52.65279137770125	POLR2E;SYVN1;PARVA
mRNA Processing (GO:0006397)	3/225	0.0055101867920821085	0.11776454376985036	0	0	9.163963963963964	47.66321308137728	DDX39A;DDX46;CTNNBL1
Protein Tetramerization (GO:0051262)	2/83	0.007810205143326132	0.11776454376985036	0	0	16.31620868180008	79.17153177070442	TRPM2;HPRT1
Nucleoside Salvage (GO:0043174)	1/5	0.007985156846229097	0.11776454376985036	0	0	160.640625	775.9216649878475	HPRT1
Intracellular Phosphate Ion Homeostasis (GO:0030643)	1/5	0.007985156846229097	0.11776454376985036	0	0	160.640625	775.9216649878475	XPR1
Nucleolar Large rRNA Transcription by RNA Polymerase I (GO:0042790)	1/5	0.007985156846229097	0.11776454376985036	0	0	160.640625	775.9216649878475	POLR2E
'De Novo' AMP Biosynthetic Process (GO:0044208)	1/6	0.009574759399217425	0.11776454376985036	0	0	128.50625	597.3773499896033	ADSS2
GMP Biosynthetic Process (GO:0006177)	1/6	0.009574759399217425	0.11776454376985036	0	0	128.50625	597.3773499896033	HPRT1
Negative Regulation of Stress-Activated MAPK Cascade (GO:0032873)	1/6	0.009574759399217425	0.11776454376985036	0	0	128.50625	597.3773499896033	QARS1
Smooth Muscle Cell Migration (GO:0014909)	1/6	0.009574759399217425	0.11776454376985036	0	0	128.50625	597.3773499896033	PARVA
Negative Regulation of Chromosome Organization (GO:2001251)	1/7	0.011161892697428063	0.11776454376985036	0	0	107.08333333333333	481.3663263105552	ESPL1
Regulation of Dopamine Metabolic Process (GO:0042053)	1/7	0.011161892697428063	0.11776454376985036	0	0	107.08333333333333	481.3663263105552	HPRT1
IMP Biosynthetic Process (GO:0006188)	1/7	0.011161892697428063	0.11776454376985036	0	0	107.08333333333333	481.3663263105552	HPRT1
Purine Ribonucleoside Monophosphate Catabolic Process (GO:0009169)	1/7	0.011161892697428063	0.11776454376985036	0	0	107.08333333333333	481.3663263105552	HPRT1
Negative Regulation of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303)	1/7	0.011161892697428063	0.11776454376985036	0	0	107.08333333333333	481.3663263105552	QARS1
AMP Biosynthetic Process (GO:0006167)	1/8	0.01274656029376996	0.11776454376985036	0	0	91.78125	400.39513634419905	ADSS2
Regulation of Sister Chromatid Cohesion (GO:0007063)	1/8	0.01274656029376996	0.11776454376985036	0	0	91.78125	400.39513634419905	ESPL1
GMP Metabolic Process (GO:0046037)	1/8	0.01274656029376996	0.11776454376985036	0	0	91.78125	400.39513634419905	HPRT1
Phosphatidylethanolamine Biosynthetic Process (GO:0006646)	1/8	0.01274656029376996	0.11776454376985036	0	0	91.78125	400.39513634419905	CEPT1
Purine Nucleobase Metabolic Process (GO:0006144)	1/8	0.01274656029376996	0.11776454376985036	0	0	91.78125	400.39513634419905	HPRT1
Glycerophospholipid Biosynthetic Process (GO:0046474)	2/110	0.013394303158760484	0.11776454376985036	0	0	12.221027479091996	52.70838471497956	CEPT1;PLD2
Phosphate Ion Transmembrane Transport (GO:0035435)	1/9	0.014328765781882934	0.11776454376985036	0	0	80.3046875	340.93244009690346	XPR1
[2Fe-2S] Cluster Assembly (GO:0044571)	1/9	0.014328765781882934	0.11776454376985036	0	0	80.3046875	340.93244009690346	NFS1
Endoplasmic Reticulum Mannose Trimming (GO:1904380)	1/9	0.014328765781882934	0.11776454376985036	0	0	80.3046875	340.93244009690346	SYVN1
tRNA Transcription by RNA Polymerase III (GO:0042797)	1/10	0.015908512781537733	0.1216538754103063	0	0	71.37847222222223	295.5711811478313	POLR2E
AMP Metabolic Process (GO:0046033)	1/11	0.0174858049263336	0.1216538754103063	0	0	64.2375	259.9284278488759	ADSS2
tRNA Transcription (GO:0009304)	1/11	0.0174858049263336	0.1216538754103063	0	0	64.2375	259.9284278488759	POLR2E
Positive Regulation of Metaphase/Anaphase Transition of Cell Cycle (GO:1902101)	1/11	0.0174858049263336	0.1216538754103063	0	0	64.2375	259.9284278488759	ESPL1
Purine Ribonucleoside Monophosphate Biosynthetic Process (GO:0009168)	1/11	0.0174858049263336	0.1216538754103063	0	0	64.2375	259.9284278488759	ADSS2
Phosphate Ion Homeostasis (GO:0055062)	1/12	0.019060645858077187	0.1216538754103063	0	0	58.39488636363637	231.251311892918	XPR1
Regulation of Ketone Metabolic Process (GO:0010565)	1/12	0.019060645858077187	0.1216538754103063	0	0	58.39488636363637	231.251311892918	NCOR2
Actin-Mediated Cell Contraction (GO:0070252)	1/12	0.019060645858077187	0.1216538754103063	0	0	58.39488636363637	231.251311892918	PARVA
Protein Alpha-1,2-Demannosylation (GO:0036508)	1/13	0.020633039220427817	0.1216538754103063	0	0	53.526041666666664	207.72716196947724	SYVN1
Positive Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045842)	1/13	0.020633039220427817	0.1216538754103063	0	0	53.526041666666664	207.72716196947724	ESPL1
Protein Homooligomerization (GO:0051260)	2/143	0.021953446653635644	0.1216538754103063	0	0	9.345687485701212	35.689602290835126	TRPM2;HPRT1
Establishment of Spindle Localization (GO:0051293)	1/14	0.022202988668040692	0.1216538754103063	0	0	49.40625	188.11569875157718	ESPL1
Regulation of RNA Export From Nucleus (GO:0046831)	1/14	0.022202988668040692	0.1216538754103063	0	0	49.40625	188.11569875157718	DDX39A
Regulation of Aerobic Respiration (GO:1903715)	1/14	0.022202988668040692	0.1216538754103063	0	0	49.40625	188.11569875157718	ARL2
Negative Regulation of Transcription Elongation by RNA Polymerase II (GO:0034244)	1/14	0.022202988668040692	0.1216538754103063	0	0	49.40625	188.11569875157718	HEXIM1
Negative Regulation of Androgen Receptor Signaling Pathway (GO:0060766)	1/14	0.022202988668040692	0.1216538754103063	0	0	49.40625	188.11569875157718	NCOR2
- Reg of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Sgnlng Pway (GO:1902236)	1/15	0.02377049784558764	0.12269777919503132	0	0	45.875	171.5408487064766	SYVN1
Positive Regulation of Mitotic Sister Chromatid Separation (GO:1901970)	1/15	0.02377049784558764	0.12269777919503132	0	0	45.875	171.5408487064766	ESPL1
Endoplasmic Reticulum to Cytosol Transport (GO:1903513)	1/16	0.025335570407886216	0.12269777919503132	0	0	42.81458333333333	157.36696733086984	SYVN1
Organophosphate Catabolic Process (GO:0046434)	1/17	0.026898209996455955	0.12269777919503132	0	0	40.13671875	145.12215487310752	PLD2
Negative Regulation of GTPase Activity (GO:0034260)	1/17	0.026898209996455955	0.12269777919503132	0	0	40.13671875	145.12215487310752	ARL2
Nucleotide Biosynthetic Process (GO:0009165)	1/18	0.028458420269570003	0.12269777919503132	0	0	37.77389705882353	134.4490546766037	HPRT1
Phosphate Ion Transport (GO:0006817)	1/18	0.028458420269570003	0.12269777919503132	0	0	37.77389705882353	134.4490546766037	XPR1
Purine Ribonucleotide Catabolic Process (GO:0009154)	1/18	0.028458420269570003	0.12269777919503132	0	0	37.77389705882353	134.4490546766037	HPRT1
Regulation of Viral Transcription (GO:0046782)	1/18	0.028458420269570003	0.12269777919503132	0	0	37.77389705882353	134.4490546766037	HEXIM1
Negative Regulation of Nucleocytoplasmic Transport (GO:0046823)	1/18	0.028458420269570003	0.12269777919503132	0	0	37.77389705882353	134.4490546766037	DDX39A
Retrograde Protein Transport, ER to Cytosol (GO:0030970)	1/18	0.028458420269570003	0.12269777919503132	0	0	37.77389705882353	134.4490546766037	SYVN1
Negative Regulation of DNA-templated Transcription, Elongation (GO:0032785)	1/18	0.028458420269570003	0.12269777919503132	0	0	37.77389705882353	134.4490546766037	HEXIM1
Regulation of Cellular Respiration (GO:0043457)	1/18	0.028458420269570003	0.12269777919503132	0	0	37.77389705882353	134.4490546766037	ARL2
Maintenance of Protein Localization in Organelle (GO:0072595)	1/19	0.03001620484906565	0.12334784180162915	0	0	35.673611111111114	125.0723184539191	ARL2
