Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
[2Fe-2S] Cluster Assembly (GO:0044571)	2/9	6.847166085228032E-5	0.011462490326979604	0	0	217.5978835978836	2086.565822034341	GLRX3;HSCB
Cellular Response to Unfolded Protein (GO:0034620)	3/58	7.34775020960231E-5	0.011462490326979604	0	0	43.03846153846154	409.66294293634354	DAXX;HSF1;MBTPS2
Cellular Response to Cadmium Ion (GO:0071276)	2/17	2.5687202570285044E-4	0.01959379409180683	0	0	101.50617283950618	839.1446844304957	DAXX;HSF1
Cellular Response to Copper Ion (GO:0071280)	2/17	2.5687202570285044E-4	0.01959379409180683	0	0	101.50617283950618	839.1446844304957	DAXX;HSF1
Response to Copper Ion (GO:0046688)	2/21	3.952588801363279E-4	0.01959379409180683	0	0	80.12085769980507	627.8246064625292	DAXX;HSF1
Metallo-Sulfur Cluster Assembly (GO:0031163)	2/23	4.7536272474977095E-4	0.01959379409180683	0	0	72.48324514991182	554.6006514333499	GLRX3;HSCB
Iron-Sulfur Cluster Assembly (GO:0016226)	2/23	4.7536272474977095E-4	0.01959379409180683	0	0	72.48324514991182	554.6006514333499	GLRX3;HSCB
Regulation of Cellular Response to Stress (GO:0080135)	3/111	5.024049767129957E-4	0.01959379409180683	0	0	21.86111111111111	166.05927436401376	RUVBL2;HSF1;MBTPS2
Cellular Response to Topologically Incorrect Protein (GO:0035967)	2/26	6.090479023305641E-4	0.02111366061412622	0	0	63.41358024691358	469.48964742302445	DAXX;HSF1
Cellular Response to Heat (GO:0034605)	2/36	0.001170365300576399	0.03651539737798365	0	0	44.74074074074074	302.0196571213435	DAXX;HSF1
Response to Unfolded Protein (GO:0006986)	2/44	0.001745194543892175	0.049500063426759874	0	0	36.204585537918874	229.9313128426035	DAXX;HSF1
Erythrocyte Differentiation (GO:0030218)	2/48	0.002073711355593468	0.05391649524543017	0	0	33.049919484702095	204.19612991572623	RPS14;HSCB
Chromatin Remodeling (GO:0006338)	3/261	0.0057600179120867795	0.09361274546970864	0	0	9.084078711985688	46.84491058834291	DAXX;PBRM1;RUVBL2
Ribosomal Small Subunit Biogenesis (GO:0042274)	2/84	0.006211036803531192	0.09361274546970864	0	0	18.507678410117435	94.04542492168544	RPS14;RPS17
Protein Geranylgeranylation (GO:0018344)	1/5	0.007019980984505471	0.09361274546970864	0	0	183.625	910.5954145876298	RABGGTB
Regulation of Double-Strand Break Repair (GO:2000779)	2/91	0.007251867169536374	0.09361274546970864	0	0	17.046192259675404	83.97800314151341	PBRM1;RUVBL2
Positive Regulation of DNA Repair (GO:0045739)	2/92	0.00740658508175763	0.09361274546970864	0	0	16.855967078189302	82.6850215264063	PBRM1;RUVBL2
Positive Regulation of Double-Strand Break Repair (GO:2000781)	2/94	0.007720499489740988	0.09361274546970864	0	0	16.48792270531401	80.19521510248389	PBRM1;RUVBL2
tRNA 3'-End Processing (GO:0042780)	1/6	0.008418262958151013	0.09361274546970864	0	0	146.89285714285714	701.7588512947071	HSD17B10
Telomerase RNA Localization (GO:0090672)	1/6	0.008418262958151013	0.09361274546970864	0	0	146.89285714285714	701.7588512947071	RUVBL2
Telomerase RNA Localization to Cajal Body (GO:0090671)	1/6	0.008418262958151013	0.09361274546970864	0	0	146.89285714285714	701.7588512947071	RUVBL2
Mitochondrial RNA 3'-End Processing (GO:0000965)	1/6	0.008418262958151013	0.09361274546970864	0	0	146.89285714285714	701.7588512947071	HSD17B10
Cytoplasmic Translation (GO:0002181)	2/101	0.008865784354800482	0.09361274546970864	0	0	15.316872427983538	72.38073634579227	RPS14;RPS17
ATF6-mediated Unfolded Protein Response (GO:0036500)	1/7	0.009814644507073363	0.09361274546970864	0	0	122.4047619047619	565.9848902368858	MBTPS2
