Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Inhibition,Compound Concentration (nM)
MEL-0495(R)Pharmaron-2nd Batch,AAK1,AAK1,61,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(E255K)-phosphorylated,ABL1,36,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(F317I)-nonphosphorylated,ABL1,3,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(F317I)-phosphorylated,ABL1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(F317L)-nonphosphorylated,ABL1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(F317L)-phosphorylated,ABL1,30,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(H396P)-nonphosphorylated,ABL1,51,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(H396P)-phosphorylated,ABL1,23,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(M351T)-phosphorylated,ABL1,38,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(Q252H)-nonphosphorylated,ABL1,40,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(Q252H)-phosphorylated,ABL1,14,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(T315I)-nonphosphorylated,ABL1,16,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(T315I)-phosphorylated,ABL1,20,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1(Y253F)-phosphorylated,ABL1,30,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1-nonphosphorylated,ABL1,37,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL1-phosphorylated,ABL1,21,1000
MEL-0495(R)Pharmaron-2nd Batch,ABL2,ABL2,11,1000
MEL-0495(R)Pharmaron-2nd Batch,ACVR1,ACVR1,81,1000
MEL-0495(R)Pharmaron-2nd Batch,ACVR1B,ACVR1B,38,1000
MEL-0495(R)Pharmaron-2nd Batch,ACVR2A,ACVR2A,33,1000
MEL-0495(R)Pharmaron-2nd Batch,ACVR2B,ACVR2B,22,1000
MEL-0495(R)Pharmaron-2nd Batch,ACVRL1,ACVRL1,53,1000
MEL-0495(R)Pharmaron-2nd Batch,ADCK3,CABC1,33,1000
MEL-0495(R)Pharmaron-2nd Batch,ADCK4,ADCK4,34,1000
MEL-0495(R)Pharmaron-2nd Batch,AKT1,AKT1,8,1000
MEL-0495(R)Pharmaron-2nd Batch,AKT2,AKT2,27,1000
MEL-0495(R)Pharmaron-2nd Batch,AKT3,AKT3,0,1000
MEL-0495(R)Pharmaron-2nd Batch,ALK,ALK,34,1000
MEL-0495(R)Pharmaron-2nd Batch,ALK(C1156Y),ALK,36,1000
MEL-0495(R)Pharmaron-2nd Batch,ALK(L1196M),ALK,36,1000
MEL-0495(R)Pharmaron-2nd Batch,AMPK-alpha1,PRKAA1,18,1000
MEL-0495(R)Pharmaron-2nd Batch,AMPK-alpha2,PRKAA2,42,1000
MEL-0495(R)Pharmaron-2nd Batch,ANKK1,ANKK1,0,1000
MEL-0495(R)Pharmaron-2nd Batch,ARK5,NUAK1,23,1000
MEL-0495(R)Pharmaron-2nd Batch,ASK1,MAP3K5,8,1000
MEL-0495(R)Pharmaron-2nd Batch,ASK2,MAP3K6,34,1000
MEL-0495(R)Pharmaron-2nd Batch,AURKA,AURKA,27,1000
MEL-0495(R)Pharmaron-2nd Batch,AURKB,AURKB,4,1000
MEL-0495(R)Pharmaron-2nd Batch,AURKC,AURKC,8,1000
MEL-0495(R)Pharmaron-2nd Batch,AXL,AXL,16,1000
MEL-0495(R)Pharmaron-2nd Batch,BIKE,BMP2K,55,1000
MEL-0495(R)Pharmaron-2nd Batch,BLK,BLK,46,1000
MEL-0495(R)Pharmaron-2nd Batch,BMPR1A,BMPR1A,45,1000
MEL-0495(R)Pharmaron-2nd Batch,BMPR1B,BMPR1B,13,1000
MEL-0495(R)Pharmaron-2nd Batch,BMPR2,BMPR2,0,1000
MEL-0495(R)Pharmaron-2nd Batch,BMX,BMX,29,1000
