Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
12:75506520-75506916,KRR1,12:75508447-75506781,IR,2,2,-,ENST00000550898,98.98,0.00656286,0.00656286,2.04081632653061|0,100|100,12_75508447_75506781_R_ENST00000550898_1,IR
1:33330071-33330212,PHC2,1:33330213-33328869,IR (overlapping region),2,2,-,ENST00000486897,96.49,0.00289027,0.00289027,2.46913580246914|0,100|95.4545454545455,1_33330213_33328869_R_ENST00000486897_1,IR
5:132488671-132489483,IRF1,5:132490656-132489391,IR (overlapping region),2,2,-,ENST00000493208,95.3,0.00124687,0.00124687,4.54545454545455|0,100|95.1388888888889,5_132490656_132489391_R_ENST00000493208_1,IR
5:132488671-132489483,IRF1,5:132490263-132489391,IR (overlapping region),2,2,-,ENST00000493208,93.69,0.0048653,0.0048653,0|7.69230769230769,100|95.0704225352113,5_132490263_132489391_R_ENST00000493208_1,IR
19:49907543-49909884,NUP62,19:49927849-49908104,IR (overlapping region),2,2,-,ENST00000352066,93.34,0.00955292,0.00955292,5.26315789473684|8.06451612903226,100|100,19_49927849_49908104_R_ENST00000352066_1,IR
5:132488671-132489483,IRF1,5:132490799-132489391,IR,2,2,-,ENST00000493208,93.2,0.00773742,0.00773742,8.69565217391304|0,100|95.1048951048951,5_132490799_132489391_R_ENST00000493208_1,IR
19:49907543-49909884,NUP62,19:49927816-49909858,IR (overlapping region),2,2,-,ENST00000352066,92.12,0.0012861,0.0012861,7.69230769230769|8.06451612903226,100|100,19_49927816_49909858_R_ENST00000352066_1,IR
12:75506164-75506609,KRR1,12:75506917-75506483,IR,2,2,-,ENST00000550023,91.81,0.00731594,0.00731594,2.04081632653061|10,100|95.6521739130435,12_75506917_75506483_R_ENST00000550023_1,IR
5:132488671-132489483,IRF1,5:132490766-132489391,IR (overlapping region),2,2,-,ENST00000493208,91.59,0.00176457,0.00176457,4.54545454545455|7.69230769230769,100|95.4248366013072,5_132490766_132489391_R_ENST00000493208_1,IR
18:50275157-50275245,MBD1,18:50275246-50273563,IR,2,2,-,ENST00000586679,90.56,0.00349981,0.00349981,8.33333333333333|5.55555555555556,95|100,18_50275246_50273563_R_ENST00000586679_1,IR
3:127575940-127576050,TPRA1,3:127576697-127575937,IR,2,2,-,ENST00000469111,90.45,0.00319907,0.00319907,10|9.09090909090909,100|100,3_127576697_127575937_R_ENST00000469111_1,IR
19:50799442-50799532,SNORD88A,19:50801350-50799293,IR,2,2,-,ENST00000408314,90.28,0.00228893,0.00228893,6.89655172413793|8.33333333333333,98.1132075471698|97.6744186046512,19_50801350_50799293_R_ENST00000408314_1,IR
19:50799442-50799532,SNORD88A,19:50802258-50799271,IR,2,2,-,ENST00000408314,88.34,0.00848358,0.00848358,12.1212121212121|5.88235294117647,98.6842105263158|96,19_50802258_50799271_R_ENST00000408314_1,IR
6:43773172-43777665,VEGFA,6:43774393-43777468,IR,2,2,-,ENST00000480614,88.1,0.0087758,0.0087758,6.38297872340426|0,86.2433862433862|96.3455149501661,6_43774393_43777468_R_ENST00000480614_1,IR
1:16148378-16149047,EPHA2,1:16150964-16148377,IR,2,2,-,ENST00000461614,87.22,0.00112862,0.00112862,2.85714285714286|0,90.5405405405405|86.7469879518072,1_16150964_16148377_R_ENST00000461614_1,IR
12:12912084-12912509,GPRC5A,12:12912143-12912446,IR,2,2,-,ENST00000540125,86.95,0.00570169,0.00570169,7.69230769230769|0,88.3720930232558|93.2203389830508,12_12912143_12912446_R_ENST00000540125_1,IR
5:140335891-140336027,HBEGF,5:140342813-140335871,IR,2,2,-,ENST00000498452,86.46,0.00843894,0.00843894,11.7647058823529|5.55555555555556,90.2439024390244|100,5_140342813_140335871_R_ENST00000498452_1,IR
18:50273608-50273863,MBD1,18:50274351-50273563,IR,2,2,-,ENST00000589733,84.56,0.00563183,0.00563183,8.33333333333333|16.6666666666667,94.1176470588235|100,18_50274351_50273563_R_ENST00000589733_1,IR
12:75506164-75506609,KRR1,12:75506610-75506315,IR,2,2,-,ENST00000550023,84.37,0.00241637,0.00241637,16|10,100|94.7368421052632,12_75506610_75506315_R_ENST00000550023_1,IR
19:50797705-50798958,C19orf48,19:50802258-50798205,IR,2,2,-,ENST00000345523,83.29,0.00243756,0.00243756,10.5263157894737|4.76190476190476,93.8775510204082|88,19_50802258_50798205_R_ENST00000345523_1,IR
