Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
12:96011295-96011865	LTA4H	12:96011866-96009093	IR	2	2	-	ENST00000547982	76.65	3.50294e-03	3.50294e-03	9.09090909090909|14.2857142857143	86.6666666666667|90	12_96011866_96009093_R_ENST00000547982_1
11:6606296-6611011	TAF10	11:6609157-6609298	IR (overlapping region)	2	2	-	ENST00000616342	69.05	4.45844e-02	4.45844e-02	23.0769230769231|26.3157894736842	100|87.5	11_6609157_6609298_R_ENST00000616342_1
X:48477961-48478518	FTSJ1	X:48478169-48478448	IR	2	2	-	ENST00000487353	68.86	3.70451e-02	3.70451e-02	10|0	75|72.7272727272727	X_48478169_48478448_R_ENST00000487353_1
19:58246428-58246745	ZNF544	19:58246711-58246745	A3SS	2	2	-	ENST00000269829	63.23	1.11605e-01	1.11605e-01	26.4705882352941|24	100|76.9230769230769	19_58246428_58246745_S_ENST00000269829_1
19:58555712-58556229	UBE2M	19:58556791-58556200	IR	2	2	-	ENST00000253023	62.51	1.33540e-01	1.33540e-01	6.66666666666667|8.16326530612245	56.5217391304348|83.3333333333333	19_58556791_58556200_R_ENST00000253023_1
7:35832894-35863551	SEPT7	7:35832894-35832900	A5SS	2	2	-	ENST00000350320	62.28	1.01697e-01	1.01697e-01	19.6428571428571|25.3731343283582	96.4285714285714|73.1481481481482	7_35832894_35863551_S_ENST00000350320_1
19:39480962-39488060	TIMM50	19:39485688-39485807	MES	2	2	-	ENST00000314349	60.17	5.95283e-02	5.95283e-02	34.5679012345679|33.3333333333333	88.2352941176471|100	19_39480962_39488060_W_ENST00000314349_5
1:185306750-185307139	IVNS1ABP	1:185307140-185305535	IR	2	2	-	ENST00000422754	58.63	1.90082e-01	1.90082e-01	0|46.4285714285714	67.8571428571429|95.8333333333333	1_185307140_185305535_R_ENST00000422754_1
19:1985438-1986649	BTBD2	19:1986977-1985437	IR	2	2	-	ENST00000255608	58.27	4.83103e-02	4.83103e-02	31.25|27.7777777777778	93.75|81.8181818181818	19_1986977_1985437_R_ENST00000255608_1
7:35801271-35863551	SEPT7	7:35832798-35832900	SES	2	2	-	ENST00000399034	56.52	5.92105e-02	5.92105e-02	18.1818181818182|26.5822784810127	87.8048780487805|70	7_35801271_35863551_W_ENST00000399034_1
19:58555712-58556229	UBE2M	19:58556380-58556140	IR	2	2	-	ENST00000253023	55.00	2.15047e-01	2.15047e-01	28.125|21.875	60|100	19_58556380_58556140_R_ENST00000253023_1
19:4683711-4685948	DPP9-AS1	19:4685772-4684662	IR (overlapping region)	2	2	-	ENST00000381796	55.00	1.54028e-01	1.54028e-01	16.6666666666667|53.3333333333333	80|100	19_4685772_4684662_R_ENST00000381796_1
19:36114289-36114394	TBCB	19:36114714-36114338	IR (overlapping region)	2	2	-	ENST00000593075	54.86	3.49663e-02	3.49663e-02	20.4545454545455|26.6666666666667	72.2222222222222|84.6153846153846	19_36114714_36114338_R_ENST00000593075_1
