Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
X:71297939-71298470,NONO,X:71298469-71298470,A3SS,2,2,-,Ex.ENST00000276079,40.17,0.00301944,0.00301944,58.1081081081081|59.375,100|97.8260869565217,X_71297939_71298470_S_Ex.ENST00000276079_1,A3SS
3:52401026-52402421,BAP1,3:52402675-52402023,IR,2,2,-,ENST00000296288,32.93,0.00982753,0.00982753,58.5365853658537|56.0975609756098,90.7407407407407|89.7435897435898,3_52402675_52402023_R_ENST00000296288_1,IR
11:763945-764287,TALDO1,11:763945-764063,A5SS,2,2,-,Ex.ENST00000319006,24.42,0.00241797,0.00241797,0|0,24.3243243243243|24.5098039215686,11_763945_764287_S_Ex.ENST00000319006_1,A5SS
11:763941-764287,TALDO1,11:763941-764063,A5SS,2,2,-,Ex.ENST00000528097,24.42,0.00241797,0.00241797,0|0,24.3243243243243|24.5098039215686,11_763941_764287_S_Ex.ENST00000528097_1,A5SS
15:85205440-85205806,AC044860.1,15:85207606-85205439,IR (overlapping region),2,2,-,ENST00000560756,-21.85,0.00346053,0.00346053,88.4615384615385|90.3225806451613,66.6666666666667|68.4210526315789,15_85207606_85205439_R_ENST00000560756_1,IR
1:228147700-228148664,GUK1,1:228148358-228148665,A3SS,2,2,-,Ex.TSS.ENST00000366728,-24.12,0.00440287,0.00440287,23.9520958083832|24.2857142857143,0|0,1_228147700_228148664_S_Ex.TSS.ENST00000366728_1,A3SS
1:228147700-228148370,GUK1,1:228148358-228148371,A3SS,2,2,-,Ex.ENST00000312726,-24.12,0.00440287,0.00440287,23.9520958083832|24.2857142857143,0|0,1_228147700_228148370_S_Ex.ENST00000312726_1,A3SS
9:128636084-128636438,WDR34,9:128636439-128635322,IR,2,2,-,ENST00000419989,-27.81,0.00132993,0.00132993,73.6842105263158|72.2222222222222,45.8333333333333|44.4444444444444,9_128636439_128635322_R_ENST00000419989_1,IR
9:34647492-34647961,GALT,9:34647706-34647831,IR (overlapping region),2,2,-,ENST00000472111,-31.01,0.00493494,0.00493494,100|100,68.75|69.2307692307692,9_34647706_34647831_R_ENST00000472111_1,IR
11:864437-865825,TSPAN4,11:864512-865512,IR,2,2,-,ENST00000464987,-32.68,0.00347416,0.00347416,61.5384615384615|63.6363636363636,28.5714285714286|31.25,11_864512_865512_R_ENST00000464987_1,IR
3:40458737-40461607,RPL14,3:40461407-40461607,A3SS,2,2,-,Ex.ENST00000481798,-32.94,0.00974746,0.00974746,95.2380952380952|100,66.6666666666667|62.6984126984127,3_40458737_40461607_S_Ex.ENST00000481798_1,A3SS
3:40458737-40461416,RPL14,3:40461407-40461416,A3SS,2,2,-,Ex.ENST00000338970,-32.94,0.00974746,0.00974746,95.2380952380952|100,66.6666666666667|62.6984126984127,3_40458737_40461416_S_Ex.ENST00000338970_1,A3SS
1:151369068-151369189,SELENBP1,1:151369555-151369067,IR,2,2,-,ENST00000427867,-33.12,0.00442963,0.00442963,88.4615384615385|91.6666666666667,55.5555555555556|58.3333333333333,1_151369555_151369067_R_ENST00000427867_1,IR
10:121517334-121517463,FGFR2,10:121517473-121517318,IR,2,2,-,ENST00000490349,-33.73,0.0065601,0.0065601,72.7272727272727|76.4705882352941,42.8571428571429|38.8888888888889,10_121517473_121517318_R_ENST00000490349_1,IR
16:3025708-3026515,THOC6,16:3025989-3026062,IR,2,2,-,ENST00000574957,-35.02,0.00390618,0.00390618,80.9523809523809|77.7777777777778,42.8571428571429|45.8333333333333,16_3025989_3026062_R_ENST00000574957_1,IR
17:81914389-81914530,SIRT7,17:81914703-81914388,IR,2,2,-,ENST00000571915,-44.75,0.000885916,0.000885916,72.7272727272727|70.9677419354839,26.4150943396226|27.7777777777778,17_81914703_81914388_R_ENST00000571915_1,IR
2:241685116-241685877,DTYMK,2:241686992-241685768,IR,2,2,-,ENST00000464603,-54.05,0.00839281,0.00839281,64.2857142857143|70,16.6666666666667|9.52380952380952,2_241686992_241685768_R_ENST00000464603_1,IR
1:155192202-155192247,MUC1,1:155192284-155188007,IR,2,2,-,ENST00000466913,-60.61,0.000800936,0.000800936,90.9090909090909|88.8888888888889,28.5714285714286|30,1_155192284_155188007_R_ENST00000466913_1,IR
