Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
12:54282666-54284257	HNRNPA1	12:54283812-54283967	MES	2	2	-	ENST00000340913	71.45	1.02588e-02	1.02588e-02	29.6991264962795|27.3960983884648	100|100	12_54282666_54284257_W_ENST00000340913_3
12:54282666-54284257	HNRNPA1	12:54283812-54283967	MES	2	2	-	ENST00000546500	65.43	2.03059e-03	2.03059e-03	34.3578130054998|34.7752332485157	100|100	12_54282666_54284257_W_ENST00000546500_2
19:39480962-39488060	TIMM50	19:39486187-39486291	MES	2	2	-	ENST00000314349	61.40	1.70384e-02	1.70384e-02	36.9565217391304|40.2439024390244	100|100	19_39480962_39488060_W_ENST00000314349_6
22:39520564-39521671	ATF4	22:39520752-39521353	IR	2	2	-	ENST00000337304	58.12	3.45171e-02	3.45171e-02	29.1666666666667|33.3333333333333	84|94.7368421052632	22_39520752_39521353_R_ENST00000337304_1
6:30913110-30913387	GTF2H4	6:30913158-30913308	IR (overlapping region)	2	2	-	ENST00000483318	56.32	1.21771e-01	1.21771e-01	36.8421052631579|5.88235294117647	62.5|92.8571428571429	6_30913158_30913308_R_ENST00000483318_1
20:64071870-64072346	TCEA2	20:64071942-64072171	IR	2	2	-	ENST00000461072	54.62	1.71158e-01	1.71158e-01	10|50	100|69.2307692307692	20_64071942_64072171_R_ENST00000461072_1
12:54282666-54284257	HNRNPA1	12:54282800-54282874	MES	2	2	-	ENST00000546500	53.26	1.68026e-02	1.68026e-02	37.1077321255257|43.8507209499576	95.3068592057762|92.1708185053381	12_54282666_54284257_W_ENST00000546500_1
14:105478266-105478507	CRIP2	14:105478361-105478449	IR	2	2	-	ENST00000551836	50.03	1.82252e-01	1.82252e-01	56.7567567567568|18.1818181818182	75|100	14_105478361_105478449_R_ENST00000551836_1
1:26280923-26281057	SH3BGRL3	1:26280923-26280932	A5SS	2	2	-	Ex.TSS.ENST00000270792	49.11	8.30411e-02	8.30411e-02	42.0886075949367|41.4285714285714	84.375|97.3684210526316	1_26280923_26281057_S_Ex.TSS.ENST00000270792_1
1:26280786-26281057	SH3BGRL3	1:26280786-26280932	A5SS	2	2	-	Ex.TSS.ENST00000270792	49.11	8.30411e-02	8.30411e-02	42.0886075949367|41.4285714285714	84.375|97.3684210526316	1_26280786_26281057_S_Ex.TSS.ENST00000270792_1
