Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
19:799444-808359	PTBP1	19:803561-803636	MES	2	2	-	ENST00000349038	82.54	7.34554e-02	7.34554e-02	27.027027027027|7.89473684210526	100|100	19_799444_808359_W_ENST00000349038_1
1:111449582-111456085	ATP5PB	1:111449837-111449873	MES	2	2	-	ENST00000369722	82.34	1.22460e-02	1.22460e-02	2.22222222222222|14.8148148148148	84.2105263157895|97.5	1_111449582_111456085_W_ENST00000369722_1
3:134367753-134367803	AMOTL2	3:134367804-134366282	IR (overlapping region)	2	2	-	ENST00000511759	79.17	3.24006e-02	3.24006e-02	12.5|0	87.5|83.3333333333333	3_134367804_134366282_R_ENST00000511759_1
17:50381238-50383235	LRRC59	17:50385292-50381237	IR	2	2	-	ENST00000225972	77.20	1.30467e-02	1.30467e-02	4.76190476190476|12.5	91.6666666666667|80	17_50385292_50381237_R_ENST00000225972_1
19:799444-808359	PTBP1	19:804036-804208	MES	2	2	-	ENST00000349038	76.05	2.84270e-02	2.84270e-02	20.2702702702703|15.7894736842105	88.1578947368421|100	19_799444_808359_W_ENST00000349038_2
5:58458297-58458841	PLK2	5:58458842-58458083	IR	2	2	-	ENST00000514306	74.26	8.45729e-02	8.45729e-02	9.52380952380952|4.16666666666667	92.6470588235294|69.5652173913043	5_58458842_58458083_R_ENST00000514306_1
3:134371335-134371494	AMOTL2	3:134374446-134370699	IR	2	2	-	ENST00000502491	72.95	2.98658e-02	2.98658e-02	6.66666666666667|0	83.3333333333333|69.2307692307692	3_134374446_134370699_R_ENST00000502491_1
5:58458297-58458841	PLK2	5:58458529-58458083	IR	2	2	-	ENST00000514306	72.45	9.00277e-02	9.00277e-02	9.52380952380952|4.16666666666667	91.1392405063291|67.4418604651163	5_58458529_58458083_R_ENST00000514306_1
3:134371335-134371494	AMOTL2	3:134374448-134370699	IR	2	2	-	ENST00000502491	70.15	6.43189e-02	6.43189e-02	6.66666666666667|0	83.3333333333333|63.6363636363636	3_134374448_134370699_R_ENST00000502491_1
5:58457516-58457583	PLK2	5:58457584-58457308	IR	2	2	-	ENST00000508300	69.75	1.38064e-01	1.38064e-01	5|8	91.9354838709677|60.5633802816901	5_58457584_58457308_R_ENST00000508300_1
1:111449582-111456085	ATP5PB	1:111454211-111454356	MES	2	2	-	ENST00000369722	69.34	2.50699e-02	2.50699e-02	26.6666666666667|33.3333333333333	98.6842105263158|100	1_111449582_111456085_W_ENST00000369722_2
