Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
17:81845681-81845991,P4HB,17:81846508-81845680,IR,2,2,-,ENST00000474712,80.45,0.00721381,0.00721381,9.09090909090909|0,90|80,17_81846508_81845680_R_ENST00000474712_1,IR
16:2975749-2975812,PKMYT1,16:2976825-2975318,IR,2,2,-,ENST00000572059,80.19,0.00751842,0.00751842,21.0526315789474|11.4285714285714,92.8571428571429|100,16_2976825_2975318_R_ENST00000572059_1,IR
2:152679056-152679109,PRPF40A,2:152679110-152677450,IR,2,2,-,ENST00000448428,71.67,0.00960498,0.00960498,16.6666666666667|10,86.6666666666667|83.3333333333333,2_152679110_152677450_R_ENST00000448428_1,IR
19:46727907-46728007,STRN4,19:46728008-46725472,IR,2,2,-,ENST00000594847,69.98,0.00589073,0.00589073,23.0769230769231|15.3846153846154,86.1111111111111|92.3076923076923,19_46728008_46725472_R_ENST00000594847_1,IR
9:92031999-92032558,SPTLC1,9:92034884-92031271,IR,2,2,-,ENST00000262554,65.48,0.0042255,0.0042255,7.31707317073171|5.40540540540541,73.6842105263158|70,9_92034884_92031271_R_ENST00000262554_1,IR
3:127573069-127573788,TPRA1,3:127575266-127571265,IR (overlapping region),2,2,-,ENST00000296210,65.25,0.00891513,0.00891513,20|11.7647058823529,84|78.2608695652174,3_127575266_127571265_R_ENST00000296210_1,IR
3:50290009-50290679,IFRD2,3:50290473-50290180,IR,2,2,-,ENST00000462001,62.02,0.00193167,0.00193167,32.4324324324324|30.2325581395349,94.9685534591195|91.743119266055,3_50290473_50290180_R_ENST00000462001_1,IR
22:50505696-50505815,LMF2,22:50506214-50505673,IR,2,2,-,ENST00000505981,60.98,0.00221279,0.00221279,30.7692307692308|33.3333333333333,93.75|92.3076923076923,22_50506214_50505673_R_ENST00000505981_1,IR
3:50290009-50290679,IFRD2,3:50290473-50290169,IR,2,2,-,ENST00000462001,60.05,0.000930999,0.000930999,32.4324324324324|30.2325581395349,92.6829268292683|90.0900900900901,3_50290473_50290169_R_ENST00000462001_1,IR
19:46727907-46728007,STRN4,19:46727960-46727451,IR,2,2,-,ENST00000594847,59.6,0.0039412,0.0039412,33.3333333333333|35.2941176470588,93.5483870967742|94.2857142857143,19_46727960_46727451_R_ENST00000594847_1,IR
1:112911847-112914165,SLC16A1,1:112918045-112911851,IR,2,2,-,ENST00000369626,56.2,0.00119471,0.00119471,15.1515151515152|12.5,71.4285714285714|68.6274509803922,1_112918045_112911851_R_ENST00000369626_1,IR
1:112911847-112914165,SLC16A1,1:112918045-112911846,IR,2,2,-,ENST00000369626,56.2,0.00119471,0.00119471,15.1515151515152|12.5,71.4285714285714|68.6274509803922,1_112918045_112911846_R_ENST00000369626_1,IR
11:836803-837354,CD151,11:836844-837228,IR,2,2,-,ENST00000532075,56.08,0.000570016,0.000570016,22.8915662650602|23.6842105263158,78.740157480315|80,11_836844_837228_R_ENST00000532075_1,IR
6:79201245-79201726,HMGN3,6:79202390-79201244,IR,2,2,-,ENST00000275036,55.69,0.000667047,0.000667047,9.09090909090909|7.69230769230769,65|63.1578947368421,6_79202390_79201244_R_ENST00000275036_1,IR
3:184301537-184302061,PSMD2,3:184301659-184301846,IR,2,2,-,ENST00000487475,54.72,0.0088108,0.0088108,11.1111111111111|17.3913043478261,72.7272727272727|65.2173913043478,3_184301659_184301846_R_ENST00000487475_1,IR
3:184301537-184302061,PSMD2,3:184301659-184301793,IR,2,2,-,ENST00000487475,53.98,0.00794367,0.00794367,11.1111111111111|17.3913043478261,71.7647058823529|64.7058823529412,3_184301659_184301793_R_ENST00000487475_1,IR
11:10804364-10804418,EIF4G2,11:10804607-10803941,IR,2,2,-,ENST00000525972,53.97,0.00503759,0.00503759,20.8333333333333|15.3846153846154,74.7967479674797|69.3693693693694,11_10804607_10803941_R_ENST00000525972_1,IR
12:6868469-6868987,TPI1,12:6868510-6868863,IR,2,2,-,ENST00000495834,53.74,0.00270872,0.00270872,10.3448275862069|10,63.3802816901408|64.4444444444444,12_6868510_6868863_R_ENST00000495834_1,IR
3:184301537-184302061,PSMD2,3:184301659-184301770,IR,2,2,-,ENST00000487475,53.72,0.00934092,0.00934092,11.1111111111111|17.3913043478261,71.7647058823529|64.1791044776119,3_184301659_184301770_R_ENST00000487475_1,IR
3:50290009-50290679,IFRD2,3:50290087-50289446,IR,2,2,-,ENST00000462001,53.57,0.00978569,0.00978569,35.8974358974359|28.5714285714286,83.1460674157303|88.4615384615385,3_50290087_50289446_R_ENST00000462001_1,IR
22:50284167-50284213,PLXNB2,22:50284214-50283832,IR,2,2,-,ENST00000434732,53.44,0.00306347,0.00306347,31.25|27.2727272727273,80.5555555555556|84.8484848484848,22_50284214_50283832_R_ENST00000434732_1,IR
X:48575168-48576068,RBM3,X:48575284-48575560,IR,2,2,-,ENST00000491240,51.93,0.00155389,0.00155389,21.0526315789474|18.1818181818182,70.3703703703704|72.7272727272727,X_48575284_48575560_R_ENST00000491240_1,IR
11:10804364-10804418,EIF4G2,11:10804539-10804136,IR,2,2,-,ENST00000525972,51.56,0.00534936,0.00534936,15.5555555555556|20,70.7547169811321|67.9245283018868,11_10804539_10804136_R_ENST00000525972_1,IR
2:215312091-215312624,ATIC,2:215312344-215312497,IR,2,2,-,ENST00000435675,51.51,0.0016278,0.0016278,34.7826086956522|36.3636363636364,86.6666666666667|87.5,2_215312344_215312497_R_ENST00000435675_1,IR
2:215312091-215312624,ATIC,2:215312162-215312497,IR,2,2,-,ENST00000435675,51.51,0.0016278,0.0016278,34.7826086956522|36.3636363636364,86.6666666666667|87.5,2_215312162_215312497_R_ENST00000435675_1,IR
17:38057693-38058576,TBC1D3C,17:38059711-38057692,IR,2,2,-,ENST00000622206,50.71,0.00785114,0.00785114,18.1818181818182|23.8095238095238,75|68.4210526315789,17_38059711_38057692_R_ENST00000622206_1,IR
11:10804364-10804418,EIF4G2,11:10804419-10804136,IR,2,2,-,ENST00000525972,49.48,0.00603763,0.00603763,19.1489361702128|20,70.1923076923077|67.9245283018868,11_10804419_10804136_R_ENST00000525972_1,IR
20:62325140-62325546,LAMA5,20:62326761-62325315,IR,2,2,-,ENST00000497363,49.24,0.0067839,0.0067839,31.25|27.2727272727273,81.25|75.7575757575758,20_62326761_62325315_R_ENST00000497363_1,IR
7:100574660-100575304,LRCH4,7:100575783-100574659,IR (overlapping region),2,2,-,ENST00000310300,48.93,0.00921586,0.00921586,35.7142857142857|32.1428571428571,85.7142857142857|80,7_100575783_100574659_R_ENST00000310300_1,IR
2:85542155-85542747,MAT2A,2:85542374-85542564,IR,2,2,-,ENST00000481412,48.58,0.00257739,0.00257739,51.6129032258064|51.219512195122,100|100,2_85542374_85542564_R_ENST00000481412_1,IR
5:179621347-179621397,HNRNPH1,5:179621398-179618144,IR,2,2,-,ENST00000503664,48.39,0.00801759,0.00801759,19.2513368983957|24.7058823529412,67.1957671957672|73.5449735449735,5_179621398_179618144_R_ENST00000503664_1,IR
15:60511294-60511621,RORA,15:60511622-60505605,IR (overlapping region),2,2,NMD,ENST00000551975,47.84,0.0056051,0.0056051,11.1111111111111|5.88235294117647,58.6206896551724|54.0540540540541,15_60511622_60505605_R_ENST00000551975_1,IR
8:98044433-98045088,RPL30,8:98045549-98044867,IR,2,2,-,ENST00000520998,47.49,3.61856e-06,3.61856e-06,8.9041095890411|8.8,56.4|56.2790697674419,8_98045549_98044867_R_ENST00000520998_1,IR
20:35630908-35631034,CPNE1,20:35631174-35630900,IR,2,2,-,ENST00000412056,47.12,0.00833025,0.00833025,50|43.75,91.4285714285714|96.551724137931,20_35631174_35630900_R_ENST00000412056_1,IR
17:64501876-64502069,DDX5,17:64502550-64501875,IR,2,2,-,ENST00000579461,46.95,0.00895818,0.00895818,41.6666666666667|46.875,94.4444444444444|88,17_64502550_64501875_R_ENST00000579461_1,IR
17:74772275-74772395,NAT9,17:74773040-74772030,IR,2,2,-,ENST00000577428,46.62,0.00201181,0.00201181,46.1538461538462|48.3870967741936,93.1818181818182|94.5945945945946,17_74773040_74772030_R_ENST00000577428_1,IR
19:18990888-18993740,SUGP2,19:18994487-18993637,IR,2,2,-,ENST00000452918,46.48,0.00754711,0.00754711,47.8260869565217|53.3333333333333,100|94.1176470588235,19_18994487_18993637_R_ENST00000452918_1,IR
15:40854378-40854689,SPINT1,15:40854523-40854638,IR,2,2,-,ENST00000566642,45.08,0.00545356,0.00545356,3.125|0,48.8372093023256|44.4444444444444,15_40854523_40854638_R_ENST00000566642_1,IR
11:3000929-3001248,CARS,11:3002601-3000929,IR,2,2,-,ENST00000278224,43.99,0.00642777,0.00642777,42.1052631578947|47.0588235294118,86.6666666666667|90.4761904761905,11_3002601_3000929_R_ENST00000278224_1,IR
11:3000929-3001248,CARS,11:3002601-3000928,IR,2,2,-,ENST00000278224,43.99,0.00642777,0.00642777,42.1052631578947|47.0588235294118,86.6666666666667|90.4761904761905,11_3002601_3000928_R_ENST00000278224_1,IR
17:7577827-7578244,EIF4A1,17:7577917-7578100,IR (overlapping region),2,2,-,ENST00000578324,43.94,0.0030143,0.0030143,37.125748502994|34.1269841269841,80.6060606060606|78.525641025641,17_7577917_7578100_R_ENST00000578324_1,IR
15:75338646-75339878,COMMD4,15:75338686-75338984,IR,2,2,-,ENST00000563220,43.44,0.000212084,0.000212084,15.3846153846154|14.5833333333333,58.1081081081081|58.7301587301587,15_75338686_75338984_R_ENST00000563220_1,IR
12:56160243-56160795,MYL6,12:56160321-56160625,IR,2,2,-,ENST00000536128,43.25,0.000707319,0.000707319,5.35055350553506|5.89101620029455,48.993288590604|48.75,12_56160321_56160625_R_ENST00000536128_1,IR
19:58555712-58556229,UBE2M,19:58556791-58556200,IR,2,2,-,ENST00000253023,42.82,0.00382291,0.00382291,50|46.6666666666667,92.3076923076923|90,19_58556791_58556200_R_ENST00000253023_1,IR
17:74772903-74773039,NAT9,17:74773040-74772482,IR,2,2,-,ENST00000578947,42.81,0.000603518,0.000603518,50|51.5151515151515,92.8571428571429|94.2857142857143,17_74773040_74772482_R_ENST00000578947_1,IR
17:7577827-7578244,EIF4A1,17:7577917-7578119,IR (overlapping region),2,2,-,ENST00000578324,42.74,0.00113173,0.00113173,38.5964912280702|36.6412213740458,81.3953488372093|79.320987654321,17_7577917_7578119_R_ENST00000578324_1,IR
1:35182932-35184593,SFPQ,1:35187123-35182931,IR,2,2,-,ENST00000357214,42.62,0.00988474,0.00988474,52.6315789473684|52.6315789473684,94.5945945945946|95.9183673469388,1_35187123_35182931_R_ENST00000357214_1,IR
11:67438076-67438501,CORO1B,11:67438950-67438047,IR,2,2,-,ENST00000341356,42.56,0.00910724,0.00910724,31.8181818181818|25.9259259259259,69.0476190476191|73.8095238095238,11_67438950_67438047_R_ENST00000341356_1,IR
11:72757771-72757884,STARD10,11:72758634-72757770,IR (overlapping region),2,2,-,ENST00000542989,42.51,0.00785515,0.00785515,18.1818181818182|16.6666666666667,61.5384615384615|58.3333333333333,11_72758634_72757770_R_ENST00000542989_1,IR
7:44569752-44570128,DDX56,7:44569904-44569129,IR,2,2,-,ENST00000473924,42.35,0.00978535,0.00978535,15.1515151515152|11.1111111111111,58.3333333333333|52.6315789473684,7_44569904_44569129_R_ENST00000473924_1,IR
5:181236937-181237042,RACK1,5:181237861-181236936,IR,2,2,-,ENST00000376817,41.31,0.00118931,0.00118931,18.6915887850467|20.7317073170732,61.9047619047619|60.1351351351351,5_181237861_181236936_R_ENST00000376817_1,IR
8:98044433-98045088,RPL30,8:98045400-98044826,IR,2,2,-,ENST00000520998,41.18,0.00657689,0.00657689,10.6666666666667|9.52380952380952,52.5490196078431|50,8_98045400_98044826_R_ENST00000520998_1,IR
3:98520719-98521442,CLDND1,3:98521443-98518734,IR (overlapping region),2,2,-,ENST00000502980,41.15,0.00317527,0.00317527,10.377358490566|7.01754385964912,48.2758620689655|51.4285714285714,3_98521443_98518734_R_ENST00000502980_1,IR
17:7577827-7578244,EIF4A1,17:7577917-7578164,IR (overlapping region),2,2,-,ENST00000578324,40.95,0.00965511,0.00965511,41.340782122905|43.1506849315069,85.0467289719626|81.3370473537605,17_7577917_7578164_R_ENST00000578324_1,IR
3:98520719-98521442,CLDND1,3:98521443-98518884,IR (overlapping region),2,2,-,ENST00000502980,40.82,0.000957182,0.000957182,10.377358490566|9.4017094017094,50|51.4285714285714,3_98521443_98518884_R_ENST00000502980_1,IR
1:173863901-173864075,GAS5,1:173865283-173863900,IR,2,2,-,ENST00000412059,40.58,0.00117994,0.00117994,45.4545454545455|43.4782608695652,85.8823529411765|84.2105263157895,1_173865283_173863900_R_ENST00000412059_1,IR
3:98520719-98521442,CLDND1,3:98521719-98521155,IR (overlapping region),2,2,-,ENST00000502980,40.45,0.00380888,0.00380888,20.1680672268908|16.5354330708661,57.1428571428571|60.4651162790698,3_98521719_98521155_R_ENST00000502980_1,IR
9:137452465-137452819,NSMF,9:137454444-137452735,IR,2,2,-,ENST00000371468,40.11,0.00725287,0.00725287,17.6470588235294|15.7894736842105,57.1428571428571|56.5217391304348,9_137454444_137452735_R_ENST00000371468_1,IR
17:74772275-74772395,NAT9,17:74773040-74772265,IR,2,2,-,ENST00000577428,40.05,0.00441397,0.00441397,53.3333333333333|54.2857142857143,92.8571428571429|94.8717948717949,17_74773040_74772265_R_ENST00000577428_1,IR
17:74772275-74772395,NAT9,17:74773040-74772174,IR,2,2,-,ENST00000577428,39.97,0.00588276,0.00588276,53.3333333333333|54.2857142857143,92.6829268292683|94.8717948717949,17_74773040_74772174_R_ENST00000577428_1,IR
7:45104209-45104256,TBRG4,7:45104257-45103332,IR,2,2,-,ENST00000478532,39.85,0.00515223,0.00515223,41.6666666666667|40,79.2207792207792|82.1428571428571,7_45104257_45103332_R_ENST00000478532_1,IR
17:7577569-7580327,AC016876.2,17:7577917-7578341,IR (overlapping region),2,2,-,ENST00000581621,39.78,0.00465947,0.00465947,35.9605911330049|32.3170731707317,71.9376391982183|75.8904109589041,17_7577917_7578341_R_ENST00000581621_1,IR
22:29298733-29299851,EWSR1,22:29299281-29299598,IR,2,2,-,ENST00000610553,39.43,0.0086782,0.0086782,15|11.4285714285714,51.7241379310345|53.5714285714286,22_29299281_29299598_R_ENST00000610553_1,IR
16:89300696-89300962,ANKRD11,16:89305345-89300235,IR,2,2,-,ENST00000563291,39.13,0.00938987,0.00938987,18.75|24.3243243243243,58.1818181818182|63.1578947368421,16_89305345_89300235_R_ENST00000563291_1,IR
10:78038556-78040701,RPS24,10:78040226-78040614,IR,2,2,-,ENST00000480662,38.93,0.00516216,0.00516216,24.2424242424242|27.906976744186,63.7096774193548|66.304347826087,10_78040226_78040614_R_ENST00000480662_1,IR
17:74772275-74772395,NAT9,17:74773040-74772237,IR,2,2,-,ENST00000577428,38.6,0.00133055,0.00133055,56.25|54.2857142857143,92.8571428571429|94.8717948717949,17_74773040_74772237_R_ENST00000577428_1,IR
15:75338646-75339878,COMMD4,15:75338686-75339036,IR,2,2,-,ENST00000563220,38.24,0.00712056,0.00712056,13.1578947368421|16.3265306122449,50.7936507936508|55.1724137931034,15_75338686_75339036_R_ENST00000563220_1,IR
6:31668539-31669508,CSNK2B,6:31669173-31669318,IR (overlapping region),2,2,-,ENST00000468255,37.64,0.00789004,0.00789004,34.4827586206897|30.5555555555556,67.741935483871|72.5806451612903,6_31669173_31669318_R_ENST00000468255_1,IR
7:72948328-72951440,POM121,7:72952296-72950057,IR,2,2,-,ENST00000395270,37.63,0.00177401,0.00177401,34.6153846153846|32.3529411764706,70|72.2222222222222,7_72952296_72950057_R_ENST00000395270_1,IR
22:19176667-19176693,SLC25A1,22:19176951-19176577,IR,2,2,-,ENST00000461267,37.43,0.00187418,0.00187418,16.6666666666667|15,52.1739130434783|54.3478260869565,22_19176951_19176577_R_ENST00000461267_1,IR
15:60511294-60511621,RORA,15:60511622-60505507,IR (overlapping region),2,2,NMD,ENST00000551975,37.35,0.00717265,0.00717265,4|0,41.6666666666667|37.037037037037,15_60511622_60505507_R_ENST00000551975_1,IR
14:24145741-24145911,PSME2,14:24146241-24145709,IR,2,2,-,ENST00000559613,37.3,0.00979029,0.00979029,28.5714285714286|24.3243243243243,62.5|65,14_24146241_24145709_R_ENST00000559613_1,IR
15:75338646-75339878,COMMD4,15:75338686-75339263,IR,2,2,-,ENST00000563220,37.02,0.00595933,0.00595933,15.3846153846154|18,53.030303030303|54.3859649122807,15_75338686_75339263_R_ENST00000563220_1,IR
