Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
8:93729356-93736438	RBM12B	8:93737356-93736162	IR	2	2	-	ENST00000399300	98.85	7.40222e-03	7.40222e-03	0|0	97.7011494252874|100	8_93737356_93736162_R_ENST00000399300_1
8:93740121-93740773	RBM12B-AS1	8:93740697-93737306	IR (overlapping region)	2	2	-	ENST00000623283	97.23	6.20105e-03	6.20105e-03	0|1.92307692307692	98.2300884955752|98.1481481481482	8_93740697_93737306_R_ENST00000623283_1
8:93740121-93740773	RBM12B-AS1	8:93740990-93737306	IR	2	2	-	ENST00000623283	97.10	2.23355e-03	2.23355e-03	0|3.77358490566038	97.979797979798|100	8_93740990_93737306_R_ENST00000623283_1
8:93740121-93740773	RBM12B-AS1	8:93741018-93737306	IR	2	2	-	ENST00000623283	97.09	2.17424e-03	2.17424e-03	0|3.77358490566038	97.9591836734694|100	8_93741018_93737306_R_ENST00000623283_1
9:129641083-129641282	AL590369.1	9:129642170-129640540	IR	2	2	-	ENST00000455074	96.67	2.19437e-02	2.19437e-02	0|0	100|93.3333333333333	9_129642170_129640540_R_ENST00000455074_1
9:129641083-129641282	AL590369.1	9:129642166-129640540	IR	2	2	-	ENST00000455074	96.67	2.19437e-02	2.19437e-02	0|0	100|93.3333333333333	9_129642166_129640540_R_ENST00000455074_1
9:129641083-129641282	AL590369.1	9:129642125-129640540	IR	2	2	-	ENST00000455074	96.32	2.42867e-02	2.42867e-02	0|0	100|92.6470588235294	9_129642125_129640540_R_ENST00000455074_1
8:93729356-93736438	RBM12B	8:93737356-93735962	IR	2	2	-	ENST00000399300	96.12	3.43209e-04	3.43209e-04	1.5625|3.7037037037037	97.5|100	8_93737356_93735962_R_ENST00000399300_1
8:93729356-93736438	RBM12B	8:93737356-93736043	IR	2	2	-	ENST00000399300	96.03	4.28723e-04	4.28723e-04	1.5625|3.7037037037037	97.3333333333333|100	8_93737356_93736043_R_ENST00000399300_1
8:93740121-93740773	RBM12B-AS1	8:93740719-93737306	IR (overlapping region)	2	2	-	ENST00000623283	95.27	6.44725e-03	6.44725e-03	3.50877192982456|3.77358490566038	97.8260869565217|100	8_93740719_93737306_R_ENST00000623283_1
19:55576770-55579641	ZNF579	19:55580846-55579593	IR	2	2	-	ENST00000325421	92.53	5.02927e-03	5.02927e-03	0|6.25	100|91.304347826087	19_55580846_55579593_R_ENST00000325421_1
8:93729356-93736438	RBM12B	8:93741002-93735980	IR	2	2	-	ENST00000399300	92.22	1.14749e-02	1.14749e-02	9.83606557377049|3.7037037037037	97.979797979798|100	8_93741002_93735980_R_ENST00000399300_1
