Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
7:128748805-128758870,CALU,7:128754262-128754455,MXS,2,2,-,ENST00000249364,42.73,0.00328311,0.00328311,41.025641025641|44.2307692307692,87.1428571428571|83.5820895522388,7_128748805_128758870_W_ENST00000249364_1,Exon Skipping
1:111449874-111456085,ATP5PB,1:111454211-111454356,SES,2,2,-,ENST00000369722,36.03,0.00237719,0.00237719,60|57.5757575757576,96.078431372549|93.5483870967742,1_111449874_111456085_W_ENST00000369722_1,Exon Skipping
19:49447710-49447908,PIH1D1,19:49448042-49447826,IR,2,2,-,ENST00000593900,23.31,0.00324368,0.00324368,26.6666666666667|28.5714285714286,50|51.8518518518518,19_49448042_49447826_R_ENST00000593900_1,IR
11:126409412-126413586,ST3GAL4,11:126413505-126413586,A3SS,2,2,-,Ex.ENST00000227495,-21.68,0.00661842,0.00661842,88|90.3225806451613,68.2926829268293|66.6666666666667,11_126409412_126413586_S_Ex.ENST00000227495_1,A3SS
2:241671312-241672631,ATG4B,2:241671442-241672190,IR,2,2,-,ENST00000482507,-22.45,0.00915214,0.00915214,93.3333333333333|94.4444444444444,72.5|70.3703703703704,2_241671442_241672190_R_ENST00000482507_1,IR
2:241671312-241672631,ATG4B,2:241671406-241672190,IR,2,2,-,ENST00000482507,-22.62,0.00959931,0.00959931,93.3333333333333|93.3333333333333,71.0526315789474|70.3703703703704,2_241671406_241672190_R_ENST00000482507_1,IR
21:39347336-39347952,HMGN1,21:39347484-39347246,IR,2,2,-,ENST00000479586,-23.77,0.00901345,0.00901345,68.1818181818182|71.4285714285714,47.6190476190476|44.4444444444444,21_39347484_39347246_R_ENST00000479586_1,IR
11:62789060-62789679,TMEM179B,11:62789211-62789291,IR (overlapping region),2,2,-,ENST00000532345,-24.55,0.00908698,0.00908698,44|46.6666666666667,20|21.5686274509804,11_62789211_62789291_R_ENST00000532345_1,IR
2:85541083-85541454,MAT2A,2:85541161-85541254,IR,2,2,-,ENST00000465151,-31.11,0.00879813,0.00879813,38.8888888888889|37.5,6.89655172413793|7.27272727272727,2_85541161_85541254_R_ENST00000465151_1,IR
17:7313575-7313988,GPS2,17:7313989-7313379,IR (overlapping region),2,2,-,ENST00000571098,-34.61,0.00726151,0.00726151,100|100,65.7894736842105|65,17_7313989_7313379_R_ENST00000571098_1,IR
19:4360370-4361796,SH3GL1,19:4362386-4360370,IR,2,2,-,ENST00000269886,-37.59,0.00492006,0.00492006,69.5652173913043|73.3333333333333,35.7142857142857|32,19_4362386_4360370_R_ENST00000269886_1,IR
19:4360370-4361796,SH3GL1,19:4362386-4360369,IR,2,2,-,ENST00000269886,-37.59,0.00492006,0.00492006,69.5652173913043|73.3333333333333,35.7142857142857|32,19_4362386_4360369_R_ENST00000269886_1,IR
17:81511519-81511578,ACTG1,17:81512151-81511187,IR,2,2,-,ENST00000570382,-53.27,0.00518041,0.00518041,70.5128205128205|72.0930232558139,19.6363636363636|16.4383561643836,17_81512151_81511187_R_ENST00000570382_1,IR
17:81511519-81511578,ACTG1,17:81511804-81511187,IR,2,2,-,ENST00000570382,-53.27,0.00518041,0.00518041,70.5128205128205|72.0930232558139,19.6363636363636|16.4383561643836,17_81511804_81511187_R_ENST00000570382_1,IR
