Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
19:8402280-8403412,RAB11B,19:8402485-8402565,SES,2,2,-,ENST00000328024,62.91,0.00280491,0.00280491,36.5079365079365|33.3333333333333,95.6521739130435|100,19_8402280_8403412_W_ENST00000328024_1,Exon Skipping
11:67583845-67584133,GSTP1,11:67583845-67583848,A5SS,2,2,-,Ex.TSS.ENST00000398603,43.05,0.000396813,0.000396813,0|0,43.0769230769231|43.0232558139535,11_67583845_67584133_S_Ex.TSS.ENST00000398603_1,A5SS
11:67352459-67352802,POLD4,11:67353078-67352690,IR (overlapping region),2,2,-,ENST00000524743,42.81,0.00820248,0.00820248,34.375|30,72.2222222222222|77.7777777777778,11_67353078_67352690_R_ENST00000524743_1,IR
7:128476729-128477173,METTL2B,7:128476876-128477081,IR (overlapping region),2,2,-,ENST00000482555,37.05,0.00835846,0.00835846,20.7792207792208|18.9189189189189,58.6206896551724|55.1724137931034,7_128476876_128477081_R_ENST00000482555_1,IR
1:26285460-26285541,UBXN11,1:26285542-26284141,IR,2,2,-,ENST00000374215,34.12,0.00962787,0.00962787,54.8387096774194|50,84.6153846153846|88.4615384615385,1_26285542_26284141_R_ENST00000374215_1,IR
18:3247775-3253232,MYL12A,18:3247775-3247909,A5SS,2,2,-,Ex.TSS.ENST00000217652,32.41,0.00741385,0.00741385,17.2413793103448|13.8888888888889,45.945945945946|50,18_3247775_3253232_S_Ex.TSS.ENST00000217652_1,A5SS
18:3247588-3253232,MYL12A,18:3247588-3247909,TSS|A5SS,2,2,-,TSS.ENST00000217652,32.41,0.00741385,0.00741385,17.2413793103448|13.8888888888889,45.945945945946|50,18_3247588_3253232_S_TSS.ENST00000217652_1,A5SS
19:49663421-49663514,IRF3,19:49665756-49663342,IR (overlapping region),2,2,-,ENST00000597180,27.17,0.00581372,0.00581372,22.5806451612903|23.0769230769231,50|50,19_49665756_49663342_R_ENST00000597180_1,IR
19:49663421-49663514,IRF3,19:49665785-49663342,IR (overlapping region),2,2,-,ENST00000597180,27.05,0.00306452,0.00306452,25|23.0769230769231,52.1739130434783|50,19_49665785_49663342_R_ENST00000597180_1,IR
9:133350053-133351001,RPL7A,9:133350597-133350727,MES,2,2,-,ENST00000315731,26.63,0.0085527,0.0085527,73.7313432835821|73.015873015873,100|100,9_133350053_133351001_W_ENST00000315731_2,Exon Skipping
