Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
3:23917174-23917946,RPL15,3:23917174-23917849,A5SS,2,2,-,Ex.TSS.ENST00000436146,51.31,0.00414338,0.00414338,0|0,50.9803921568627|51.6483516483517,3_23917174_23917946_S_Ex.TSS.ENST00000436146_1,A5SS
X:154487306-154489082,SLC10A3,X:154490359-154488583,IR,2,2,-,ENST00000263512,49.24,0.00559067,0.00559067,34.6153846153846|33.3333333333333,84.6153846153846|81.8181818181818,X_154490359_154488583_R_ENST00000263512_1,IR
19:1438581-1438810,RPS15,19:1438807-1438810,A3SS,2,2,-,Ex.TSS.ENST00000593052,37.29,0.0090112,0.0090112,62.1794871794872|63.2352941176471,100|100,19_1438581_1438810_S_Ex.TSS.ENST00000593052_1,A3SS
19:1438429-1438810,RPS15,19:1438807-1438810,TSS|A3SS,2,2,-,TSS.ENST00000585665,37.0,0.0013033,0.0013033,62.1794871794872|63.2352941176471,99.4219653179191|100,19_1438429_1438810_S_TSS.ENST00000585665_1,A3SS
14:20455240-20456101,APEX1,14:20455402-20455577,IR,2,2,-,ENST00000557159,36.71,0.00876318,0.00876318,43.4782608695652|42.3076923076923,80.9523809523809|78.2608695652174,14_20455402_20455577_R_ENST00000557159_1,IR
14:20455240-20456101,APEX1,14:20455395-20455577,IR,2,2,-,ENST00000557159,36.69,0.000727557,0.000727557,43.4782608695652|42.3076923076923,80|79.1666666666667,14_20455395_20455577_R_ENST00000557159_1,IR
11:75569172-75571780,SERPINH1,11:75569172-75569700,A5SS,2,2,-,Ex.TSS.ENST00000358171,33.07,0.00246048,0.00246048,0|0,33.1932773109244|32.9376854599407,11_75569172_75571780_S_Ex.TSS.ENST00000358171_1,A5SS
19:10115737-10115820,EIF3G,19:10116075-10115478,IR,2,2,-,ENST00000587146,27.1,0.00413833,0.00413833,20.5479452054795|23.0769230769231,50|47.8260869565217,19_10116075_10115478_R_ENST00000587146_1,IR
17:42998472-42998748,RPL27,17:42998472-42998532,A5SS,2,2,-,Ex.TSS.ENST00000253788,24.96,0.000603738,0.000603738,0|0,24.9883882954018|24.9410377358491,17_42998472_42998748_S_Ex.TSS.ENST00000253788_1,A5SS
17:42998416-42998748,RPL27,17:42998416-42998532,A5SS,2,2,-,Ex.TSS.ENST00000589037,24.96,0.000603738,0.000603738,0|0,24.9883882954018|24.9410377358491,17_42998416_42998748_S_Ex.TSS.ENST00000589037_1,A5SS
12:45919131-45922194,SCAF11,12:45922583-45921408,IR,2,2,-,ENST00000369367,22.32,0.00451279,0.00451279,72.972972972973|75,97.0588235294118|95.5555555555556,12_45922583_45921408_R_ENST00000369367_1,IR
20:62303050-62303567,ADRM1,20:62303050-62303147,A5SS,2,2,-,Ex.TSS.ENST00000253003,21.15,0.00105724,0.00105724,24.4215938303342|25,46.2745098039216|45.4545454545455,20_62303050_62303567_S_Ex.TSS.ENST00000253003_1,A5SS
17:44345265-44345605,GRN,17:44345335-44345565,IR,2,2,-,ENST00000587109,20.98,0.00700525,0.00700525,18.6440677966102|17.2413793103448,37.8378378378378|40,17_44345335_44345565_R_ENST00000587109_1,IR
17:44345265-44345605,GRN,17:44345335-44345530,IR,2,2,-,ENST00000587109,20.98,0.00700525,0.00700525,18.6440677966102|17.2413793103448,37.8378378378378|40,17_44345335_44345530_R_ENST00000587109_1,IR
