Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
12:96011295-96011865,LTA4H,12:96011866-96009093,IR,2,2,-,ENST00000547982,76.65,0.00350294,0.00350294,9.09090909090909|14.2857142857143,86.6666666666667|90,12_96011866_96009093_R_ENST00000547982_1,IR
7:99326005-99333324,ARPC1A,7:99326005-99332698,A5SS,2,2,-,Ex.TSS.ENST00000262942,49.36,0.00826732,0.00826732,0|0,50|48.7179487179487,7_99326005_99333324_S_Ex.TSS.ENST00000262942_1,A5SS
19:36114191-36114251,POLR2I,19:36114714-36114176,IR (overlapping region),2,2,-,ENST00000589069,48.58,0.00571595,0.00571595,20.4545454545455|25.4237288135593,69.6969696969697|73.3333333333333,19_36114714_36114176_R_ENST00000589069_1,IR
19:16076698-16081912,TPM4,19:16081441-16081913,A3SS,2,2,-,Ex.TSS.ENST00000300933,44.39,0.00556546,0.00556546,0|0,44.7761194029851|44,19_16076698_16081912_S_Ex.TSS.ENST00000300933_2,A3SS
1:1663782-1666019,SLC35E2B,1:1668473-1659528,IR,2,2,-,ENST00000480991,35.52,0.000391028,0.000391028,2.97029702970297|1.96078431372549,37.5|38.4615384615385,1_1668473_1659528_R_ENST00000480991_1,IR
4:15686236-15689101,FAM200B,4:15687149-15688550,IR,2,2,-,ENST00000422728,31.29,0.00730998,0.00730998,30.4347826086957|30.7692307692308,62.5|61.2903225806452,4_15687149_15688550_R_ENST00000422728_1,IR
19:1091501-1091907,POLR2E,19:1094079-1091500,IR,2,2,-,ENST00000591709,30.24,0.00572543,0.00572543,0|2.85714285714286,33.3333333333333|30,19_1094079_1091500_R_ENST00000591709_1,IR
6:43522330-43524005,XPO5,6:43524636-43522329,IR (overlapping region),2,2,-,ENST00000265351,29.8,0.00134818,0.00134818,60|60.8695652173913,90.4761904761905|90,6_43524636_43522329_R_ENST00000265351_1,IR
11:838133-838835,CD151,11:840481-837355,IR,2,2,-,ENST00000322008,27.98,0.00883194,0.00883194,8.92857142857143|12.7659574468085,37.037037037037|40.625,11_840481_837355_R_ENST00000322008_1,IR
6:43778889-43786484,VEGFA,6:43780804-43781955,IR,2,2,-,ENST00000480614,26.45,0.00185204,0.00185204,19.2307692307692|20,46.6666666666667|45.4545454545455,6_43780804_43781955_R_ENST00000480614_1,IR
20:2873761-2964271,PTPRA,20:2882475-2964272,A3SS,2,2,-,Ex.TSS.ENST00000455631,23.04,0.00493494,0.00493494,0|0,23.2142857142857|22.8571428571429,20_2873761_2964271_S_Ex.TSS.ENST00000455631_1,A3SS
20:2873761-2947981,PTPRA,20:2882475-2947982,A3SS,2,2,-,Ex.TSS.ENST00000431048,23.04,0.00493494,0.00493494,0|0,23.2142857142857|22.8571428571429,20_2873761_2947981_S_Ex.TSS.ENST00000431048_1,A3SS
20:2873761-2923206,PTPRA,20:2882475-2923207,A3SS,2,2,-,Ex.TSS.ENST00000216877,23.04,0.00493494,0.00493494,0|0,23.2142857142857|22.8571428571429,20_2873761_2923206_S_Ex.TSS.ENST00000216877_1,A3SS
16:67277510-67280806,PLEKHG4,16:67278791-67279875,IR,2,2,NMD,ENST00000563969,22.58,0.00774438,0.00774438,70|70,92.3076923076923|92.8571428571429,16_67278791_67279875_R_ENST00000563969_1,IR
9:133348389-133348921,RPL7A,9:133348389-133348408,A5SS,2,2,-,Ex.TSS.ENST00000468019,20.52,4.03393e-05,4.03393e-05,0|0,20.52523747439|20.5226364846871,9_133348389_133348921_S_Ex.TSS.ENST00000468019_1,A5SS
9:133348247-133348921,RPL7A,9:133348247-133348408,A5SS,2,2,-,Ex.TSS.ENST00000323345,20.52,4.03393e-05,4.03393e-05,0|0,20.52523747439|20.5226364846871,9_133348247_133348921_S_Ex.TSS.ENST00000323345_2,A5SS
21:45468787-45473894,COL18A1,21:45468787-45471645,A5SS,2,2,-,Ex.ENST00000355480,20.51,0.00544106,0.00544106,0|0,20.6896551724138|20.3389830508475,21_45468787_45473894_S_Ex.ENST00000355480_1,A5SS
2:55416923-55418951,CCDC88A,2:55419316-55418815,IR,2,2,-,ENST00000642514,-20.95,0.00343472,0.00343472,100|98.2142857142857,77.3584905660377|78.9473684210526,2_55419316_55418815_R_ENST00000642514_1,IR
17:7586778-7587160,MPDU1,17:7586899-7587160,A3SS,2,2,-,ENST00000572836,-21.24,0.00563366,0.00563366,100|100,78.5714285714286|78.9473684210526,17_7586778_7587160_S_ENST00000572836_1,A3SS
2:55416923-55418951,CCDC88A,2:55419277-55418815,IR,2,2,-,ENST00000642514,-23.79,0.00569158,0.00569158,100|97.9591836734694,73.9130434782609|76.4705882352941,2_55419277_55418815_R_ENST00000642514_1,IR
2:20200797-20202935,SDC1,2:20204292-20201485,IR,2,2,-,ENST00000254351,-25.86,0.00437476,0.00437476,42.8571428571429|40.9090909090909,17.2413793103448|14.8148148148148,2_20204292_20201485_R_ENST00000254351_1,IR
7:102595302-102595369,RASA4,7:102595370-102594049,IR (overlapping region),2,2,NMD,ENST00000519539,-26.52,0.00363779,0.00363779,40|40,13.6363636363636|13.3333333333333,7_102595370_102594049_R_ENST00000519539_1,IR
19:1271468-1271980,CIRBP,19:1271468-1271632,A5SS,2,2,-,Ex.TSS.ENST00000593283,-33.85,0.00979338,0.00979338,100|100,65.625|66.6666666666667,19_1271468_1271980_S_Ex.TSS.ENST00000593283_1,A5SS
17:75778072-75779772,H3F3B,17:75779287-75778809,IR,2,2,-,ENST00000586518,-36.71,0.00641876,0.00641876,62.0689655172414|65.625,29.2682926829268|25,17_75779287_75778809_R_ENST00000586518_1,IR
19:49496472-49497519,RPS11,19:49497194-49497519,TSS|A3SS,2,2,-,TSS.ENST00000599167,-36.83,0.00188582,0.00188582,100|100,63.28125|63.0630630630631,19_49496472_49497519_S_TSS.ENST00000599167_1,A3SS
19:12938771-12939175,CALR,19:12939134-12939175,A3SS,2,2,-,Ex.TSS.ENST00000316448,-39.99,0.00943848,0.00943848,100|100,60.6060606060606|59.4202898550725,19_12938771_12939175_S_Ex.TSS.ENST00000316448_1,A3SS
7:99403317-99403505,PDAP1,7:99404943-99403316,IR,2,2,-,ENST00000488214,-42.15,0.00254632,0.00254632,47.3684210526316|50,8.06451612903226|5,7_99404943_99403316_R_ENST00000488214_1,IR
19:1271468-1271980,CIRBP,19:1271551-1271632,SES,2,2,-,ENST00000320936,-44.86,0.00049931,0.00049931,100|100,55.1020408163265|55.1724137931034,19_1271468_1271980_W_ENST00000320936_1,Exon Skipping
