Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
17:44350341-44351549	GRN	17:44351037-44351163	MES	2	2	-	ENST00000053867	88.20	1.05082e-03	1.05082e-03	8.69565217391304|12.280701754386	97.3684210526316|100	17_44350341_44351549_W_ENST00000053867_3
1:151399981-151401906	PSMB4	1:151400589-151400763	IR	2	2	-	ENST00000476467	71.35	1.87590e-03	1.87590e-03	18.9655172413793|14.5348837209302	86.2068965517241|90	1_151400589_151400763_R_ENST00000476467_1
1:120832984-120840349	NBPF26	1:120838051-120838102	MES	2	2	-	ENST00000609741	66.60	2.02429e-01	2.02429e-01	55.3191489361702|11.4754098360656	100|100	1_120832984_120840349_W_ENST00000609741_6
19:36142967-36149577	CAPNS1	19:36143064-36143128	MES	2	2	-	ENST00000246533	66.31	1.08473e-01	1.08473e-01	42.7083333333333|11.3350125944584	100|86.6666666666667	19_36142967_36149577_W_ENST00000246533_1
21:44324856-44326060	PFKL	21:44325265-44325731	IR	2	2	-	ENST00000474114	64.94	7.60308e-02	7.60308e-02	42.8571428571429|27.2727272727273	100|100	21_44325265_44325731_R_ENST00000474114_1
1:183140504-183142538	LAMC1	1:183142534-183142538	A3SS	2	2	-	Ex.TSS.ENST00000258341	64.01	6.71158e-02	6.71158e-02	20|0	70.1030927835051|77.9220779220779	1_183140504_183142538_S_Ex.TSS.ENST00000258341_1
1:120832984-120840349	NBPF26	1:120837169-120837341	MES	2	2	-	ENST00000609741	60.25	1.07243e-01	1.07243e-01	50|29.5081967213115	100|100	1_120832984_120840349_W_ENST00000609741_5
11:65865115-65865644	MUS81	11:65865146-65865219	IR	2	2	-	ENST00000529786	60.14	1.36614e-01	1.36614e-01	16.6666666666667|50	100|86.9565217391304	11_65865146_65865219_R_ENST00000529786_1
5:177487897-177488248	PDLIM7	5:177488249-177484069	IR	2	2	-	ENST00000393551	59.47	3.04809e-02	3.04809e-02	25|11.7647058823529	85.7142857142857|70	5_177488249_177484069_R_ENST00000393551_1
17:47971122-47971407	CDK5RAP3	17:47971153-47971273	IR (overlapping region)	2	2	-	ENST00000578018	59.03	1.83059e-01	1.83059e-01	44.4444444444444|0	100|62.5	17_47971153_47971273_R_ENST00000578018_1
19:7646249-7647872	STXBP2	19:7647248-7647724	IR	2	2	-	ENST00000595800	58.65	9.37716e-03	9.37716e-03	40|37.1428571428571	94.4444444444444|100	19_7647248_7647724_R_ENST00000595800_1
19:58549645-58549860	TRIM28	19:58549651-58549736	IR	2	2	-	ENST00000598355	57.13	4.48772e-02	4.48772e-02	27.7777777777778|15.3846153846154	76.4705882352941|80.9523809523809	19_58549651_58549736_R_ENST00000598355_1
17:47971122-47971407	CDK5RAP3	17:47971153-47971361	IR (overlapping region)	2	2	-	ENST00000578018	54.66	1.62584e-01	1.62584e-01	43.1818181818182|10	100|62.5	17_47971153_47971361_R_ENST00000578018_1
5:139316189-139321897	MATR3	5:139317053-139317105	MES	2	2	-	ENST00000361059	54.22	1.78350e-01	1.78350e-01	21.2121212121212|29.6296296296296	96.7741935483871|62.5	5_139316189_139321897_W_ENST00000361059_1
17:44350341-44351549	GRN	17:44350691-44350800	MES	2	2	-	ENST00000053867	54.21	2.20218e-01	2.20218e-01	8.69565217391304|35.0877192982456	100|52.212389380531	17_44350341_44351549_W_ENST00000053867_2
17:16348692-16348801	PIGL	17:16350030-16348615	IR (overlapping region)	2	2	-	ENST00000581006	54.21	2.35915e-01	2.35915e-01	63.6363636363636|19.6078431372549	100|91.6666666666667	17_16350030_16348615_R_ENST00000581006_1
17:47971122-47971407	CDK5RAP3	17:47971172-47971361	IR (overlapping region)	2	2	-	ENST00000578018	54.03	1.68766e-01	1.68766e-01	44.4444444444444|10	100|62.5	17_47971172_47971361_R_ENST00000578018_1
15:43801518-43803043	HYPK	15:43801570-43801710	IR (overlapping region)	2	2	-	ENST00000458412	53.44	2.89827e-01	2.89827e-01	6.89655172413793|5.26315789473684	33.3333333333333|85.7142857142857	15_43801570_43801710_R_ENST00000458412_1
17:7626782-7626793	SAT2	17:7627045-7626781	IR (overlapping region)	2	2	-	ENST00000572224	52.45	2.86022e-02	2.86022e-02	44|31.25	85.7142857142857|94.4444444444444	17_7627045_7626781_R_ENST00000572224_1
