Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
1:92837634-92840556	RPL5	1:92840551-92840556	A3SS	2	2	-	Ex.ENST00000370321	73.18	1.14692e-01	1.14692e-01	13.3333333333333|13.6363636363636	100|73.3333333333333	1_92837634_92840556_S_Ex.ENST00000370321_1
11:756003-760121	TALDO1	11:759009-759057	SES	2	2	NMD	ENST00000528070	71.42	8.28744e-02	8.28744e-02	19.2307692307692|37.9310344827586	100|100	11_756003_760121_W_ENST00000528070_1
22:50504834-50504984	LMF2	22:50505154-50504801	IR	2	2	-	ENST00000514938	66.10	9.55681e-02	9.55681e-02	24|23.8095238095238	100|80	22_50505154_50504801_R_ENST00000514938_1
20:37198493-37207272	RPN2	20:37204767-37204901	MES	2	2	-	ENST00000237530	51.32	1.01179e-01	1.01179e-01	41.304347826087|38.2978723404255	100|82.2429906542056	20_37198493_37207272_W_ENST00000237530_3
1:155318169-155318663	FDPS	1:155319954-155318264	IR (overlapping region)	2	2	-	ENST00000461507	46.99	2.91611e-01	2.91611e-01	1.61290322580645|3.44827586206897	72.7272727272727|26.3157894736842	1_155319954_155318264_R_ENST00000461507_1
1:119737267-119743885	PHGDH	1:119741767-119741897	MES	2	2	-	ENST00000369407	46.68	4.93629e-01	4.93629e-01	6.34920634920635|8.7719298245614	8.47457627118644|100	1_119737267_119743885_W_ENST00000369407_2
1:119737267-119743885	PHGDH	1:119742807-119743044	MES	2	2	-	ENST00000369407	46.48	4.87534e-01	4.87534e-01	3.17460317460317|14.0350877192982	10.1694915254237|100	1_119737267_119743885_W_ENST00000369407_3
10:28522652-28524611	WAC-AS1	10:28526009-28522684	IR	2	2	-	ENST00000527986	45.83	4.36549e-01	4.36549e-01	91.6666666666667|16.6666666666667	100|100	10_28526009_28522684_R_ENST00000527986_1
19:49682066-49684753	PRMT1	19:49682196-49682259	MES	2	2	-	ENST00000391851	45.69	1.08291e-01	1.08291e-01	41.3461538461538|44.047619047619	96.7741935483871|80	19_49682066_49684753_W_ENST00000391851_1
3:37174119-37174605	LRRFIP2	3:37174606-37170332	IR	2	2	-	ENST00000483306	43.50	2.32195e-01	2.32195e-01	20.6896551724138|26.9230769230769	84.6153846153846|50	3_37174606_37170332_R_ENST00000483306_1
7:128748805-128758870	CALU	7:128754262-128754455	MXS	2	2	-	ENST00000249364	42.73	3.28311e-03	3.28311e-03	41.025641025641|44.2307692307692	87.1428571428571|83.5820895522388	7_128748805_128758870_W_ENST00000249364_1
12:31101983-31103806	DDX11	12:31102427-31102527	MES	2	2	-	ENST00000228264	41.95	3.65617e-01	3.65617e-01	7.69230769230769|62.962962962963	100|54.5454545454545	12_31101983_31103806_W_ENST00000228264_2
22:30240447-30244061	LIF	22:30244934-30240446	IR	2	2	-	ENST00000249075	41.87	2.15134e-02	2.15134e-02	41.9354838709677|33.3333333333333	84|75	22_30244934_30240446_R_ENST00000249075_1
4:82354847-82355401	HNRNPD	4:82355402-82354894	IR	2	2	-	ENST00000508119	41.84	2.53735e-02	2.53735e-02	17.8571428571429|13.3333333333333	53.3333333333333|61.5384615384615	4_82355402_82354894_R_ENST00000508119_1
