Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
3:50320347-50320535	HYAL2	3:50321774-50320259	IR (overlapping region)	2	2	-	ENST00000415028	53.94	1.45272e-01	1.45272e-01	45.4545454545455|13.3333333333333	100|66.6666666666667	3_50321774_50320259_R_ENST00000415028_1
20:45416344-45420331	PIGT	20:45419295-45419395	MES	2	2	-	ENST00000279035	52.50	5.55842e-02	5.55842e-02	8|25.7142857142857	60|78.7234042553192	20_45416344_45420331_W_ENST00000279035_1
19:571277-571579	BSG	19:571737-571439	IR (overlapping region)	2	2	-	ENST00000545507	52.38	1.55254e-01	1.55254e-01	8.33333333333333|0	71.4285714285714|41.6666666666667	19_571737_571439_R_ENST00000545507_1
19:571277-571579	BSG	19:571735-571439	IR (overlapping region)	2	2	-	ENST00000545507	52.38	1.55254e-01	1.55254e-01	8.33333333333333|0	71.4285714285714|41.6666666666667	19_571735_571439_R_ENST00000545507_1
3:23917174-23917946	RPL15	3:23917174-23917849	A5SS	2	2	-	Ex.TSS.ENST00000436146	51.31	4.14338e-03	4.14338e-03	0|0	50.9803921568627|51.6483516483517	3_23917174_23917946_S_Ex.TSS.ENST00000436146_1
20:45419396-45419507	PIGT	20:45419504-45419507	A3SS	2	2	-	ENST00000279035	50.35	1.57541e-01	1.57541e-01	18.1818181818182|44.4444444444444	80|83.3333333333333	20_45419396_45419507_S_ENST00000279035_1
1:173481483-173485425	PRDX6	1:173485361-173485425	A3SS	2	2	-	Ex.ENST00000340385	49.63	1.06376e-02	1.06376e-02	51.2|49.5412844036697	100|100	1_173481483_173485425_S_Ex.ENST00000340385_1
X:154487306-154489082	SLC10A3	X:154490359-154488583	IR	2	2	-	ENST00000263512	49.24	5.59067e-03	5.59067e-03	34.6153846153846|33.3333333333333	84.6153846153846|81.8181818181818	X_154490359_154488583_R_ENST00000263512_1
2:3575889-3576558	RPS7	2:3576487-3576558	A3SS	2	2	-	ENST00000304921	48.74	2.50256e-01	2.50256e-01	27.027027027027|21.6101694915254	93.6974789915966|52.4210526315789	2_3575889_3576558_S_ENST00000304921_1
17:82449901-82450254	CYBC1	17:82450709-82449169	IR	2	2	-	ENST00000582456	48.55	9.35103e-02	9.35103e-02	34.6153846153846|10.6382978723404	81.25|61.1111111111111	17_82450709_82449169_R_ENST00000582456_1
7:44697604-44697782	OGDH	7:44697608-44697610	IR	2	2	-	ENST00000222673	48.30	6.56197e-02	6.56197e-02	21.4285714285714|40.9090909090909	71.4285714285714|87.5	7_44697608_44697610_R_ENST00000222673_1
2:74422352-74422869	WDR54	2:74422352-74422375	A5SS	2	2	-	Ex.ENST00000348227	47.35	1.13916e-01	1.13916e-01	35.2941176470588|30	70|90	2_74422352_74422869_S_Ex.ENST00000348227_1
2:74421817-74422869	WDR54	2:74421817-74422375	TSS|A5SS	2	2	-	TSS.ENST00000482880	47.35	1.13916e-01	1.13916e-01	35.2941176470588|30	70|90	2_74421817_74422869_S_TSS.ENST00000482880_1
19:38619318-38620336	EIF3K	19:38619318-38619327	TSS|A5SS	2	2	-	TSS.ENST00000248342	46.86	2.36765e-01	2.36765e-01	20|56.6037735849057	85.7142857142857|84.6153846153846	19_38619318_38620336_S_TSS.ENST00000248342_1
19:38619224-38620336	EIF3K	19:38619224-38619327	TSS|A5SS	2	2	-	TSS.ENST00000248342	46.86	2.36765e-01	2.36765e-01	20|56.6037735849057	85.7142857142857|84.6153846153846	19_38619224_38620336_S_TSS.ENST00000248342_1
17:82449901-82450254	CYBC1	17:82450724-82449169	IR	2	2	-	ENST00000582456	46.77	1.30042e-01	1.30042e-01	39.2857142857143|10.6382978723404	82.3529411764706|61.1111111111111	17_82450724_82449169_R_ENST00000582456_1
17:82449901-82450254	CYBC1	17:82450718-82449169	IR	2	2	-	ENST00000582456	46.77	1.30042e-01	1.30042e-01	39.2857142857143|10.6382978723404	82.3529411764706|61.1111111111111	17_82450718_82449169_R_ENST00000582456_1
X:119468627-119470095	SLC25A5	X:119469661-119470095	A3SS	2	2	-	Ex.TSS.ENST00000317881	46.75	4.64267e-01	4.64267e-01	17.1875|5.10204081632653	15.7894736842105|100	X_119468627_119470095_S_Ex.TSS.ENST00000317881_1
X:119468627-119469666	SLC25A5	X:119469661-119469666	A3SS	2	2	-	Ex.TSS.ENST00000317881	46.75	4.64267e-01	4.64267e-01	17.1875|5.10204081632653	15.7894736842105|100	X_119468627_119469666_S_Ex.TSS.ENST00000317881_1
1:120824147-120836516	NBPF26	1:120830416-120830588	MES	2	2	-	ENST00000609741	46.50	3.24405e-02	3.24405e-02	50.5494505494505|51.2605042016807	94.8051948051948|100	1_120824147_120836516_W_ENST00000609741_2
11:64288083-64288468	GPR137	11:64288215-64288339	IR	2	2	-	ENST00000545366	46.36	2.68426e-01	2.68426e-01	14.7058823529412|44.1860465116279	51.6129032258064|100	11_64288215_64288339_R_ENST00000545366_1
17:7575259-7578164	EIF4A1	17:7577827-7577916	MES	2	2	-	ENST00000293831	45.63	3.57941e-01	3.57941e-01	29.4765840220386|20.8860759493671	41.6267942583732|100	17_7575259_7578164_W_ENST00000293831_5
17:7575259-7578164	EIF4A1	17:7577569-7577706	MES	2	2	-	ENST00000293831	45.35	2.43634e-01	2.43634e-01	29.7520661157025|18.3544303797468	49.5215311004785|89.2857142857143	17_7575259_7578164_W_ENST00000293831_4
17:82449901-82450254	CYBC1	17:82450830-82449169	IR	2	2	-	ENST00000582456	43.95	1.80709e-01	1.80709e-01	48.4848484848485|16	84.2105263157895|68.1818181818182	17_82450830_82449169_R_ENST00000582456_1
17:82449432-82449956	CYBC1	17:82449727-82449169	IR	2	2	-	ENST00000583242	43.78	1.26653e-01	1.26653e-01	45.1612903225806|19.2307692307692	86.9565217391304|65	17_82449727_82449169_R_ENST00000583242_1
17:82449901-82450254	CYBC1	17:82450255-82449169	IR	2	2	-	ENST00000582456	43.67	9.14215e-02	9.14215e-02	43.3333333333333|22.2222222222222	83.3333333333333|69.5652173913043	17_82450255_82449169_R_ENST00000582456_1
3:51671255-51672301	TEX264	3:51671289-51672209	IR	2	2	-	ENST00000415259	43.48	1.28001e-01	1.28001e-01	37.5|62.5	86.9565217391304|100	3_51671289_51672209_R_ENST00000415259_1
X:154487306-154489082	SLC10A3	X:154490028-154487310	IR	2	2	-	ENST00000263512	43.47	1.58080e-02	1.58080e-02	37.037037037037|41.1764705882353	83.3333333333333|81.8181818181818	X_154490028_154487310_R_ENST00000263512_1
5:177304851-177306097	PRELID1	5:177305871-177306097	TSS|A3SS	2	2	-	TSS.ENST00000511309	43.27	4.04961e-01	4.04961e-01	27.906976744186|21.2765957446809	35.7142857142857|100	5_177304851_177306097_S_TSS.ENST00000511309_1
5:177304851-177305914	PRELID1	5:177305871-177305914	A3SS	2	2	-	ENST00000303204	43.27	4.04961e-01	4.04961e-01	27.906976744186|21.2765957446809	35.7142857142857|100	5_177304851_177305914_S_ENST00000303204_1
19:10115737-10115820	EIF3G	19:10115821-10115533	IR	2	2	-	ENST00000587146	43.03	1.09433e-01	1.09433e-01	20.5479452054795|36.1702127659575	72.4137931034483|70.3703703703704	19_10115821_10115533_R_ENST00000587146_1
