Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
19:19465615-19498442	GATAD2A	19:19492306-19492438	MES	2	2	-	ENST00000358713	76.90	1.11200e-01	1.11200e-01	36.6666666666667|9.52380952380952	100|100	19_19465615_19498442_W_ENST00000358713_1
12:130872618-130872835	RAN	12:130872618-130872629	A5SS	2	2	-	ENST00000392367	69.15	1.58006e-01	1.58006e-01	6.25|45.4545454545455	100|90	12_130872618_130872835_S_ENST00000392367_1
12:130872127-130872835	RAN	12:130872127-130872629	TSS|A5SS	2	2	-	TSS.ENST00000392369	69.15	1.58006e-01	1.58006e-01	6.25|45.4545454545455	100|90	12_130872127_130872835_S_TSS.ENST00000392369_1
19:8402280-8403412	RAB11B	19:8402485-8402565	SES	2	2	-	ENST00000328024	62.91	2.80491e-03	2.80491e-03	36.5079365079365|33.3333333333333	95.6521739130435|100	19_8402280_8403412_W_ENST00000328024_1
17:7221059-7223132	ACADVL	17:7221952-7222081	MES	2	2	NMD	ENST00000322910	62.41	8.20830e-02	8.20830e-02	13.265306122449|33.3333333333333	71.4285714285714|100	17_7221059_7223132_W_ENST00000322910_2
6:44247196-44250020	HSP90AB1	6:44248617-44248776	MES	2	2	-	ENST00000353801	55.76	6.13814e-02	6.13814e-02	38.8429752066116|49.6296296296296	100|100	6_44247196_44250020_W_ENST00000353801_1
6:44247196-44250020	HSP90AB1	6:44249377-44249583	MES	2	2	-	ENST00000353801	55.72	5.25473e-02	5.25473e-02	39.6694214876033|48.8888888888889	100|100	6_44247196_44250020_W_ENST00000353801_2
1:120832984-120840349	NBPF26	1:120838051-120838102	MES	2	2	-	ENST00000609741	51.07	7.09593e-02	7.09593e-02	53.8461538461538|35.8974358974359	91.8918918918919|100	1_120832984_120840349_W_ENST00000609741_6
19:10628005-10634755	SLC44A2	19:10631057-10631141	MES	2	2	-	ENST00000335757	49.59	3.04242e-02	3.04242e-02	42.6229508196721|52.9411764705882	100|94.7368421052632	19_10628005_10634755_W_ENST00000335757_1
4:673580-675854	MYL5	4:674339-673911	IR	2	2	-	ENST00000506838	48.56	2.41350e-01	2.41350e-01	33.3333333333333|14.2857142857143	50|94.7368421052632	4_674339_673911_R_ENST00000506838_1
1:207089238-207089589	C4BPB	1:207089362-207089481	IR	2	2	-	ENST00000243611	48.45	9.14272e-02	9.14272e-02	40|45.4545454545455	100|82.3529411764706	1_207089362_207089481_R_ENST00000243611_1
3:38126061-38126700	ACAA1	3:38126342-38125825	IR	2	2	NMD	ENST00000440176	48.32	8.61668e-02	8.61668e-02	45.1612903225806|25	88.2352941176471|78.5714285714286	3_38126342_38125825_R_ENST00000440176_1
1:151399981-151401906	PSMB4	1:151400589-151400763	IR	2	2	-	ENST00000476467	47.89	2.05910e-02	2.05910e-02	41.8604651162791|34.8484848484849	84.6153846153846|87.8787878787879	1_151400589_151400763_R_ENST00000476467_1
17:44350341-44351549	GRN	17:44351037-44351163	MES	2	2	-	ENST00000053867	47.46	4.37547e-01	4.37547e-01	83.8709677419355|4.54545454545455	83.3333333333333|100	17_44350341_44351549_W_ENST00000053867_3
8:143817578-143817782	PUF60	8:143818286-143817591	IR	2	2	-	ENST00000526459	46.93	1.97179e-01	1.97179e-01	12.1951219512195|42.8571428571429	72.7272727272727|76.1904761904762	8_143818286_143817591_R_ENST00000526459_1
11:499031-499185	RNH1	11:499186-498762	IR	2	2	-	ENST00000527485	45.64	1.15457e-01	1.15457e-01	33.3333333333333|20	60|84.6153846153846	11_499186_498762_R_ENST00000527485_1
