Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
9:37783872-37784063	EXOSC3	9:37784746-37783871	IR (overlapping region)	2	2	-	ENST00000496910	98.48	9.79338e-03	9.79338e-03	3.03030303030303|0	100|100	9_37784746_37783871_R_ENST00000496910_1
9:37783872-37784063	EXOSC3	9:37784746-37783913	IR (overlapping region)	2	2	-	ENST00000496910	95.63	4.40470e-03	4.40470e-03	3.03030303030303|0	94.2857142857143|100	9_37784746_37783913_R_ENST00000496910_1
11:202924-205667	BET1L	11:206044-205610	IR	2	2	-	ENST00000325147	95.35	3.10300e-02	3.10300e-02	0|0	100|90.6976744186046	11_206044_205610_R_ENST00000325147_1
17:30290990-30291508	BLMH	17:30291668-30291310	IR	2	2	-	ENST00000582749	95.25	6.19650e-03	6.19650e-03	0|3.125	100|93.6170212765958	17_30291668_30291310_R_ENST00000582749_1
9:37783872-37784063	EXOSC3	9:37784714-37783913	IR (overlapping region)	2	2	-	ENST00000496910	95.15	7.61561e-03	7.61561e-03	3.03030303030303|0	93.3333333333333|100	9_37784714_37783913_R_ENST00000496910_1
17:30290990-30291508	BLMH	17:30291850-30291310	IR	2	2	-	ENST00000582749	95.03	7.75414e-03	7.75414e-03	0|3.125	100|93.1818181818182	17_30291850_30291310_R_ENST00000582749_1
17:30289414-30289482	BLMH	17:30291509-30289413	IR	2	2	NMD	ENST00000577290	94.29	4.04786e-03	4.04786e-03	0|3.125	98.6842105263158|93.0232558139535	17_30291509_30289413_R_ENST00000577290_1
11:103089271-103089309	DCUN1D5	11:103091862-103089226	IR	2	2	-	ENST00000529076	94.19	1.19459e-02	1.19459e-02	0|0	95.959595959596|92.4242424242424	11_103091862_103089226_R_ENST00000529076_1
17:30289414-30289482	BLMH	17:30291509-30289372	IR	2	2	NMD	ENST00000577290	94.14	4.14873e-03	4.14873e-03	0|3.125	98.5507246376812|92.8571428571429	17_30291509_30289372_R_ENST00000577290_1
1:156597468-156598121	GPATCH4	1:156598320-156598034	IR	2	2	-	ENST00000506832	93.84	1.91718e-03	1.91718e-03	0|5.40540540540541	94.5205479452055|98.5714285714286	1_156598320_156598034_R_ENST00000506832_1
5:61157709-61160199	SMIM15	5:61161228-61159921	IR	2	2	-	ENST00000339020	93.58	2.08149e-02	2.08149e-02	0|0	96.6386554621849|90.5172413793103	5_61161228_61159921_R_ENST00000339020_1
17:30290990-30291508	BLMH	17:30292043-30291310	IR	2	2	-	ENST00000582749	93.56	2.52586e-03	2.52586e-03	0|6.06060606060606	100|93.1818181818182	17_30292043_30291310_R_ENST00000582749_1
