Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
2:100982231-100988276,NPAS2,2:100982378-100982612,IR,2,2,-,ENST00000474550,64.53,0.00864069,0.00864069,18.75|24.2424242424242,82.051282051282|90,2_100982378_100982612_R_ENST00000474550_1,IR
9:136726105-136726234,SNORA17B,9:136726417-136725054,IR,2,2,-,ENST00000362567,50.24,0.004231,0.004231,40|35.7142857142857,85.7142857142857|90.4761904761905,9_136726417_136725054_R_ENST00000362567_1,IR
12:123607432-123607662,DDX55,12:123607524-123607603,IR,2,2,-,ENST00000536079,47.25,0.00113272,0.00113272,22.7272727272727|25,70|72.2222222222222,12_123607524_123607603_R_ENST00000536079_1,IR
12:123607432-123607662,DDX55,12:123607524-123607599,IR,2,2,-,ENST00000536079,47.25,0.00113272,0.00113272,22.7272727272727|25,70|72.2222222222222,12_123607524_123607599_R_ENST00000536079_1,IR
11:72109587-72109928,ANAPC15,11:72110226-72109589,IR (overlapping region),2,2,-,ENST00000227618,35.9,0.00826732,0.00826732,27.2727272727273|28.2051282051282,63.6363636363636|63.6363636363636,11_72110226_72109589_R_ENST00000227618_1,IR
14:23321543-23322295,PABPN1,14:23321821-23322180,IR (overlapping region),2,2,-,ENST00000556821,35.56,0.00833867,0.00833867,6.12244897959184|10.5263157894737,42.3076923076923|45.4545454545455,14_23321821_23322180_R_ENST00000556821_1,IR
19:18571879-18572607,UBA52,19:18571910-18572350,IR,2,2,-,ENST00000599256,35.24,0.0041296,0.0041296,27.391874180865|29.8273155416013,64.5892351274787|63.1178707224335,19_18571910_18572350_R_ENST00000599256_1,IR
14:68887785-68888084,HMGN1P3,14:68890287-68885424,IR,2,2,-,ENST00000555136,34.46,0.00175287,0.00175287,20.8333333333333|18.75,53.3333333333333|55.1724137931034,14_68890287_68885424_R_ENST00000555136_1,IR
15:88467736-88468024,MRPS11,15:88467783-88467910,IR (overlapping region),2,2,-,ENST00000558406,33.12,0.00885792,0.00885792,40|43.75,77.2727272727273|72.7272727272727,15_88467783_88467910_R_ENST00000558406_1,IR
10:119576776-119577203,TIAL1,10:119577204-119576610,IR,2,2,-,ENST00000369087,32.68,0.0042307,0.0042307,43.75|45.4545454545455,78.5714285714286|76,10_119577204_119576610_R_ENST00000369087_1,IR
11:123059335-123059422,SNORD14C,11:123060029-123058251,IR,2,2,-,ENST00000365382,32.23,0.00582155,0.00582155,15.203426124197|13.3333333333333,45.0381679389313|47.9674796747967,11_123060029_123058251_R_ENST00000365382_1,IR
19:43766533-43767089,KCNN4,19:43767708-43766821,IR,2,2,-,ENST00000262888,31.01,0.00493494,0.00493494,68.75|69.2307692307692,100|100,19_43767708_43766821_R_ENST00000262888_1,IR
5:150404486-150404767,CD74,5:150404768-150403120,IR,2,2,-,ENST00000517752,30.26,0.00725344,0.00725344,2.72727272727273|6.45161290322581,36.3636363636364|33.3333333333333,5_150404768_150403120_R_ENST00000517752_1,IR
20:34942577-34942627,GSS,20:34943007-34942487,IR,2,2,-,ENST00000643271,26.85,0.00419147,0.00419147,21.0526315789474|22.8571428571429,50|47.6190476190476,20_34943007_34942487_R_ENST00000643271_1,IR
17:7586469-7587271,MPDU1,17:7586839-7587160,IR,2,2,-,ENST00000571877,25.25,0.0099225,0.0099225,10.126582278481|6.66666666666667,31.8181818181818|35.4838709677419,17_7586839_7587160_R_ENST00000571877_1,IR
1:160221088-160221210,DCAF8,1:160222782-160218848,IR (overlapping region),2,2,-,ENST00000466253,24.88,0.00965329,0.00965329,46.6666666666667|50,71.4285714285714|75,1_160222782_160218848_R_ENST00000466253_1,IR
3:38126451-38126700,ACAA1,3:38126701-38126161,IR,2,2,NMD,ENST00000423611,23.7,0.00994637,0.00994637,50|50,74.0740740740741|73.3333333333333,3_38126701_38126161_R_ENST00000423611_1,IR
