Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
X:48476397-48481425,FTSJ1,X:48478449-48478518,MES,2,2,-,ENST00000019019,85.07,0.000827209,0.000827209,14.5833333333333|12,100|96.7213114754098,X_48476397_48481425_W_ENST00000019019_3,Exon Skipping
17:7626959-7627226,SAT2,17:7627227-7626942,IR (overlapping region),2,2,-,ENST00000573930,48.07,0.0024682,0.0024682,31.5789473684211|34.8837209302326,80|82.6086956521739,17_7627227_7626942_R_ENST00000573930_1,IR
19:2321517-2321822,LSM7,19:2328478-2321520,IR (overlapping region),2,2,-,ENST00000252622,45.12,0.00475081,0.00475081,36.3636363636364|37.037037037037,81.8181818181818|81.8181818181818,19_2328478_2321520_R_ENST00000252622_1,IR
9:128608036-128608276,SPTAN1,9:128608050-128608129,IR,2,2,-,ENST00000631121,28.25,0.00144625,0.00144625,35.2941176470588|36.8421052631579,65|63.6363636363636,9_128608050_128608129_R_ENST00000631121_1,IR
1:43620937-43621096,PTPRF,1:43620937-43620992,A5SS,2,2,-,Ex.ENST00000359947,28.17,0.00896588,0.00896588,71.4285714285714|72.2222222222222,100|100,1_43620937_43621096_S_Ex.ENST00000359947_1,A5SS
1:32231020-32231120,EIF3I,1:32231115-32231120,A3SS,2,2,-,Ex.TSS.ENST00000373586,27.64,0.00837609,0.00837609,72.7272727272727|72,100|100,1_32231020_32231120_S_Ex.TSS.ENST00000373586_1,A3SS
11:210364-213780,RIC8A,11:212982-213298,IR,2,2,-,ENST00000530149,26.4,0.00629545,0.00629545,33.3333333333333|36.3636363636364,60|62.5,11_212982_213298_R_ENST00000530149_1,IR
17:28716756-28716994,RAB34,17:28717426-28716755,IR,2,2,-,ENST00000482688,26.3,0.00200286,0.00200286,63.1578947368421|64.4444444444444,90.9090909090909|89.2857142857143,17_28717426_28716755_R_ENST00000482688_1,IR
7:151076991-151077027,FASTK,7:151078702-151076912,IR,2,2,-,ENST00000459800,26.0,0.00492723,0.00492723,74.0740740740741|71.4285714285714,100|97.5,7_151078702_151076912_R_ENST00000459800_1,IR
14:24144800-24145273,PSME2,14:24146241-24144399,IR,2,2,-,ENST00000559493,25.34,0.00612485,0.00612485,6.66666666666667|5,30.7692307692308|31.5789473684211,14_24146241_24144399_R_ENST00000559493_1,IR
20:34293466-34294156,AHCY,20:34294157-34292357,IR,2,2,-,ENST00000606061,24.34,0.00324463,0.00324463,5.88235294117647|4,28.5714285714286|30,20_34294157_34292357_R_ENST00000606061_1,IR
20:38427309-38427442,SNORA71A,20:38429331-38426418,IR,2,2,-,ENST00000364729,24.17,0.00751606,0.00751606,70.8333333333333|73.3333333333333,94.7368421052632|97.7777777777778,20_38429331_38426418_R_ENST00000364729_1,IR
17:28579209-28579252,SPAG5,17:28579253-28578009,IR (overlapping region),2,2,-,ENST00000577259,24.05,0.00992352,0.00992352,15.3846153846154|18.1818181818182,41.6666666666667|40,17_28579253_28578009_R_ENST00000577259_1,IR
17:82058487-82058818,DUS1L,17:82060094-82058340,IR,2,2,-,ENST00000578428,22.43,0.00305543,0.00305543,68.1818181818182|67.3469387755102,90|90.3846153846154,17_82060094_82058340_R_ENST00000578428_1,IR
1:43453161-43453497,HYI,1:43453498-43452902,IR (overlapping region),2,2,-,ENST00000469587,22.01,0.00416688,0.00416688,73.9130434782609|73.4939759036145,95.2380952380952|96.1904761904762,1_43453498_43452902_R_ENST00000469587_1,IR
5:74636337-74636498,ENC1,5:74641425-74634683,IR,2,2,-,ENST00000508331,20.51,0.00710792,0.00710792,73.3333333333333|71.4285714285714,94.1176470588235|91.6666666666667,5_74641425_74634683_R_ENST00000508331_1,IR
7:116526690-116558945,CAV1,7:116526690-116552018,A5SS,2,2,-,Ex.TSS.ENST00000341049,-21.65,9.65307e-05,9.65307e-05,21.656050955414|21.6494845360825,0|0,7_116526690_116558945_S_Ex.TSS.ENST00000341049_2,A5SS
19:17861308-17862093,RPL18A,19:17861308-17861472,A5SS,2,2,-,Ex.ENST00000222247,-25.2,0.00133351,0.00133351,91.3793103448276|90.1234567901235,66.2162162162162|64.8888888888889,19_17861308_17862093_S_Ex.ENST00000222247_1,A5SS
20:63882821-63889189,TPD52L2,20:63882821-63882869,A5SS,2,2,-,Ex.ENST00000346249,-32.19,0.00834615,0.00834615,32.6086956521739|31.7647058823529,0|0,20_63882821_63889189_S_Ex.ENST00000346249_1,A5SS
17:18722333-18731069,TRIM16L,17:18727525-18727758,SES,2,2,-,ENST00000395671,-32.99,0.00934256,0.00934256,68.1818181818182|72.7272727272727,35.7142857142857|39.2156862745098,17_18722333_18731069_W_ENST00000395671_1,Exon Skipping
X:49077487-49077747,WDR45,X:49077619-49076644,IR,2,2,-,ENST00000376357,-37.68,0.00197115,0.00197115,77.7777777777778|80,40|42.4242424242424,X_49077619_49076644_R_ENST00000376357_1,IR
22:19177990-19178240,SLC25A1,22:19178636-19177989,IR,2,2,-,ENST00000468824,-53.02,0.00782217,0.00782217,75|68.75,16.6666666666667|21.0526315789474,22_19178636_19177989_R_ENST00000468824_1,IR
19:49487639-49489849,RPL13A,19:49487639-49487644,A5SS,2,2,-,Ex.TSS.ENST00000391857,-56.27,0.00370695,0.00370695,100|100,44.0573770491803|43.4020618556701,19_49487639_49489849_S_Ex.TSS.ENST00000391857_1,A5SS
