Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
7:98281938-98282350,BRI3,7:98281938-98282232,A5SS,2,2,-,Ex.TSS.ENST00000297290,32.98,0.00141336,0.00141336,0|0,33.0578512396694|32.9113924050633,7_98281938_98282350_S_Ex.TSS.ENST00000297290_1,A5SS
7:98252529-98282350,BRI3,7:98252529-98282232,A5SS,2,2,-,Ex.TSS.ENST00000456357,32.98,0.00141336,0.00141336,0|0,33.0578512396694|32.9113924050633,7_98252529_98282350_S_Ex.TSS.ENST00000456357_1,A5SS
9:133348247-133348921,RPL7A,9:133348247-133348367,A5SS,2,2,-,Ex.TSS.ENST00000323345,24.94,0.00144358,0.00144358,0|0,25|24.8868778280543,9_133348247_133348921_S_Ex.TSS.ENST00000323345_1,A5SS
17:74203737-74203917,RPL38,17:74203737-74203745,A5SS,2,2,-,Ex.TSS.ENST00000311111,21.35,0.00413548,0.00413548,30.5555555555556|28.735632183908,52|50,17_74203737_74203917_S_Ex.TSS.ENST00000311111_1,A5SS
19:38930954-38931343,MRPS12,19:38931172-38931275,IR (overlapping region),2,2,-,ENST00000407800,20.19,0.00975741,0.00975741,58.3333333333333|56.25,76.9230769230769|78.0487804878049,19_38931172_38931275_R_ENST00000407800_1,IR
22:38296206-38297155,CSNK1E,22:38298935-38296205,IR (overlapping region),2,2,-,ENST00000405675,-20.04,0.00897895,0.00897895,87.5|90,67.8571428571429|69.5652173913043,22_38298935_38296205_R_ENST00000405675_1,IR
22:38296206-38297155,CSNK1E,22:38298935-38296204,IR (overlapping region),2,2,-,ENST00000405675,-20.04,0.00897895,0.00897895,87.5|90,67.8571428571429|69.5652173913043,22_38298935_38296204_R_ENST00000405675_1,IR
2:218581115-218582970,CNOT9,2:218581115-218581511,A5SS,2,2,-,Ex.ENST00000432877,-20.67,0.00493494,0.00493494,20.8333333333333|20.5128205128205,0|0,2_218581115_218582970_S_Ex.ENST00000432877_1,A5SS
2:218580741-218582970,CNOT9,2:218580741-218581511,A5SS,2,2,-,Ex.ENST00000273064,-20.67,0.00493494,0.00493494,20.8333333333333|20.5128205128205,0|0,2_218580741_218582970_S_Ex.ENST00000273064_1,A5SS
11:35190066-35214851,CD44,11:35208105-35208206,MES,2,2,-,ENST00000278385,-24.77,0.0032016,0.0032016,31.5789473684211|33.3333333333333,6.66666666666667|8.69565217391304,11_35190066_35214851_W_ENST00000278385_1,Exon Skipping
19:49447710-49447908,PIH1D1,19:49448575-49447826,IR,2,2,-,ENST00000593900,-24.97,0.00123323,0.00123323,47.0588235294118|46.1538461538462,22.2222222222222|21.0526315789474,19_49448575_49447826_R_ENST00000593900_1,IR
19:1009173-1009732,GRIN3B,19:1011500-1009650,IR,2,2,-,ENST00000234389,-25.14,0.00739033,0.00739033,73.6842105263158|71.7391304347826,46.1538461538462|48.9795918367347,19_1011500_1009650_R_ENST00000234389_1,IR
19:1009173-1009732,GRIN3B,19:1011500-1009647,IR,2,2,-,ENST00000234389,-25.14,0.00739033,0.00739033,73.6842105263158|71.7391304347826,46.1538461538462|48.9795918367347,19_1011500_1009647_R_ENST00000234389_1,IR
16:88811174-88811656,APRT,16:88811657-88810069,IR,2,2,-,ENST00000564858,-25.21,0.00380477,0.00380477,35.3535353535354|36.5853658536585,9.82658959537572|11.6883116883117,16_88811657_88810069_R_ENST00000564858_1,IR
19:3573692-3574586,HMG20B,19:3573801-3574382,IR (overlapping region),2,2,-,ENST00000488973,-25.38,0.00508565,0.00508565,81.0344827586207|83.6734693877551,55.7692307692308|58.1818181818182,19_3573801_3574382_R_ENST00000488973_1,IR
14:103521263-103521434,CKB,14:103522178-103521261,IR,2,2,-,ENST00000553878,-25.63,0.00624817,0.00624817,60|59.375,34.7826086956522|33.3333333333333,14_103522178_103521261_R_ENST00000553878_1,IR
19:18990888-18993740,SUGP2,19:18995281-18993647,IR,2,2,-,ENST00000452918,-28.87,0.00749913,0.00749913,77.4193548387097|73.8095238095238,48.4848484848485|45,19_18995281_18993647_R_ENST00000452918_1,IR
9:35076141-35076583,FANCG,9:35076566-35074370,IR,2,2,-,ENST00000474894,-33.85,0.00306849,0.00306849,55.5555555555556|52.9411764705882,19.047619047619|21.7391304347826,9_35076566_35074370_R_ENST00000474894_1,IR
14:24437036-24441834,KHNYN,14:24442777-24440782,IR,2,2,-,ENST00000251343,-38.35,0.00961822,0.00961822,52.9411764705882|57.8947368421053,18.75|15.3846153846154,14_24442777_24440782_R_ENST00000251343_1,IR
16:1367292-1367349,UNKL,16:1367859-1367291,IR,2,2,-,ENST00000402641,-50.79,0.00663008,0.00663008,83.3333333333333|82.3529411764706,33.3333333333333|30.7692307692308,16_1367859_1367291_R_ENST00000402641_1,IR
16:1367292-1367349,UNKL,16:1367859-1367241,IR,2,2,-,ENST00000402641,-50.79,0.00663008,0.00663008,83.3333333333333|82.3529411764706,33.3333333333333|30.7692307692308,16_1367859_1367241_R_ENST00000402641_1,IR
