Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
2:237994810-238030555	UBE2F	2:238016566-238016633	MES	2	2	-	ENST00000272930	81.56	3.61914e-02	3.61914e-02	23.0769230769231|13.7931034482759	100|100	2_237994810_238030555_W_ENST00000272930_1
1:92837634-92840556	RPL5	1:92840551-92840556	A3SS	2	2	-	Ex.ENST00000370321	67.60	1.54627e-01	1.54627e-01	2.7027027027027|20	100|57.8947368421053	1_92837634_92840556_S_Ex.ENST00000370321_1
5:240477-256333	SDHA	5:251338-251468	MES	2	2	-	ENST00000264932	58.61	1.11758e-01	1.11758e-01	23.5294117647059|50	100|90.7407407407407	5_240477_256333_W_ENST00000264932_2
1:151399981-151401906	PSMB4	1:151400589-151400763	IR	2	2	-	ENST00000476467	57.43	4.70298e-02	4.70298e-02	33.7078651685393|33.3333333333333	95.2380952380952|86.6666666666667	1_151400589_151400763_R_ENST00000476467_1
11:63986515-63996529	OTUB1	11:63988337-63988398	MES	2	2	-	ENST00000301453	56.47	2.84841e-01	2.84841e-01	8.92857142857143|65.625	100|87.5	11_63986515_63996529_W_ENST00000301453_1
4:10115894-10116234	WDR1	4:10116869-10115893	IR	2	2	-	ENST00000509600	53.46	2.90067e-01	2.90067e-01	13.8888888888889|5.55555555555556	90|36.3636363636364	4_10116869_10115893_R_ENST00000509600_1
15:43766911-43771104	PDIA3	15:43770250-43770329	MES	2	2	-	ENST00000300289	53.14	4.44649e-02	4.44649e-02	43.3566433566434|35.9550561797753	85.5932203389831|100	15_43766911_43771104_W_ENST00000300289_3
15:43766911-43771104	PDIA3	15:43770523-43770580	MES	2	2	-	ENST00000300289	47.10	3.16244e-02	3.16244e-02	55.2447552447552|50.561797752809	100|100	15_43766911_43771104_W_ENST00000300289_4
5:240477-256333	SDHA	5:250992-251103	MES	2	2	-	ENST00000264932	45.99	1.81550e-01	1.81550e-01	20|46.969696969697	79.3103448275862|79.6296296296296	5_240477_256333_W_ENST00000264932_1
6:31637234-31637771	PRRC2A	6:31637325-31637445	IR	2	2	-	ENST00000462617	45.71	4.74536e-01	4.74536e-01	5.15463917525773|18.3098591549296	14.8936170212766|100	6_31637325_31637445_R_ENST00000462617_1
12:123974021-124011380	ZNF664	12:123988043-123988138	MXS	2	2	-	ENST00000337815	45.04	1.51207e-01	1.51207e-01	43.0232558139535|22.3880597014925	92.9824561403509|62.5	12_123974021_124011380_W_ENST00000337815_1
17:48894450-48895182	ATP5MC1	17:48895156-48895182	A3SS	2	2	-	ENST00000355938	43.93	1.73279e-01	1.73279e-01	35.9550561797753|32	65.1162790697674|90.6976744186046	17_48894450_48895182_S_ENST00000355938_1
17:48894450-48895166	ATP5MC1	17:48895156-48895166	A3SS	2	2	-	Ex.ENST00000355938	43.93	1.73279e-01	1.73279e-01	35.9550561797753|32	65.1162790697674|90.6976744186046	17_48894450_48895166_S_Ex.ENST00000355938_1
12:123974021-123988045	ZNF664	12:123988043-123988045	A3SS	2	2	-	ENST00000337815	43.22	1.62531e-01	1.62531e-01	50|25.6410256410256	96.2264150943396|65.8536585365854	12_123974021_123988045_S_ENST00000337815_1
12:123974021-124011380	ZNF664	12:123988043-123988138	MES	2	2	-	ENST00000539644	42.92	3.10765e-01	3.10765e-01	27.906976744186|17.910447761194	89.4736842105263|42.1875	12_123974021_124011380_W_ENST00000539644_1
20:31742648-31757406	TPX2	20:31742648-31744675	A5SS	2	2	-	Ex.ENST00000300403	41.47	1.29152e-02	1.29152e-02	0|0	40.625|42.3076923076923	20_31742648_31757406_S_Ex.ENST00000300403_1
