Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
19:1271981-1274807,CIRBP,19:1273716-1274648,IR,2,2,-,ENST00000593093,53.95,0.00425328,0.00425328,19.2982456140351|24.0740740740741,73.8461538461539|77.4193548387097,19_1273716_1274648_R_ENST00000593093_1,IR
13:49997032-49997763,TRIM13,13:49997132-49997666,IR (overlapping region),2,2,-,ENST00000378182,51.53,0.00823813,0.00823813,38.4615384615385|31.8181818181818,83.3333333333333|90,13_49997132_49997666_R_ENST00000378182_1,IR
19:1271981-1274440,CIRBP,19:1273026-1274350,IR,2,2,NMD,ENST00000587169,49.97,0.00939984,0.00939984,25.2032520325203|32.2314049586777,81.5217391304348|75.8620689655172,19_1273026_1274350_R_ENST00000587169_1,IR
11:119020254-119021759,TRAPPC4,11:119020254-119020329,A5SS,2,2,-,Ex.ENST00000434101,45.07,0.00546441,0.00546441,0|0,44.6808510638298|45.4545454545455,11_119020254_119021759_S_Ex.ENST00000434101_1,A5SS
11:119019318-119021759,TRAPPC4,11:119019318-119020329,A5SS,2,2,-,Ex.ENST00000533012,45.07,0.00546441,0.00546441,0|0,44.6808510638298|45.4545454545455,11_119019318_119021759_S_Ex.ENST00000533012_1,A5SS
11:119018971-119021759,TRAPPC4,11:119018971-119020329,A5SS,2,2,-,Ex.TSS.ENST00000525303,45.07,0.00546441,0.00546441,0|0,44.6808510638298|45.4545454545455,11_119018971_119021759_S_Ex.TSS.ENST00000525303_1,A5SS
19:40235894-40236104,AKT2,19:40238092-40235889,IR,2,2,-,ENST00000391845,43.88,0.00712599,0.00712599,14.2857142857143|9.23076923076923,52.9411764705882|58.3333333333333,19_40238092_40235889_R_ENST00000391845_1,IR
11:62855012-62855083,SNORD27,11:62855237-62854887,IR,2,2,-,ENST00000363981,40.29,0.00399649,0.00399649,45.0980392156863|46.6666666666667,87.5|84.8484848484848,11_62855237_62854887_R_ENST00000363981_1,IR
11:62855012-62855083,SNORD27,11:62855217-62854887,IR,2,2,-,ENST00000363981,39.38,0.000507631,0.000507631,45.0980392156863|43.859649122807,84.375|83.3333333333333,11_62855217_62854887_R_ENST00000363981_1,IR
11:62855012-62855083,SNORD27,11:62855209-62854887,IR,2,2,-,ENST00000363981,38.9,0.000533212,0.000533212,44|44.8275862068966,83.8709677419355|82.7586206896552,11_62855209_62854887_R_ENST00000363981_1,IR
11:62855012-62855083,SNORD27,11:62855175-62854887,IR,2,2,-,ENST00000363981,38.7,0.00079026,0.00079026,45.0980392156863|46.6666666666667,85.2941176470588|83.8709677419355,11_62855175_62854887_R_ENST00000363981_1,IR
19:49003335-49007017,RUVBL2,19:49004207-49004418,SES,2,2,NMD,ENST00000596247,38.44,0.00708556,0.00708556,35.3510895883777|40.0473933649289,78.3673469387755|73.9130434782609,19_49003335_49007017_W_ENST00000596247_1,Exon Skipping
