Event Region	Gene Symbol	Target Exon	Event Type	N	T	Exon Type	Reference Transcript	ΔPSI (%)	T-test p-value	FDR (BH)	N Values	T Values	Database ID
19:334115-334542	MIER2	19:344808-334114	IR	2	2	-	ENST00000587966	96.15	2.54512e-02	2.54512e-02	0|7.69230769230769	100|100	19_344808_334114_R_ENST00000587966_1
8:22636590-22636962	BIN3	8:22636963-22636524	IR	2	2	-	ENST00000518366	95.00	3.34754e-02	3.34754e-02	10|0	100|100	8_22636963_22636524_R_ENST00000518366_1
6:33287664-33287718	WDR46	6:33288003-33287613	IR	2	2	-	ENST00000468157	95.00	3.34754e-02	3.34754e-02	0|10	100|100	6_33288003_33287613_R_ENST00000468157_1
3:64019424-64019441	PSMD6	3:64023438-64019295	IR	2	2	-	ENST00000478185	94.72	2.94227e-03	2.94227e-03	0|0	94.2857142857143|95.1612903225807	3_64023438_64019295_R_ENST00000478185_1
14:103339172-103339803	EIF5	14:103339334-103339638	IR	2	2	-	ENST00000561380	94.50	3.36833e-03	3.36833e-03	0|0	94|95	14_103339334_103339638_R_ENST00000561380_1
5:61157709-61160199	SMIM15	5:61161228-61159921	IR	2	2	-	ENST00000339020	94.04	3.14871e-03	3.14871e-03	4|0	92.9824561403509|99.1071428571429	5_61161228_61159921_R_ENST00000339020_1
1:1338334-1338436	DVL1	1:1338654-1338268	IR	2	2	-	ENST00000634054	92.67	4.57992e-03	4.57992e-03	8|6.66666666666667	100|100	1_1338654_1338268_R_ENST00000634054_1
12:6563891-6563946	NOP2	12:6566337-6563890	IR (overlapping region)	2	2	-	ENST00000536124	92.00	5.52193e-02	5.52193e-02	0|0	84|100	12_6566337_6563890_R_ENST00000536124_1
10:97400481-97400534	RRP12	10:97401535-97400304	IR (overlapping region)	2	2	-	ENST00000439965	91.34	3.91735e-02	3.91735e-02	0|0	96.969696969697|85.7142857142857	10_97401535_97400304_R_ENST00000439965_1
12:12912084-12912509	GPRC5A	12:12912301-12912446	IR	2	2	-	ENST00000540125	90.57	1.56373e-02	1.56373e-02	0|0	92.8|88.3495145631068	12_12912301_12912446_R_ENST00000540125_1
1:1339492-1339812	DVL1	1:1339650-1338521	IR (overlapping region)	2	2	-	ENST00000633096	90.50	7.28819e-03	7.28819e-03	7.89473684210526|5.55555555555556	94.4444444444444|100	1_1339650_1338521_R_ENST00000633096_1
12:6563891-6563946	NOP2	12:6566337-6563907	IR (overlapping region)	2	2	-	ENST00000536124	90.48	6.67667e-02	6.67667e-02	0|0	80.9523809523809|100	12_6566337_6563907_R_ENST00000536124_1
19:50799442-50799532	SNORD88A	19:50801350-50799293	IR	2	2	-	ENST00000408314	90.44	8.13820e-03	8.13820e-03	8|0	88.8888888888889|100	19_50801350_50799293_R_ENST00000408314_1
11:103089271-103089309	DCUN1D5	11:103091862-103089226	IR	2	2	-	ENST00000529076	90.34	1.41559e-02	1.41559e-02	0|6.25	94.3396226415094|92.5925925925926	11_103091862_103089226_R_ENST00000529076_1
10:97400481-97400534	RRP12	10:97401284-97400304	IR (overlapping region)	2	2	-	ENST00000439965	90.13	3.95207e-03	3.95207e-03	6.25|0	97.2222222222222|89.2857142857143	10_97401284_97400304_R_ENST00000439965_1
11:103089271-103089309	DCUN1D5	11:103092216-103089226	IR	2	2	-	ENST00000529076	89.70	5.15357e-03	5.15357e-03	0|6.25	94.5454545454545|91.1111111111111	11_103092216_103089226_R_ENST00000529076_1
11:64766414-64767079	SF1	11:64767252-64766899	IR	2	2	-	ENST00000477596	89.62	1.65682e-02	1.65682e-02	0|0	87.2881355932203|91.9540229885057	11_64767252_64766899_R_ENST00000477596_1
19:50801989-50802257	C19orf48	19:50802258-50801182	IR	2	2	-	ENST00000602125	89.46	2.03287e-02	2.03287e-02	7.69230769230769|6.25	92.8571428571429|100	19_50802258_50801182_R_ENST00000602125_1
7:135165785-135166871	CYREN	7:135168180-135166343	IR	2	2	-	ENST00000393114	89.23	6.95922e-02	6.95922e-02	0|20	100|98.4615384615385	7_135168180_135166343_R_ENST00000393114_1
3:64019424-64019441	PSMD6	3:64022524-64019295	IR	2	2	-	ENST00000478185	89.03	4.81628e-02	4.81628e-02	0|0	82.2784810126582|95.7746478873239	3_64022524_64019295_R_ENST00000478185_1
12:12912084-12912509	GPRC5A	12:12912143-12912446	IR	2	2	-	ENST00000540125	88.65	1.71844e-03	1.71844e-03	3.03030303030303|0	92.3566878980892|87.9699248120301	12_12912143_12912446_R_ENST00000540125_1
1:154551751-154551819	UBE2Q1	1:154551858-154551396	IR	2	2	-	ENST00000474181	88.52	2.73287e-03	2.73287e-03	7.14285714285714|2.85714285714286	90.5405405405405|96.4912280701754	1_154551858_154551396_R_ENST00000474181_1
9:72356946-72357056	ZFAND5	9:72359522-72356930	IR	2	2	-	ENST00000376956	88.48	2.77533e-02	2.77533e-02	0|10	92.3076923076923|94.6428571428571	9_72359522_72356930_R_ENST00000376956_1
12:46370799-46371379	SLC38A2	12:46371434-46370775	IR	2	2	-	ENST00000553252	88.39	1.28248e-03	1.28248e-03	0|4.54545454545455	92.6470588235294|88.6792452830189	12_46371434_46370775_R_ENST00000553252_1
19:50799442-50799532	SNORD88A	19:50802258-50799293	IR	2	2	-	ENST00000408314	88.23	4.34725e-02	4.34725e-02	6.12244897959184|4.08163265306122	86.6666666666667|100	19_50802258_50799293_R_ENST00000408314_1
12:46370799-46371379	SLC38A2	12:46371380-46370775	IR	2	2	-	ENST00000553252	88.16	1.48296e-03	1.48296e-03	0|4.54545454545455	92.1875|88.6792452830189	12_46371380_46370775_R_ENST00000553252_1
16:19714799-19715037	KNOP1	16:19715038-19711371	IR (overlapping region)	2	2	-	ENST00000564480	88.11	2.46382e-02	2.46382e-02	0|8	84.2105263157895|100	16_19715038_19711371_R_ENST00000564480_1
16:89300696-89300962	ANKRD11	16:89305345-89300235	IR	2	2	-	ENST00000563291	87.84	2.68840e-02	2.68840e-02	7.14285714285714|5.88235294117647	90.1785714285714|98.5294117647059	16_89305345_89300235_R_ENST00000563291_1
1:1663782-1666019	SLC35E2B	1:1668473-1659528	IR	2	2	-	ENST00000480991	87.67	4.82384e-02	4.82384e-02	6.09756097560976|2.77777777777778	100|84.2105263157895	1_1668473_1659528_R_ENST00000480991_1
7:135165785-135166871	CYREN	7:135167808-135166574	IR	2	2	-	ENST00000393114	87.66	6.01357e-02	6.01357e-02	0|20	100|95.3125	7_135167808_135166574_R_ENST00000393114_1
1:154551751-154551819	UBE2Q1	1:154552376-154551750	IR	2	2	-	ENST00000474181	87.62	1.46562e-02	1.46562e-02	10|7.69230769230769	92.9292929292929|100	1_154552376_154551750_R_ENST00000474181_1
2:96184859-96186914	STARD7	2:96188118-96184866	IR	2	2	-	ENST00000337288	87.50	2.73751e-02	2.73751e-02	16.6666666666667|0	100|91.6666666666667	2_96188118_96184866_R_ENST00000337288_1
20:35703610-35704581	RBM39	20:35705331-35704376	IR	2	2	-	ENST00000253363	87.32	2.90372e-02	2.90372e-02	0|0	83.3333333333333|91.304347826087	20_35705331_35704376_R_ENST00000253363_1
11:103089271-103089309	DCUN1D5	11:103092178-103089226	IR	2	2	-	ENST00000529076	87.26	9.60971e-04	9.60971e-04	4.34782608695652|6.25	94|91.1111111111111	11_103092178_103089226_R_ENST00000529076_1
16:89305100-89305344	ANKRD11	16:89305345-89301323	IR	2	2	-	ENST00000643147	87.09	3.62267e-02	3.62267e-02	7.14285714285714|5.88235294117647	88.2978723404255|98.9010989010989	16_89305345_89301323_R_ENST00000643147_1
1:154551751-154551819	UBE2Q1	1:154551820-154551396	IR	2	2	-	ENST00000474181	87.03	9.42793e-04	9.42793e-04	9.30232558139535|5.55555555555556	92.5531914893617|96.3636363636364	1_154551820_154551396_R_ENST00000474181_1
11:103089271-103089309	DCUN1D5	11:103092162-103089226	IR	2	2	-	ENST00000529076	86.87	5.11418e-03	5.11418e-03	4.34782608695652|6.25	94.3396226415094|90	11_103092162_103089226_R_ENST00000529076_1
11:103089271-103089309	DCUN1D5	11:103092149-103089226	IR	2	2	-	ENST00000529076	86.74	6.17060e-03	6.17060e-03	4.34782608695652|6.25	94.3396226415094|89.7435897435898	11_103092149_103089226_R_ENST00000529076_1
6:33287492-33287505	WDR46	6:33287506-33287090	IR	2	2	-	ENST00000477718	86.71	4.46444e-02	4.46444e-02	3.125|4.54545454545455	84.1269841269841|96.969696969697	6_33287506_33287090_R_ENST00000477718_1
1:1663782-1666019	SLC35E2B	1:1668473-1661477	IR	2	2	-	ENST00000480991	86.48	6.84175e-02	6.84175e-02	4.93827160493827|2.0979020979021	100|80	1_1668473_1661477_R_ENST00000480991_1
1:246839098-246840998	AHCTF1	1:246843929-246839097	IR	2	2	-	ENST00000326225	86.36	3.34754e-02	3.34754e-02	0|0	81.8181818181818|90.9090909090909	1_246843929_246839097_R_ENST00000326225_1
1:161041326-161041846	USF1	1:161041412-161040813	IR	2	2	-	ENST00000491629	86.36	3.16556e-02	3.16556e-02	0|18.1818181818182	100|90.9090909090909	1_161041412_161040813_R_ENST00000491629_1
16:89300696-89300962	ANKRD11	16:89305345-89300765	IR	2	2	-	ENST00000563291	86.17	4.29097e-02	4.29097e-02	7.14285714285714|5.88235294117647	86.5853658536585|98.780487804878	16_89305345_89300765_R_ENST00000563291_1
1:1663782-1666019	SLC35E2B	1:1668473-1661478	IR	2	2	-	ENST00000480991	86.14	7.06959e-02	7.06959e-02	4.93827160493827|2.77777777777778	100|80	1_1668473_1661478_R_ENST00000480991_1
